code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
bod_Tibt,0.02,0.0027,0.02
hau_Latn,0.12,0.0648,0.12
ell_Grek,0.76,0.3339,0.76
tam_Taml,0.11,0.0315,0.11
tha_Thai,0.55,0.2958,0.55
hat_Latn,0.41,0.1961,0.41
kat_Geor,0.26,0.0827,0.26
kaz_Cyrl,0.29,0.1318,0.29
shn_Mymr,0.02,0.0061,0.02
urd_Arab,0.47,0.1639,0.47
oci_Latn,0.92,0.6239,0.92
por_Latn,0.99,0.7867,0.99
vie_Latn,0.92,0.6464,0.92
mar_Deva,0.18,0.0533,0.18
lin_Latn,0.14,0.0927,0.14
fra_Latn,0.98,0.7803,0.98
eng_Latn,0.97,0.6882,0.97
tgl_Latn,0.89,0.5376,0.89
swe_Latn,0.98,0.7582,0.98
nld_Latn,0.99,0.7682,0.99
zho_Hans,1.0,1.0,1.0
jav_Latn,0.36,0.2297,0.36
sun_Latn,0.38,0.2424,0.38
ssw_Latn,0.12,0.0697,0.12
ars_Arab,0.89,0.4888,0.89
mri_Latn,0.29,0.1261,0.29
ckb_Arab,0.08,0.0221,0.08
dan_Latn,0.96,0.7379,0.96
spa_Latn,0.99,0.7718,0.99
som_Latn,0.11,0.0476,0.11
heb_Hebr,0.64,0.2773,0.64
mlt_Latn,0.41,0.1815,0.41
tso_Latn,0.12,0.0736,0.12
ben_Beng,0.38,0.1439,0.38
glg_Latn,0.98,0.703,0.98
swh_Latn,0.35,0.1397,0.35
tsn_Latn,0.13,0.0758,0.13
xho_Latn,0.15,0.0694,0.15
sin_Sinh,0.02,0.0076,0.02
slv_Latn,0.96,0.7221,0.96
cat_Latn,0.98,0.7567,0.98
yor_Latn,0.07,0.0397,0.07
bam_Latn,0.1,0.0588,0.1
zul_Latn,0.12,0.0664,0.12
hrv_Latn,0.98,0.7264,0.98
tur_Latn,0.8,0.3994,0.8
deu_Latn,0.98,0.8021,0.98
ceb_Latn,0.6,0.3242,0.6
wol_Latn,0.15,0.0839,0.15
jpn_Jpan,0.95,0.7064,0.95
eus_Latn,0.22,0.1024,0.22
guj_Gujr,0.04,0.0136,0.04
mya_Mymr,0.02,0.0039,0.02
gaz_Latn,0.08,0.0412,0.08
arz_Arab,0.75,0.3861,0.75
afr_Latn,0.94,0.6161,0.94
tgk_Cyrl,0.14,0.0742,0.14
kin_Latn,0.12,0.0658,0.12
rus_Cyrl,0.99,0.82,0.99
zho_Hant,1.0,0.9194,1.0
zsm_Latn,0.92,0.6561,0.92
grn_Latn,0.13,0.0864,0.13
est_Latn,0.69,0.3224,0.69
als_Latn,0.59,0.2552,0.59
lao_Laoo,0.05,0.0079,0.05
asm_Beng,0.1,0.0285,0.1
arb_Latn,0.27,0.1055,0.27
nya_Latn,0.17,0.0812,0.17
arb_Arab,0.88,0.4994,0.88
isl_Latn,0.66,0.2461,0.66
fin_Latn,0.94,0.5888,0.94
slk_Latn,0.97,0.6306,0.97
ukr_Cyrl,0.99,0.7948,0.99
lug_Latn,0.13,0.0788,0.13
bul_Cyrl,0.98,0.7724,0.98
plt_Latn,0.12,0.0661,0.12
mal_Mlym,0.01,0.0006,0.01
fuv_Latn,0.14,0.1009,0.14
lvs_Latn,0.68,0.2979,0.68
hun_Latn,0.96,0.7391,0.96
nob_Latn,0.96,0.6948,0.96
sna_Latn,0.16,0.0752,0.16
ibo_Latn,0.09,0.0497,0.09
kan_Knda,0.07,0.0215,0.07
kor_Hang,0.91,0.6606,0.91
pol_Latn,0.98,0.7609,0.98
uzn_Latn,0.34,0.1312,0.34
ind_Latn,0.96,0.7155,0.96
khm_Khmr,0.06,0.0245,0.06
hye_Armn,0.16,0.0476,0.16
tir_Ethi,0.02,0.0015,0.02
khk_Cyrl,0.1,0.0452,0.1
amh_Ethi,0.04,0.0073,0.04
ast_Latn,0.9,0.6158,0.9
ilo_Latn,0.31,0.1748,0.31
acm_Arab,0.82,0.4415,0.82
kea_Latn,0.54,0.32,0.54
lit_Latn,0.74,0.3715,0.74
sot_Latn,0.11,0.0564,0.11
war_Latn,0.49,0.2585,0.49
tel_Telu,0.05,0.0112,0.05
pes_Arab,0.82,0.4085,0.82
hin_Deva,0.61,0.2473,0.61
apc_Arab,0.76,0.4067,0.76
kir_Cyrl,0.18,0.0821,0.18
pbt_Arab,0.15,0.0455,0.15
pan_Guru,0.02,0.0021,0.02
ces_Latn,0.98,0.7685,0.98
ita_Latn,0.98,0.7715,0.98
ron_Latn,0.99,0.7473,0.99
