code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
ces_Latn,1.0,0.8979,1.0
ron_Latn,1.0,0.9109,1.0
ita_Latn,1.0,0.9339,1.0
war_Latn,0.9,0.7433,0.9
lit_Latn,0.94,0.737,0.94
sot_Latn,0.55,0.393,0.55
tel_Telu,0.34,0.2248,0.34
hin_Deva,0.92,0.6864,0.92
pes_Arab,0.99,0.7876,0.99
kir_Cyrl,0.59,0.4179,0.59
apc_Arab,0.96,0.7555,0.96
pan_Guru,0.32,0.2079,0.32
pbt_Arab,0.55,0.3864,0.55
khk_Cyrl,0.43,0.3088,0.43
amh_Ethi,0.25,0.157,0.25
tir_Ethi,0.12,0.0712,0.12
ast_Latn,0.99,0.8915,0.99
ilo_Latn,0.77,0.6079,0.77
acm_Arab,0.96,0.7785,0.96
kea_Latn,0.92,0.7539,0.92
pol_Latn,1.0,0.8942,1.0
uzn_Latn,0.7,0.4967,0.7
ind_Latn,1.0,0.8536,1.0
hye_Armn,0.64,0.4473,0.64
khm_Khmr,0.62,0.4445,0.62
bul_Cyrl,1.0,0.8845,1.0
fuv_Latn,0.36,0.2548,0.36
mal_Mlym,0.23,0.1358,0.23
plt_Latn,0.55,0.4145,0.55
lvs_Latn,0.93,0.7176,0.93
nob_Latn,1.0,0.8585,1.0
sna_Latn,0.54,0.38,0.54
hun_Latn,0.98,0.8445,0.98
ibo_Latn,0.44,0.31,0.44
kor_Hang,0.95,0.7555,0.95
kan_Knda,0.43,0.3091,0.43
arb_Arab,0.99,0.7973,0.99
isl_Latn,0.9,0.6742,0.9
fin_Latn,1.0,0.807,1.0
slk_Latn,0.99,0.8627,0.99
ukr_Cyrl,1.0,0.8818,1.0
lug_Latn,0.53,0.363,0.53
asm_Beng,0.55,0.3639,0.55
arb_Latn,0.74,0.4915,0.74
nya_Latn,0.55,0.3724,0.55
tgk_Cyrl,0.55,0.3724,0.55
kin_Latn,0.46,0.337,0.46
rus_Cyrl,1.0,0.8973,1.0
zho_Hant,0.98,0.8024,0.98
est_Latn,0.89,0.6773,0.89
zsm_Latn,1.0,0.8409,1.0
grn_Latn,0.59,0.4342,0.59
als_Latn,0.92,0.7536,0.92
lao_Laoo,0.36,0.2691,0.36
arz_Arab,0.99,0.7739,0.99
gaz_Latn,0.3,0.2009,0.3
afr_Latn,0.99,0.8564,0.99
ceb_Latn,0.94,0.7512,0.94
tur_Latn,0.94,0.7548,0.94
deu_Latn,1.0,0.8985,1.0
wol_Latn,0.52,0.3873,0.52
jpn_Jpan,0.99,0.7894,0.99
guj_Gujr,0.33,0.2276,0.33
eus_Latn,0.62,0.4715,0.62
mya_Mymr,0.2,0.1315,0.2
slv_Latn,1.0,0.8752,1.0
cat_Latn,1.0,0.9279,1.0
yor_Latn,0.36,0.2445,0.36
bam_Latn,0.42,0.3158,0.42
zul_Latn,0.51,0.3542,0.51
hrv_Latn,1.0,0.8776,1.0
tso_Latn,0.47,0.3224,0.47
heb_Hebr,0.92,0.7045,0.92
mlt_Latn,0.88,0.71,0.88
ben_Beng,0.79,0.5982,0.79
glg_Latn,1.0,0.9121,1.0
swh_Latn,0.82,0.5879,0.82
tsn_Latn,0.46,0.3436,0.46
xho_Latn,0.58,0.4348,0.58
sin_Sinh,0.21,0.1388,0.21
jav_Latn,0.81,0.6361,0.81
zho_Hans,0.99,0.8324,0.99
ssw_Latn,0.53,0.3409,0.53
sun_Latn,0.78,0.6267,0.78
ars_Arab,1.0,0.7997,1.0
mri_Latn,0.81,0.5621,0.81
ckb_Arab,0.51,0.3473,0.51
dan_Latn,1.0,0.8855,1.0
spa_Latn,0.99,0.9224,0.99
som_Latn,0.46,0.34,0.46
por_Latn,1.0,0.9221,1.0
mar_Deva,0.61,0.4512,0.61
vie_Latn,0.99,0.8367,0.99
lin_Latn,0.57,0.4264,0.57
fra_Latn,1.0,1.0,1.0
swe_Latn,1.0,0.8794,1.0
eng_Latn,0.99,0.9067,0.99
tgl_Latn,1.0,0.8209,1.0
nld_Latn,0.99,0.8921,0.99
kaz_Cyrl,0.63,0.4858,0.63
shn_Mymr,0.27,0.1885,0.27
urd_Arab,0.86,0.6303,0.86
oci_Latn,0.98,0.9045,0.98
ell_Grek,0.99,0.8148,0.99
bod_Tibt,0.19,0.1045,0.19
hau_Latn,0.4,0.2791,0.4
tam_Taml,0.45,0.2924,0.45
tha_Thai,0.95,0.7424,0.95
hat_Latn,0.87,0.7255,0.87
kat_Geor,0.71,0.5161,0.71
