code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
afr_Latn,0.98,0.7048,0.98
gaz_Latn,0.1,0.0436,0.1
arz_Arab,0.82,0.457,0.82
wol_Latn,0.17,0.1085,0.17
jpn_Jpan,0.88,0.6361,0.88
ceb_Latn,0.74,0.4091,0.74
tur_Latn,0.81,0.4524,0.81
deu_Latn,1.0,0.8667,1.0
mya_Mymr,0.02,0.0058,0.02
guj_Gujr,0.01,0.0045,0.01
eus_Latn,0.28,0.1545,0.28
slv_Latn,1.0,0.7755,1.0
zul_Latn,0.13,0.0673,0.13
hrv_Latn,1.0,0.8152,1.0
cat_Latn,1.0,0.9073,1.0
bam_Latn,0.11,0.0548,0.11
yor_Latn,0.11,0.057,0.11
tso_Latn,0.11,0.0733,0.11
heb_Hebr,0.68,0.3367,0.68
mlt_Latn,0.59,0.2891,0.59
ben_Beng,0.42,0.1606,0.42
xho_Latn,0.16,0.0727,0.16
tsn_Latn,0.13,0.0739,0.13
sin_Sinh,0.03,0.0076,0.03
swh_Latn,0.45,0.1773,0.45
glg_Latn,0.99,0.8342,0.99
ssw_Latn,0.14,0.0745,0.14
sun_Latn,0.46,0.3082,0.46
ars_Arab,0.88,0.5503,0.88
jav_Latn,0.44,0.2894,0.44
zho_Hans,0.98,0.7803,0.98
spa_Latn,1.0,0.907,1.0
som_Latn,0.15,0.0691,0.15
mri_Latn,0.33,0.1467,0.33
dan_Latn,1.0,0.83,1.0
ckb_Arab,0.11,0.0327,0.11
lin_Latn,0.2,0.1048,0.2
fra_Latn,1.0,1.0,1.0
por_Latn,1.0,0.907,1.0
mar_Deva,0.24,0.0661,0.24
vie_Latn,0.95,0.6752,0.95
swe_Latn,1.0,0.8282,1.0
tgl_Latn,0.95,0.5961,0.95
eng_Latn,1.0,0.7982,1.0
nld_Latn,0.99,0.8479,0.99
shn_Mymr,0.03,0.0088,0.03
kaz_Cyrl,0.33,0.1364,0.33
urd_Arab,0.43,0.1839,0.43
oci_Latn,0.97,0.7867,0.97
ell_Grek,0.87,0.4588,0.87
hau_Latn,0.13,0.0894,0.13
bod_Tibt,0.02,0.0036,0.02
kat_Geor,0.23,0.0976,0.23
tha_Thai,0.55,0.2794,0.55
tam_Taml,0.07,0.037,0.07
hat_Latn,0.61,0.34,0.61
ces_Latn,1.0,0.8476,1.0
ron_Latn,0.99,0.8324,0.99
ita_Latn,1.0,0.9167,1.0
pes_Arab,0.83,0.4264,0.83
hin_Deva,0.6,0.2473,0.6
kir_Cyrl,0.22,0.0882,0.22
apc_Arab,0.82,0.4994,0.82
war_Latn,0.6,0.3194,0.6
lit_Latn,0.79,0.4145,0.79
sot_Latn,0.15,0.0776,0.15
tel_Telu,0.03,0.0118,0.03
pan_Guru,0.03,0.0079,0.03
pbt_Arab,0.14,0.0558,0.14
khk_Cyrl,0.08,0.0352,0.08
amh_Ethi,0.03,0.0091,0.03
tir_Ethi,0.01,0.0027,0.01
kea_Latn,0.68,0.4748,0.68
ast_Latn,0.97,0.7764,0.97
acm_Arab,0.88,0.5236,0.88
ilo_Latn,0.37,0.2309,0.37
uzn_Latn,0.33,0.1245,0.33
ind_Latn,0.98,0.7576,0.98
pol_Latn,1.0,0.8318,1.0
hye_Armn,0.18,0.063,0.18
khm_Khmr,0.09,0.0421,0.09
lvs_Latn,0.72,0.3324,0.72
bul_Cyrl,1.0,0.8327,1.0
mal_Mlym,0.01,0.0003,0.01
fuv_Latn,0.16,0.113,0.16
plt_Latn,0.14,0.0761,0.14
ibo_Latn,0.1,0.0573,0.1
kor_Hang,0.87,0.6064,0.87
kan_Knda,0.06,0.0248,0.06
sna_Latn,0.16,0.0833,0.16
nob_Latn,0.99,0.767,0.99
hun_Latn,0.98,0.7761,0.98
arb_Arab,0.88,0.5521,0.88
slk_Latn,0.99,0.7097,0.99
lug_Latn,0.16,0.0961,0.16
ukr_Cyrl,0.99,0.8327,0.99
isl_Latn,0.71,0.2903,0.71
fin_Latn,0.95,0.6297,0.95
asm_Beng,0.1,0.0418,0.1
nya_Latn,0.18,0.0918,0.18
arb_Latn,0.35,0.1488,0.35
rus_Cyrl,1.0,0.8576,1.0
zho_Hant,0.97,0.7333,0.97
tgk_Cyrl,0.15,0.0776,0.15
kin_Latn,0.13,0.08,0.13
als_Latn,0.77,0.3679,0.77
lao_Laoo,0.03,0.0097,0.03
est_Latn,0.74,0.3588,0.74
grn_Latn,0.19,0.1179,0.19
zsm_Latn,0.97,0.6915,0.97
