code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
arz_Arab,0.98,0.7685,0.98
gaz_Latn,0.3,0.2027,0.3
afr_Latn,1.0,0.8918,1.0
eus_Latn,0.63,0.4791,0.63
guj_Gujr,0.4,0.2715,0.4
mya_Mymr,0.3,0.1791,0.3
tur_Latn,0.96,0.773,0.96
deu_Latn,1.0,1.0,1.0
ceb_Latn,0.94,0.7545,0.94
jpn_Jpan,0.98,0.8088,0.98
wol_Latn,0.49,0.3809,0.49
yor_Latn,0.37,0.2518,0.37
bam_Latn,0.4,0.2985,0.4
cat_Latn,1.0,0.8982,1.0
zul_Latn,0.49,0.3415,0.49
hrv_Latn,1.0,0.8803,1.0
slv_Latn,1.0,0.8867,1.0
glg_Latn,1.0,0.887,1.0
swh_Latn,0.8,0.5888,0.8
sin_Sinh,0.2,0.1297,0.2
tsn_Latn,0.42,0.3264,0.42
xho_Latn,0.56,0.4106,0.56
ben_Beng,0.82,0.6276,0.82
heb_Hebr,0.94,0.7348,0.94
mlt_Latn,0.87,0.6833,0.87
tso_Latn,0.42,0.3079,0.42
ckb_Arab,0.54,0.3552,0.54
dan_Latn,1.0,0.9136,1.0
mri_Latn,0.8,0.5703,0.8
som_Latn,0.43,0.3218,0.43
spa_Latn,1.0,0.8924,1.0
zho_Hans,1.0,0.8379,1.0
jav_Latn,0.83,0.6527,0.83
ars_Arab,0.99,0.7958,0.99
sun_Latn,0.82,0.6445,0.82
ssw_Latn,0.51,0.32,0.51
nld_Latn,1.0,0.9258,1.0
eng_Latn,1.0,0.8961,1.0
tgl_Latn,1.0,0.8321,1.0
swe_Latn,1.0,0.9164,1.0
vie_Latn,1.0,0.8406,1.0
mar_Deva,0.65,0.4639,0.65
por_Latn,1.0,0.903,1.0
fra_Latn,1.0,0.8985,1.0
lin_Latn,0.53,0.3906,0.53
oci_Latn,0.99,0.8718,0.99
urd_Arab,0.88,0.6442,0.88
shn_Mymr,0.28,0.1882,0.28
kaz_Cyrl,0.71,0.5224,0.71
hat_Latn,0.86,0.6824,0.86
tam_Taml,0.45,0.3191,0.45
tha_Thai,0.93,0.7261,0.93
kat_Geor,0.76,0.5636,0.76
bod_Tibt,0.17,0.0942,0.17
hau_Latn,0.4,0.2806,0.4
ell_Grek,0.98,0.8009,0.98
ita_Latn,1.0,0.9024,1.0
ron_Latn,1.0,0.9024,1.0
ces_Latn,1.0,0.8988,1.0
pan_Guru,0.38,0.2367,0.38
pbt_Arab,0.57,0.3961,0.57
tel_Telu,0.35,0.2545,0.35
lit_Latn,0.96,0.7612,0.96
sot_Latn,0.49,0.367,0.49
war_Latn,0.92,0.7479,0.92
apc_Arab,0.97,0.7645,0.97
kir_Cyrl,0.58,0.4303,0.58
hin_Deva,0.92,0.713,0.92
pes_Arab,0.98,0.7776,0.98
acm_Arab,0.98,0.7803,0.98
ilo_Latn,0.76,0.5991,0.76
ast_Latn,0.99,0.8564,0.99
kea_Latn,0.87,0.7227,0.87
tir_Ethi,0.11,0.0721,0.11
khk_Cyrl,0.42,0.3009,0.42
amh_Ethi,0.19,0.1312,0.19
khm_Khmr,0.61,0.4218,0.61
hye_Armn,0.68,0.4858,0.68
pol_Latn,1.0,0.8873,1.0
ind_Latn,1.0,0.8636,1.0
uzn_Latn,0.75,0.5379,0.75
hun_Latn,1.0,0.8642,1.0
nob_Latn,1.0,0.8945,1.0
sna_Latn,0.48,0.3461,0.48
kan_Knda,0.54,0.3545,0.54
kor_Hang,0.96,0.7748,0.96
ibo_Latn,0.43,0.3052,0.43
plt_Latn,0.54,0.383,0.54
fuv_Latn,0.34,0.2494,0.34
mal_Mlym,0.22,0.1364,0.22
bul_Cyrl,1.0,0.8824,1.0
lvs_Latn,0.92,0.7318,0.92
fin_Latn,1.0,0.8188,1.0
isl_Latn,0.91,0.7021,0.91
ukr_Cyrl,1.0,0.8948,1.0
lug_Latn,0.53,0.3533,0.53
slk_Latn,0.99,0.8761,0.99
arb_Arab,0.98,0.7945,0.98
arb_Latn,0.72,0.4594,0.72
nya_Latn,0.56,0.3812,0.56
asm_Beng,0.54,0.377,0.54
zsm_Latn,0.99,0.8521,0.99
grn_Latn,0.53,0.4194,0.53
est_Latn,0.91,0.7294,0.91
lao_Laoo,0.36,0.2515,0.36
als_Latn,0.92,0.737,0.92
kin_Latn,0.45,0.3209,0.45
tgk_Cyrl,0.54,0.3779,0.54
zho_Hant,0.98,0.7942,0.98
rus_Cyrl,1.0,0.8848,1.0
