code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
mri_Latn,0.37,0.1597,0.37
dan_Latn,1.0,0.8673,1.0
ckb_Arab,0.09,0.0282,0.09
spa_Latn,1.0,0.8606,1.0
som_Latn,0.12,0.0609,0.12
zho_Hans,0.98,0.8021,0.98
jav_Latn,0.46,0.3067,0.46
sun_Latn,0.46,0.3209,0.46
ssw_Latn,0.14,0.0742,0.14
ars_Arab,0.9,0.5609,0.9
tgl_Latn,0.99,0.6376,0.99
eng_Latn,1.0,0.7776,1.0
swe_Latn,1.0,0.8936,1.0
nld_Latn,1.0,0.9091,1.0
por_Latn,1.0,0.8715,1.0
vie_Latn,0.96,0.6761,0.96
mar_Deva,0.22,0.0709,0.22
lin_Latn,0.15,0.1094,0.15
fra_Latn,1.0,0.8667,1.0
urd_Arab,0.48,0.2276,0.48
oci_Latn,0.98,0.7621,0.98
kaz_Cyrl,0.32,0.1342,0.32
shn_Mymr,0.04,0.0145,0.04
tha_Thai,0.56,0.2797,0.56
tam_Taml,0.11,0.0382,0.11
hat_Latn,0.52,0.2918,0.52
kat_Geor,0.29,0.113,0.29
hau_Latn,0.15,0.0921,0.15
bod_Tibt,0.03,0.0106,0.03
ell_Grek,0.85,0.4809,0.85
arz_Arab,0.82,0.4758,0.82
gaz_Latn,0.08,0.0415,0.08
afr_Latn,0.99,0.7536,0.99
eus_Latn,0.26,0.1488,0.26
guj_Gujr,0.06,0.0182,0.06
mya_Mymr,0.03,0.0088,0.03
tur_Latn,0.84,0.493,0.84
deu_Latn,1.0,1.0,1.0
ceb_Latn,0.76,0.4279,0.76
wol_Latn,0.16,0.103,0.16
jpn_Jpan,0.92,0.6673,0.92
cat_Latn,1.0,0.8561,1.0
bam_Latn,0.12,0.0609,0.12
yor_Latn,0.09,0.0491,0.09
zul_Latn,0.16,0.0673,0.16
hrv_Latn,1.0,0.8312,1.0
slv_Latn,1.0,0.8097,1.0
swh_Latn,0.41,0.1776,0.41
glg_Latn,1.0,0.7955,1.0
xho_Latn,0.15,0.0727,0.15
tsn_Latn,0.14,0.077,0.14
sin_Sinh,0.03,0.0091,0.03
heb_Hebr,0.7,0.3521,0.7
mlt_Latn,0.52,0.2676,0.52
tso_Latn,0.11,0.0709,0.11
ben_Beng,0.39,0.1876,0.39
hun_Latn,0.99,0.8067,0.99
sna_Latn,0.16,0.0791,0.16
nob_Latn,1.0,0.8161,1.0
ibo_Latn,0.11,0.0588,0.11
kan_Knda,0.07,0.0258,0.07
kor_Hang,0.89,0.6436,0.89
bul_Cyrl,1.0,0.8385,1.0
plt_Latn,0.13,0.0715,0.13
fuv_Latn,0.15,0.1136,0.15
mal_Mlym,0.03,0.0058,0.03
lvs_Latn,0.77,0.3685,0.77
isl_Latn,0.72,0.3482,0.72
fin_Latn,0.96,0.6615,0.96
slk_Latn,0.98,0.7312,0.98
lug_Latn,0.15,0.0973,0.15
ukr_Cyrl,1.0,0.8561,1.0
arb_Arab,0.88,0.56,0.88
arb_Latn,0.33,0.1515,0.33
nya_Latn,0.17,0.0948,0.17
asm_Beng,0.1,0.0348,0.1
grn_Latn,0.2,0.1167,0.2
zsm_Latn,0.98,0.7012,0.98
est_Latn,0.79,0.4333,0.79
als_Latn,0.73,0.3682,0.73
lao_Laoo,0.05,0.0179,0.05
tgk_Cyrl,0.17,0.0718,0.17
kin_Latn,0.13,0.077,0.13
rus_Cyrl,1.0,0.8555,1.0
zho_Hant,0.98,0.7491,0.98
ita_Latn,1.0,0.8718,1.0
ron_Latn,1.0,0.8194,1.0
ces_Latn,1.0,0.8633,1.0
pbt_Arab,0.18,0.057,0.18
pan_Guru,0.03,0.0103,0.03
lit_Latn,0.82,0.4476,0.82
sot_Latn,0.13,0.0724,0.13
war_Latn,0.62,0.3406,0.62
tel_Telu,0.05,0.0212,0.05
hin_Deva,0.67,0.323,0.67
pes_Arab,0.83,0.4688,0.83
apc_Arab,0.84,0.487,0.84
kir_Cyrl,0.21,0.0985,0.21
ast_Latn,0.96,0.7427,0.96
ilo_Latn,0.39,0.2252,0.39
acm_Arab,0.87,0.5176,0.87
kea_Latn,0.67,0.4397,0.67
tir_Ethi,0.04,0.0091,0.04
khk_Cyrl,0.09,0.0318,0.09
amh_Ethi,0.05,0.0173,0.05
khm_Khmr,0.1,0.0342,0.1
hye_Armn,0.16,0.0558,0.16
pol_Latn,0.99,0.8418,0.99
uzn_Latn,0.32,0.1424,0.32
ind_Latn,0.99,0.7703,0.99
