code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
ita_Latn,1.0,0.7455,1.0
sun_Latn,0.41,0.2485,0.41
nob_Latn,0.97,0.6536,0.97
zsm_Latn,0.96,0.5355,0.96
hye_Armn,0.12,0.0476,0.12
mya_Mymr,0.02,0.0058,0.02
ilo_Latn,0.29,0.1661,0.29
sot_Latn,0.21,0.0636,0.21
lao_Laoo,0.05,0.0203,0.05
uzn_Latn,0.27,0.1009,0.27
als_Latn,0.63,0.2421,0.63
khm_Khmr,0.11,0.0342,0.11
lvs_Latn,0.65,0.2242,0.65
rus_Cyrl,0.99,0.75,0.99
glg_Latn,0.98,0.6758,0.98
ben_Beng,0.28,0.1085,0.28
fin_Latn,0.88,0.4245,0.88
ell_Grek,0.69,0.2921,0.69
ron_Latn,0.99,0.6764,0.99
tsn_Latn,0.24,0.0785,0.24
tha_Thai,0.38,0.1688,0.38
oci_Latn,0.97,0.6158,0.97
afr_Latn,0.94,0.5661,0.94
hau_Latn,0.2,0.0782,0.2
jav_Latn,0.34,0.1985,0.34
bul_Cyrl,1.0,0.6664,1.0
arz_Arab,0.75,0.3152,0.75
bam_Latn,0.14,0.0494,0.14
yor_Latn,0.12,0.0439,0.12
tur_Latn,0.73,0.3015,0.73
vie_Latn,0.94,0.5173,0.94
lin_Latn,0.19,0.0997,0.19
war_Latn,0.42,0.23,0.42
est_Latn,0.54,0.2064,0.54
mlt_Latn,0.45,0.1718,0.45
som_Latn,0.21,0.0667,0.21
tam_Taml,0.09,0.0367,0.09
apc_Arab,0.76,0.3167,0.76
ces_Latn,1.0,0.7045,1.0
kir_Cyrl,0.16,0.0664,0.16
arb_Arab,0.83,0.3991,0.83
por_Latn,1.0,0.78,1.0
swh_Latn,0.32,0.1288,0.32
slv_Latn,1.0,0.6282,1.0
pol_Latn,1.0,0.6903,1.0
isl_Latn,0.57,0.1927,0.57
tso_Latn,0.16,0.0664,0.16
sin_Sinh,0.03,0.0145,0.03
swe_Latn,1.0,0.6994,1.0
xho_Latn,0.16,0.0576,0.16
hat_Latn,0.43,0.2055,0.43
hin_Deva,0.53,0.1976,0.53
ind_Latn,0.98,0.5973,0.98
shn_Mymr,0.04,0.0127,0.04
fuv_Latn,0.21,0.1115,0.21
pbt_Arab,0.12,0.0545,0.12
asm_Beng,0.1,0.0339,0.1
fra_Latn,1.0,0.7982,1.0
deu_Latn,1.0,0.7776,1.0
ssw_Latn,0.17,0.077,0.17
hun_Latn,0.96,0.6118,0.96
kaz_Cyrl,0.32,0.1158,0.32
acm_Arab,0.8,0.3742,0.8
eng_Latn,1.0,1.0,1.0
pes_Arab,0.7,0.2761,0.7
slk_Latn,0.98,0.55,0.98
kea_Latn,0.54,0.3024,0.54
tir_Ethi,0.02,0.0085,0.02
heb_Hebr,0.56,0.2112,0.56
pan_Guru,0.03,0.01,0.03
zul_Latn,0.12,0.0561,0.12
wol_Latn,0.2,0.0897,0.2
plt_Latn,0.21,0.0588,0.21
tel_Telu,0.06,0.0203,0.06
grn_Latn,0.16,0.0888,0.16
mri_Latn,0.22,0.1103,0.22
sna_Latn,0.14,0.0709,0.14
khk_Cyrl,0.1,0.0379,0.1
ukr_Cyrl,1.0,0.733,1.0
cat_Latn,1.0,0.7482,1.0
zho_Hans,0.97,0.6882,0.97
mal_Mlym,0.03,0.0091,0.03
urd_Arab,0.37,0.1509,0.37
kat_Geor,0.22,0.0679,0.22
spa_Latn,1.0,0.7727,1.0
lug_Latn,0.23,0.0864,0.23
arb_Latn,0.2,0.0933,0.2
kin_Latn,0.18,0.0648,0.18
nld_Latn,1.0,0.7309,1.0
jpn_Jpan,0.91,0.5012,0.91
kan_Knda,0.07,0.0339,0.07
dan_Latn,0.98,0.6952,0.98
tgl_Latn,0.92,0.4788,0.92
zho_Hant,0.94,0.6024,0.94
guj_Gujr,0.05,0.0155,0.05
mar_Deva,0.14,0.0545,0.14
lit_Latn,0.67,0.2742,0.67
ast_Latn,0.92,0.6182,0.92
hrv_Latn,0.99,0.6558,0.99
eus_Latn,0.22,0.1027,0.22
nya_Latn,0.2,0.0724,0.2
ckb_Arab,0.06,0.0203,0.06
ceb_Latn,0.59,0.3064,0.59
kor_Hang,0.85,0.4906,0.85
amh_Ethi,0.04,0.0164,0.04
ibo_Latn,0.14,0.0582,0.14
ars_Arab,0.82,0.3915,0.82
tgk_Cyrl,0.12,0.0588,0.12
gaz_Latn,0.09,0.0318,0.09
bod_Tibt,0.02,0.0036,0.02
