code,mistralai/Mixtral-8x22B-v0.1_max,mistralai/Mixtral-8x22B-v0.1_mean,avg
tgk_Cyrl,0.09,0.0382,0.09
kin_Latn,0.16,0.0444,0.16
rus_Cyrl,0.93,0.5786,0.93
zho_Hant,0.82,0.4288,0.82
est_Latn,0.61,0.2293,0.61
grn_Latn,0.18,0.0288,0.18
zsm_Latn,0.79,0.394,0.79
als_Latn,0.52,0.1868,0.52
lao_Laoo,0.01,0.0009,0.01
asm_Beng,0.05,0.0118,0.05
arb_Latn,0.2,0.09,0.2
nya_Latn,0.19,0.067,0.19
arb_Arab,0.59,0.2709,0.59
isl_Latn,0.49,0.1684,0.49
fin_Latn,0.77,0.3747,0.77
slk_Latn,0.86,0.3905,0.86
lug_Latn,0.18,0.0456,0.18
ukr_Cyrl,0.91,0.5512,0.91
bul_Cyrl,0.85,0.4589,0.85
mal_Mlym,0.01,0.0026,0.01
fuv_Latn,0.2,0.056,0.2
plt_Latn,0.2,0.0402,0.2
lvs_Latn,0.44,0.1605,0.44
sna_Latn,0.14,0.0582,0.14
nob_Latn,0.92,0.4777,0.92
hun_Latn,0.88,0.4986,0.88
ibo_Latn,0.14,0.0286,0.14
kor_Hang,0.6,0.3225,0.6
kan_Knda,0.06,0.02,0.06
pol_Latn,0.89,0.5198,0.89
uzn_Latn,0.27,0.0844,0.27
ind_Latn,0.83,0.4635,0.83
hye_Armn,0.09,0.0272,0.09
khm_Khmr,0.06,0.0165,0.06
amh_Ethi,0.01,0.0002,0.01
khk_Cyrl,0.06,0.0188,0.06
tir_Ethi,0.0,0.0,0.0
ast_Latn,0.89,0.4411,0.89
ilo_Latn,0.26,0.0805,0.26
acm_Arab,0.52,0.2339,0.52
kea_Latn,0.53,0.2195,0.53
war_Latn,0.39,0.1535,0.39
sot_Latn,0.24,0.0337,0.24
lit_Latn,0.54,0.2261,0.54
tel_Telu,0.07,0.0142,0.07
pes_Arab,0.43,0.1835,0.43
hin_Deva,0.36,0.143,0.36
kir_Cyrl,0.11,0.0405,0.11
apc_Arab,0.51,0.2193,0.51
pan_Guru,0.03,0.0112,0.03
pbt_Arab,0.06,0.0242,0.06
ces_Latn,0.93,0.5432,0.93
ron_Latn,0.96,0.5239,0.96
ita_Latn,0.95,0.6589,0.95
ell_Grek,0.47,0.1768,0.47
hau_Latn,0.22,0.0414,0.22
bod_Tibt,0.02,0.0021,0.02
tha_Thai,0.25,0.1114,0.25
tam_Taml,0.08,0.0223,0.08
hat_Latn,0.48,0.1895,0.48
kat_Geor,0.13,0.036,0.13
kaz_Cyrl,0.19,0.06,0.19
shn_Mymr,0.01,0.0011,0.01
urd_Arab,0.3,0.0951,0.3
oci_Latn,0.86,0.4063,0.86
por_Latn,0.98,0.6786,0.98
mar_Deva,0.17,0.0454,0.17
vie_Latn,0.6,0.3054,0.6
lin_Latn,0.2,0.0535,0.2
fra_Latn,0.98,0.6751,0.98
swe_Latn,0.93,0.6125,0.93
tgl_Latn,0.67,0.3151,0.67
eng_Latn,1.0,1.0,1.0
nld_Latn,0.93,0.5909,0.93
jav_Latn,0.27,0.1119,0.27
zho_Hans,0.85,0.504,0.85
ssw_Latn,0.17,0.0358,0.17
sun_Latn,0.3,0.1439,0.3
ars_Arab,0.57,0.2604,0.57
mri_Latn,0.24,0.1023,0.24
dan_Latn,0.95,0.564,0.95
ckb_Arab,0.04,0.013,0.04
spa_Latn,0.94,0.6584,0.94
som_Latn,0.17,0.033,0.17
tso_Latn,0.16,0.0312,0.16
mlt_Latn,0.4,0.1388,0.4
heb_Hebr,0.42,0.137,0.42
ben_Beng,0.22,0.077,0.22
swh_Latn,0.34,0.1349,0.34
glg_Latn,0.93,0.5144,0.93
xho_Latn,0.13,0.0353,0.13
tsn_Latn,0.23,0.0354,0.23
sin_Sinh,0.01,0.0021,0.01
slv_Latn,0.91,0.4904,0.91
cat_Latn,0.99,0.6307,0.99
bam_Latn,0.14,0.0196,0.14
yor_Latn,0.11,0.0258,0.11
hrv_Latn,0.93,0.5284,0.93
zul_Latn,0.11,0.0375,0.11
ceb_Latn,0.43,0.1856,0.43
deu_Latn,0.96,0.6502,0.96
tur_Latn,0.54,0.2298,0.54
wol_Latn,0.18,0.0423,0.18
jpn_Jpan,0.66,0.33,0.66
guj_Gujr,0.1,0.0263,0.1
eus_Latn,0.39,0.1332,0.39
mya_Mymr,0.01,0.0016,0.01
gaz_Latn,0.08,0.0061,0.08
arz_Arab,0.55,0.2014,0.55
afr_Latn,0.86,0.3977,0.86
