code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
urd_Arab,1.0,0.8806,1.0
oci_Latn,1.0,0.9055,1.0
shn_Mymr,0.55,0.3906,0.55
kaz_Cyrl,1.0,0.8736,1.0
tha_Thai,0.98,0.8576,0.98
tam_Taml,0.8,0.6318,0.8
hat_Latn,0.98,0.847,0.98
kat_Geor,0.98,0.8661,0.98
ell_Grek,1.0,0.9136,1.0
hau_Latn,0.93,0.7564,0.93
bod_Tibt,0.82,0.5909,0.82
mri_Latn,0.96,0.7655,0.96
dan_Latn,1.0,0.9085,1.0
ckb_Arab,1.0,0.8615,1.0
spa_Latn,1.0,0.9252,1.0
som_Latn,0.95,0.78,0.95
jav_Latn,0.99,0.8803,0.99
zho_Hans,1.0,0.9203,1.0
ssw_Latn,0.88,0.6503,0.88
sun_Latn,0.98,0.8576,0.98
ars_Arab,1.0,1.0,1.0
swe_Latn,1.0,0.917,1.0
tgl_Latn,1.0,0.8752,1.0
eng_Latn,0.99,0.9276,0.99
nld_Latn,1.0,0.9064,1.0
por_Latn,1.0,0.9324,1.0
mar_Deva,0.93,0.7506,0.93
vie_Latn,1.0,0.9221,1.0
lin_Latn,0.82,0.6294,0.82
fra_Latn,0.99,0.9179,0.99
cat_Latn,1.0,0.9161,1.0
bam_Latn,0.53,0.4012,0.53
yor_Latn,0.82,0.6006,0.82
zul_Latn,0.97,0.7791,0.97
hrv_Latn,1.0,0.9067,1.0
slv_Latn,1.0,0.9109,1.0
swh_Latn,1.0,0.8482,1.0
glg_Latn,1.0,0.9282,1.0
xho_Latn,0.94,0.783,0.94
tsn_Latn,0.85,0.6682,0.85
sin_Sinh,0.95,0.7688,0.95
tso_Latn,0.82,0.6055,0.82
heb_Hebr,1.0,0.9191,1.0
mlt_Latn,1.0,0.887,1.0
ben_Beng,0.99,0.8082,0.99
arz_Arab,1.0,0.9827,1.0
gaz_Latn,0.75,0.5512,0.75
afr_Latn,1.0,0.9064,1.0
guj_Gujr,0.98,0.8245,0.98
eus_Latn,0.99,0.8594,0.99
mya_Mymr,0.66,0.5379,0.66
ceb_Latn,0.97,0.8418,0.97
tur_Latn,0.99,0.8873,0.99
deu_Latn,1.0,0.9236,1.0
wol_Latn,0.82,0.6264,0.82
jpn_Jpan,1.0,0.877,1.0
arb_Latn,0.94,0.7788,0.94
nya_Latn,0.92,0.7218,0.92
asm_Beng,0.98,0.8188,0.98
est_Latn,1.0,0.8903,1.0
grn_Latn,0.74,0.5739,0.74
zsm_Latn,1.0,0.9206,1.0
als_Latn,1.0,0.91,1.0
lao_Laoo,1.0,0.8606,1.0
tgk_Cyrl,0.98,0.8564,0.98
kin_Latn,0.96,0.7845,0.96
rus_Cyrl,1.0,0.9288,1.0
zho_Hant,1.0,0.8997,1.0
sna_Latn,0.89,0.7045,0.89
nob_Latn,1.0,0.9109,1.0
hun_Latn,1.0,0.8936,1.0
ibo_Latn,0.94,0.7527,0.94
kor_Hang,0.99,0.8748,0.99
kan_Knda,0.95,0.7803,0.95
bul_Cyrl,1.0,0.9215,1.0
fuv_Latn,0.51,0.353,0.51
mal_Mlym,0.91,0.7039,0.91
plt_Latn,0.95,0.7433,0.95
lvs_Latn,1.0,0.9091,1.0
isl_Latn,0.99,0.8721,0.99
fin_Latn,1.0,0.8939,1.0
slk_Latn,1.0,0.9045,1.0
lug_Latn,0.74,0.5894,0.74
ukr_Cyrl,1.0,0.9206,1.0
arb_Arab,1.0,1.0,1.0
ast_Latn,1.0,0.9067,1.0
acm_Arab,1.0,0.9976,1.0
ilo_Latn,0.93,0.757,0.93
kea_Latn,0.96,0.827,0.96
khk_Cyrl,0.98,0.8245,0.98
amh_Ethi,0.97,0.8067,0.97
tir_Ethi,0.89,0.7264,0.89
hye_Armn,1.0,0.8936,1.0
khm_Khmr,0.97,0.8412,0.97
pol_Latn,1.0,0.9148,1.0
uzn_Latn,1.0,0.8385,1.0
ind_Latn,1.0,0.9294,1.0
ron_Latn,1.0,0.9209,1.0
ita_Latn,1.0,0.9215,1.0
ces_Latn,1.0,0.9215,1.0
pbt_Arab,0.99,0.8288,0.99
pan_Guru,1.0,0.8512,1.0
war_Latn,0.96,0.8279,0.96
lit_Latn,1.0,0.9082,1.0
sot_Latn,0.91,0.7394,0.91
tel_Telu,0.85,0.6736,0.85
hin_Deva,0.98,0.8379,0.98
pes_Arab,1.0,0.9233,1.0
kir_Cyrl,1.0,0.8415,1.0
apc_Arab,1.0,0.9882,1.0
