code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
ben_Beng,0.65,0.3873,0.65
mlt_Latn,0.97,0.6703,0.97
heb_Hebr,1.0,0.8276,1.0
tso_Latn,0.27,0.1042,0.27
sin_Sinh,0.59,0.3391,0.59
xho_Latn,0.79,0.4027,0.79
tsn_Latn,0.5,0.2285,0.5
swh_Latn,0.94,0.5879,0.94
glg_Latn,1.0,0.8021,1.0
slv_Latn,1.0,0.7803,1.0
hrv_Latn,0.99,0.8061,0.99
zul_Latn,0.81,0.3903,0.81
bam_Latn,0.1,0.0545,0.1
yor_Latn,0.42,0.1858,0.42
cat_Latn,1.0,0.8206,1.0
jpn_Jpan,0.98,0.7179,0.98
wol_Latn,0.36,0.1561,0.36
deu_Latn,1.0,0.8327,1.0
tur_Latn,0.96,0.7091,0.96
ceb_Latn,0.9,0.5427,0.9
mya_Mymr,0.18,0.0842,0.18
eus_Latn,0.92,0.5715,0.92
guj_Gujr,0.73,0.4318,0.73
afr_Latn,1.0,0.7515,1.0
gaz_Latn,0.26,0.0994,0.26
arz_Arab,0.99,0.9315,0.99
hau_Latn,0.77,0.39,0.77
bod_Tibt,0.17,0.0724,0.17
ell_Grek,1.0,0.8503,1.0
kat_Geor,0.94,0.663,0.94
hat_Latn,0.92,0.6012,0.92
tha_Thai,0.82,0.5382,0.82
tam_Taml,0.23,0.13,0.23
shn_Mymr,0.04,0.0206,0.04
kaz_Cyrl,0.95,0.6321,0.95
oci_Latn,0.99,0.7012,0.99
urd_Arab,0.98,0.7021,0.98
fra_Latn,0.99,0.8379,0.99
lin_Latn,0.44,0.1809,0.44
vie_Latn,1.0,0.8494,1.0
mar_Deva,0.5,0.2594,0.5
por_Latn,1.0,0.867,1.0
nld_Latn,0.99,0.8021,0.99
tgl_Latn,0.96,0.6133,0.96
eng_Latn,0.99,0.8542,0.99
swe_Latn,1.0,0.8139,1.0
ars_Arab,1.0,1.0,1.0
sun_Latn,0.93,0.6082,0.93
ssw_Latn,0.49,0.2109,0.49
zho_Hans,0.99,0.8048,0.99
jav_Latn,0.94,0.6318,0.94
som_Latn,0.89,0.4718,0.89
spa_Latn,1.0,0.8448,1.0
dan_Latn,0.99,0.8,0.99
ckb_Arab,0.92,0.5448,0.92
mri_Latn,0.68,0.3473,0.68
ind_Latn,1.0,0.8542,1.0
uzn_Latn,0.9,0.5476,0.9
pol_Latn,0.99,0.8224,0.99
khm_Khmr,0.55,0.2985,0.55
hye_Armn,0.98,0.7048,0.98
tir_Ethi,0.38,0.167,0.38
amh_Ethi,0.62,0.3042,0.62
khk_Cyrl,0.83,0.4858,0.83
kea_Latn,0.81,0.5264,0.81
acm_Arab,1.0,0.9936,1.0
ilo_Latn,0.67,0.3348,0.67
ast_Latn,0.98,0.7236,0.98
apc_Arab,1.0,0.9509,1.0
kir_Cyrl,0.92,0.5203,0.92
pes_Arab,1.0,0.8506,1.0
hin_Deva,0.81,0.46,0.81
tel_Telu,0.38,0.2221,0.38
sot_Latn,0.72,0.3424,0.72
lit_Latn,1.0,0.7536,1.0
war_Latn,0.79,0.4297,0.79
pan_Guru,0.85,0.5252,0.85
pbt_Arab,0.85,0.5161,0.85
ces_Latn,1.0,0.8315,1.0
ita_Latn,1.0,0.843,1.0
ron_Latn,1.0,0.83,1.0
zho_Hant,0.97,0.7948,0.97
rus_Cyrl,1.0,0.8715,1.0
kin_Latn,0.85,0.4036,0.85
tgk_Cyrl,0.96,0.5882,0.96
lao_Laoo,0.74,0.427,0.74
als_Latn,0.99,0.7442,0.99
grn_Latn,0.29,0.1282,0.29
zsm_Latn,1.0,0.8097,1.0
est_Latn,0.98,0.7085,0.98
asm_Beng,0.68,0.38,0.68
nya_Latn,0.63,0.2897,0.63
arb_Latn,0.53,0.3494,0.53
arb_Arab,1.0,1.0,1.0
lug_Latn,0.36,0.1661,0.36
ukr_Cyrl,1.0,0.8352,1.0
slk_Latn,0.99,0.8055,0.99
fin_Latn,1.0,0.7688,1.0
isl_Latn,0.97,0.6109,0.97
lvs_Latn,0.98,0.757,0.98
plt_Latn,0.71,0.3206,0.71
mal_Mlym,0.36,0.1973,0.36
fuv_Latn,0.19,0.1161,0.19
bul_Cyrl,0.99,0.8142,0.99
kan_Knda,0.57,0.3348,0.57
kor_Hang,0.95,0.7618,0.95
ibo_Latn,0.7,0.3352,0.7
hun_Latn,0.99,0.7764,0.99
sna_Latn,0.63,0.2845,0.63
nob_Latn,0.99,0.7988,0.99
