code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
ast_Latn,1.0,0.8903,1.0
ilo_Latn,0.94,0.7836,0.94
acm_Arab,0.99,0.8415,0.99
kea_Latn,0.98,0.8139,0.98
khk_Cyrl,1.0,0.8288,1.0
amh_Ethi,0.96,0.7782,0.96
tir_Ethi,0.9,0.6997,0.9
hye_Armn,0.99,0.8697,0.99
khm_Khmr,0.97,0.7924,0.97
pol_Latn,1.0,0.8845,1.0
uzn_Latn,1.0,0.8448,1.0
ind_Latn,1.0,0.8733,1.0
ron_Latn,1.0,0.9015,1.0
ita_Latn,1.0,0.893,1.0
ces_Latn,1.0,0.8852,1.0
pan_Guru,1.0,0.8424,1.0
pbt_Arab,0.97,0.8155,0.97
war_Latn,1.0,0.8406,1.0
lit_Latn,0.99,0.8703,0.99
sot_Latn,0.95,0.7488,0.95
tel_Telu,0.87,0.6564,0.87
pes_Arab,1.0,0.8606,1.0
hin_Deva,0.96,0.8167,0.96
kir_Cyrl,0.99,0.8376,0.99
apc_Arab,1.0,0.837,1.0
arb_Latn,0.84,0.6227,0.84
nya_Latn,0.89,0.68,0.89
asm_Beng,0.97,0.8021,0.97
est_Latn,1.0,0.887,1.0
zsm_Latn,0.99,0.877,0.99
grn_Latn,0.79,0.6227,0.79
als_Latn,1.0,0.8736,1.0
lao_Laoo,0.95,0.8,0.95
tgk_Cyrl,0.98,0.827,0.98
kin_Latn,0.91,0.7188,0.91
rus_Cyrl,1.0,0.8694,1.0
zho_Hant,0.99,0.8355,0.99
nob_Latn,0.99,0.8842,0.99
sna_Latn,0.93,0.7091,0.93
hun_Latn,1.0,0.8976,1.0
ibo_Latn,0.92,0.7379,0.92
kor_Hang,0.98,0.8485,0.98
kan_Knda,0.97,0.7848,0.97
bul_Cyrl,1.0,0.8558,1.0
mal_Mlym,0.87,0.6806,0.87
fuv_Latn,0.51,0.36,0.51
plt_Latn,0.91,0.7382,0.91
lvs_Latn,0.99,0.8673,0.99
isl_Latn,0.99,0.8527,0.99
fin_Latn,1.0,0.8721,1.0
slk_Latn,1.0,0.8836,1.0
ukr_Cyrl,0.99,0.8682,0.99
lug_Latn,0.77,0.5733,0.77
arb_Arab,0.99,0.8594,0.99
cat_Latn,1.0,0.8994,1.0
yor_Latn,0.81,0.6142,0.81
bam_Latn,0.53,0.4,0.53
zul_Latn,0.94,0.7445,0.94
hrv_Latn,1.0,0.8836,1.0
slv_Latn,0.98,0.8612,0.98
glg_Latn,1.0,0.9009,1.0
swh_Latn,0.98,0.8133,0.98
tsn_Latn,0.85,0.6615,0.85
xho_Latn,0.93,0.7609,0.93
sin_Sinh,0.95,0.763,0.95
tso_Latn,0.8,0.5867,0.8
heb_Hebr,0.99,0.8588,0.99
mlt_Latn,1.0,0.8821,1.0
ben_Beng,0.97,0.7982,0.97
gaz_Latn,0.76,0.5555,0.76
arz_Arab,0.99,0.8358,0.99
afr_Latn,1.0,0.893,1.0
guj_Gujr,0.98,0.8224,0.98
eus_Latn,1.0,1.0,1.0
mya_Mymr,0.72,0.5403,0.72
ceb_Latn,0.99,0.8536,0.99
tur_Latn,1.0,0.8864,1.0
deu_Latn,1.0,0.8903,1.0
wol_Latn,0.8,0.6155,0.8
jpn_Jpan,0.99,0.8512,0.99
urd_Arab,1.0,0.85,1.0
oci_Latn,0.99,0.8779,0.99
kaz_Cyrl,1.0,0.8745,1.0
shn_Mymr,0.54,0.393,0.54
tam_Taml,0.8,0.5752,0.8
tha_Thai,0.97,0.81,0.97
hat_Latn,0.98,0.8461,0.98
kat_Geor,0.98,0.8345,0.98
ell_Grek,1.0,0.8567,1.0
bod_Tibt,0.81,0.6006,0.81
hau_Latn,0.93,0.7385,0.93
mri_Latn,0.95,0.7515,0.95
ckb_Arab,1.0,0.8282,1.0
dan_Latn,1.0,0.8888,1.0
spa_Latn,1.0,0.8864,1.0
som_Latn,0.92,0.7415,0.92
jav_Latn,0.99,0.8497,0.99
zho_Hans,0.99,0.8524,0.99
ssw_Latn,0.87,0.6418,0.87
sun_Latn,0.99,0.8442,0.99
ars_Arab,0.99,0.8591,0.99
swe_Latn,0.98,0.8873,0.98
eng_Latn,1.0,0.8948,1.0
tgl_Latn,0.99,0.8724,0.99
nld_Latn,1.0,0.8861,1.0
por_Latn,1.0,0.9036,1.0
mar_Deva,0.94,0.7524,0.94
vie_Latn,0.99,0.8767,0.99
lin_Latn,0.75,0.6085,0.75
fra_Latn,0.99,0.8824,0.99
