code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
slv_Latn,0.94,0.6261,0.94
hrv_Latn,0.95,0.6448,0.95
zul_Latn,0.75,0.3948,0.75
bam_Latn,0.13,0.0658,0.13
yor_Latn,0.5,0.2276,0.5
cat_Latn,0.95,0.673,0.95
ben_Beng,0.83,0.4639,0.83
mlt_Latn,0.93,0.5994,0.93
heb_Hebr,0.92,0.5791,0.92
tso_Latn,0.4,0.1709,0.4
sin_Sinh,0.68,0.3836,0.68
xho_Latn,0.82,0.4339,0.82
tsn_Latn,0.62,0.3103,0.62
swh_Latn,0.91,0.5624,0.91
glg_Latn,0.97,0.6639,0.97
afr_Latn,0.96,0.6173,0.96
arz_Arab,0.88,0.5276,0.88
gaz_Latn,0.42,0.1858,0.42
jpn_Jpan,0.91,0.5494,0.91
wol_Latn,0.4,0.1991,0.4
deu_Latn,0.97,0.6336,0.97
tur_Latn,0.97,0.64,0.97
ceb_Latn,0.92,0.5173,0.92
mya_Mymr,0.26,0.1079,0.26
eus_Latn,1.0,1.0,1.0
guj_Gujr,0.85,0.4758,0.85
kaz_Cyrl,0.96,0.6603,0.96
shn_Mymr,0.08,0.0291,0.08
oci_Latn,0.96,0.6206,0.96
urd_Arab,0.93,0.5858,0.93
hau_Latn,0.78,0.4185,0.78
bod_Tibt,0.27,0.0948,0.27
ell_Grek,0.9,0.5703,0.9
kat_Geor,0.87,0.55,0.87
hat_Latn,0.91,0.5621,0.91
tha_Thai,0.79,0.4179,0.79
tam_Taml,0.35,0.1727,0.35
ars_Arab,0.93,0.5703,0.93
sun_Latn,0.91,0.5276,0.91
ssw_Latn,0.54,0.2567,0.54
zho_Hans,0.83,0.4876,0.83
jav_Latn,0.89,0.5267,0.89
som_Latn,0.8,0.4597,0.8
spa_Latn,0.93,0.6118,0.93
dan_Latn,0.93,0.6233,0.93
ckb_Arab,0.88,0.5418,0.88
mri_Latn,0.77,0.3885,0.77
fra_Latn,0.93,0.6015,0.93
lin_Latn,0.46,0.21,0.46
vie_Latn,0.92,0.593,0.92
mar_Deva,0.65,0.3609,0.65
por_Latn,0.97,0.6409,0.97
nld_Latn,0.93,0.6088,0.93
tgl_Latn,0.95,0.5924,0.95
eng_Latn,0.95,0.5752,0.95
swe_Latn,0.95,0.6336,0.95
tir_Ethi,0.61,0.2464,0.61
amh_Ethi,0.76,0.3782,0.76
khk_Cyrl,0.91,0.593,0.91
kea_Latn,0.82,0.4961,0.82
ilo_Latn,0.71,0.3639,0.71
acm_Arab,0.91,0.5533,0.91
ast_Latn,0.97,0.6373,0.97
ind_Latn,0.94,0.6,0.94
uzn_Latn,0.99,0.6415,0.99
pol_Latn,0.92,0.6012,0.92
khm_Khmr,0.6,0.2888,0.6
hye_Armn,0.92,0.5939,0.92
ces_Latn,0.96,0.63,0.96
ita_Latn,0.96,0.6209,0.96
ron_Latn,0.95,0.6512,0.95
apc_Arab,0.9,0.5427,0.9
kir_Cyrl,0.94,0.587,0.94
hin_Deva,0.86,0.5118,0.86
pes_Arab,0.95,0.5924,0.95
tel_Telu,0.51,0.2785,0.51
sot_Latn,0.79,0.4136,0.79
lit_Latn,0.95,0.6594,0.95
war_Latn,0.79,0.4282,0.79
pbt_Arab,0.88,0.5218,0.88
pan_Guru,0.91,0.5355,0.91
asm_Beng,0.78,0.45,0.78
nya_Latn,0.65,0.3397,0.65
arb_Latn,0.5,0.2473,0.5
zho_Hant,0.9,0.5094,0.9
rus_Cyrl,0.94,0.5852,0.94
kin_Latn,0.77,0.4042,0.77
tgk_Cyrl,0.94,0.5939,0.94
lao_Laoo,0.78,0.3897,0.78
als_Latn,0.94,0.6218,0.94
grn_Latn,0.38,0.1767,0.38
zsm_Latn,0.95,0.597,0.95
est_Latn,0.96,0.6727,0.96
lvs_Latn,0.94,0.6364,0.94
plt_Latn,0.67,0.3633,0.67
fuv_Latn,0.18,0.113,0.18
mal_Mlym,0.47,0.2597,0.47
bul_Cyrl,0.93,0.5997,0.93
kan_Knda,0.76,0.4145,0.76
kor_Hang,0.92,0.5664,0.92
ibo_Latn,0.69,0.3467,0.69
hun_Latn,0.96,0.6594,0.96
sna_Latn,0.7,0.3267,0.7
nob_Latn,0.94,0.6242,0.94
arb_Arab,0.92,0.5715,0.92
lug_Latn,0.44,0.1997,0.44
ukr_Cyrl,0.95,0.603,0.95
slk_Latn,0.95,0.6224,0.95
fin_Latn,0.93,0.6579,0.93
isl_Latn,0.93,0.5755,0.93
