code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
ceb_Latn,1.0,0.9064,1.0
deu_Latn,1.0,0.9655,1.0
tur_Latn,0.99,0.9161,0.99
jpn_Jpan,1.0,0.9203,1.0
wol_Latn,0.83,0.6579,0.83
guj_Gujr,0.99,0.8503,0.99
eus_Latn,1.0,0.8948,1.0
mya_Mymr,0.7,0.5406,0.7
gaz_Latn,0.74,0.5458,0.74
arz_Arab,0.99,0.903,0.99
afr_Latn,1.0,0.9579,1.0
ben_Beng,0.98,0.8155,0.98
tso_Latn,0.83,0.6239,0.83
mlt_Latn,1.0,0.9288,1.0
heb_Hebr,1.0,0.9106,1.0
swh_Latn,1.0,0.8721,1.0
glg_Latn,1.0,0.9685,1.0
sin_Sinh,0.98,0.8067,0.98
xho_Latn,0.98,0.8112,0.98
tsn_Latn,0.91,0.7094,0.91
slv_Latn,1.0,0.9261,1.0
bam_Latn,0.55,0.4255,0.55
yor_Latn,0.87,0.66,0.87
cat_Latn,1.0,0.9612,1.0
hrv_Latn,1.0,0.9412,1.0
zul_Latn,0.98,0.7818,0.98
mar_Deva,0.96,0.7718,0.96
vie_Latn,0.99,0.9548,0.99
por_Latn,1.0,0.9724,1.0
fra_Latn,0.99,0.9615,0.99
lin_Latn,0.85,0.6606,0.85
nld_Latn,1.0,0.9579,1.0
swe_Latn,1.0,0.9542,1.0
tgl_Latn,1.0,0.9294,1.0
eng_Latn,1.0,1.0,1.0
jav_Latn,0.99,0.9094,0.99
zho_Hans,1.0,0.9591,1.0
ars_Arab,0.99,0.9233,0.99
ssw_Latn,0.92,0.7082,0.92
sun_Latn,1.0,0.8918,1.0
dan_Latn,1.0,0.9561,1.0
ckb_Arab,1.0,0.8673,1.0
mri_Latn,0.95,0.7927,0.95
som_Latn,0.97,0.8161,0.97
spa_Latn,1.0,0.9724,1.0
ell_Grek,1.0,0.9248,1.0
hau_Latn,0.97,0.7994,0.97
bod_Tibt,0.8,0.5667,0.8
hat_Latn,0.98,0.893,0.98
tha_Thai,0.99,0.8745,0.99
tam_Taml,0.85,0.6379,0.85
kat_Geor,1.0,0.8688,1.0
kaz_Cyrl,0.99,0.8691,0.99
shn_Mymr,0.59,0.4433,0.59
oci_Latn,1.0,0.9558,1.0
urd_Arab,1.0,0.8942,1.0
tel_Telu,0.87,0.6855,0.87
war_Latn,1.0,0.913,1.0
sot_Latn,0.94,0.7858,0.94
lit_Latn,1.0,0.9312,1.0
kir_Cyrl,0.98,0.8427,0.98
apc_Arab,1.0,0.9224,1.0
pes_Arab,1.0,0.9185,1.0
hin_Deva,1.0,0.8576,1.0
pbt_Arab,1.0,0.8315,1.0
pan_Guru,0.99,0.8624,0.99
ces_Latn,1.0,0.9382,1.0
ron_Latn,1.0,0.9564,1.0
ita_Latn,1.0,0.97,1.0
pol_Latn,1.0,0.9397,1.0
ind_Latn,1.0,0.963,1.0
uzn_Latn,1.0,0.8415,1.0
hye_Armn,1.0,0.9048,1.0
khm_Khmr,0.98,0.8555,0.98
amh_Ethi,0.95,0.7867,0.95
khk_Cyrl,0.99,0.8185,0.99
tir_Ethi,0.91,0.723,0.91
ilo_Latn,0.95,0.8333,0.95
acm_Arab,0.99,0.9158,0.99
ast_Latn,1.0,0.9573,1.0
kea_Latn,0.99,0.8745,0.99
arb_Arab,0.99,0.9276,0.99
fin_Latn,1.0,0.9209,1.0
isl_Latn,1.0,0.9015,1.0
lug_Latn,0.84,0.6388,0.84
ukr_Cyrl,1.0,0.9358,1.0
slk_Latn,1.0,0.9285,1.0
mal_Mlym,0.88,0.707,0.88
fuv_Latn,0.55,0.3894,0.55
plt_Latn,0.94,0.7739,0.94
bul_Cyrl,1.0,0.9355,1.0
lvs_Latn,1.0,0.9079,1.0
sna_Latn,0.93,0.7542,0.93
nob_Latn,1.0,0.9521,1.0
hun_Latn,1.0,0.9252,1.0
kor_Hang,1.0,0.9136,1.0
kan_Knda,0.96,0.7736,0.96
ibo_Latn,0.95,0.7824,0.95
kin_Latn,0.99,0.7882,0.99
tgk_Cyrl,0.98,0.8533,0.98
zho_Hant,1.0,0.9491,1.0
rus_Cyrl,1.0,0.9527,1.0
est_Latn,1.0,0.9258,1.0
grn_Latn,0.75,0.6158,0.75
zsm_Latn,1.0,0.9591,1.0
lao_Laoo,1.0,0.8618,1.0
als_Latn,1.0,0.9248,1.0
asm_Beng,0.97,0.8191,0.97
arb_Latn,0.9,0.6755,0.9
nya_Latn,0.93,0.7561,0.93
