code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
est_Latn,1.0,0.8976,1.0
zsm_Latn,1.0,0.9327,1.0
grn_Latn,0.72,0.553,0.72
lao_Laoo,1.0,0.8433,1.0
als_Latn,1.0,0.8882,1.0
kin_Latn,0.94,0.7255,0.94
tgk_Cyrl,0.98,0.8352,0.98
zho_Hant,1.0,0.9824,1.0
rus_Cyrl,1.0,0.9418,1.0
arb_Latn,0.84,0.6364,0.84
nya_Latn,0.94,0.707,0.94
asm_Beng,0.97,0.7988,0.97
fin_Latn,1.0,0.8952,1.0
isl_Latn,0.99,0.8648,0.99
ukr_Cyrl,1.0,0.9164,1.0
lug_Latn,0.71,0.5379,0.71
slk_Latn,1.0,0.9006,1.0
arb_Arab,1.0,0.9203,1.0
nob_Latn,1.0,0.9103,1.0
sna_Latn,0.93,0.6955,0.93
hun_Latn,1.0,0.9082,1.0
kor_Hang,1.0,0.9312,1.0
kan_Knda,0.93,0.7688,0.93
ibo_Latn,0.92,0.7348,0.92
fuv_Latn,0.48,0.3548,0.48
mal_Mlym,0.86,0.6882,0.86
plt_Latn,0.88,0.6961,0.88
bul_Cyrl,1.0,0.9176,1.0
lvs_Latn,1.0,0.8973,1.0
hye_Armn,1.0,0.8964,1.0
khm_Khmr,0.95,0.8167,0.95
pol_Latn,1.0,0.9076,1.0
ind_Latn,1.0,0.9367,1.0
uzn_Latn,0.98,0.8427,0.98
acm_Arab,1.0,0.9067,1.0
ilo_Latn,0.92,0.7642,0.92
ast_Latn,1.0,0.903,1.0
kea_Latn,0.97,0.8055,0.97
amh_Ethi,0.96,0.7855,0.96
khk_Cyrl,0.97,0.8258,0.97
tir_Ethi,0.9,0.6967,0.9
pbt_Arab,0.98,0.8091,0.98
pan_Guru,0.99,0.8548,0.99
tel_Telu,0.9,0.6842,0.9
war_Latn,0.98,0.8273,0.98
sot_Latn,0.92,0.7191,0.92
lit_Latn,1.0,0.907,1.0
kir_Cyrl,0.99,0.8306,0.99
apc_Arab,1.0,0.9003,1.0
hin_Deva,0.99,0.8448,0.99
pes_Arab,0.99,0.9179,0.99
ron_Latn,1.0,0.9224,1.0
ita_Latn,1.0,0.9315,1.0
ces_Latn,1.0,0.9173,1.0
hat_Latn,0.98,0.8361,0.98
tam_Taml,0.84,0.6164,0.84
tha_Thai,0.99,0.8679,0.99
kat_Geor,1.0,0.8706,1.0
ell_Grek,1.0,0.9064,1.0
bod_Tibt,0.8,0.5539,0.8
hau_Latn,0.92,0.7267,0.92
oci_Latn,0.99,0.8845,0.99
urd_Arab,1.0,0.8755,1.0
shn_Mymr,0.59,0.4215,0.59
kaz_Cyrl,0.99,0.8742,0.99
nld_Latn,1.0,0.9233,1.0
swe_Latn,1.0,0.9197,1.0
eng_Latn,1.0,0.9591,1.0
tgl_Latn,1.0,0.8758,1.0
mar_Deva,0.93,0.7615,0.93
vie_Latn,1.0,0.9433,1.0
por_Latn,1.0,0.9321,1.0
fra_Latn,1.0,0.9294,1.0
lin_Latn,0.75,0.5782,0.75
ckb_Arab,0.98,0.8239,0.98
dan_Latn,1.0,0.92,1.0
mri_Latn,0.93,0.7385,0.93
som_Latn,0.95,0.7518,0.95
spa_Latn,1.0,0.9376,1.0
jav_Latn,0.98,0.8452,0.98
zho_Hans,1.0,1.0,1.0
ars_Arab,1.0,0.92,1.0
ssw_Latn,0.86,0.6394,0.86
sun_Latn,0.98,0.8336,0.98
glg_Latn,1.0,0.93,1.0
swh_Latn,0.98,0.8076,0.98
sin_Sinh,0.98,0.793,0.98
tsn_Latn,0.85,0.6594,0.85
xho_Latn,0.93,0.7242,0.93
ben_Beng,0.97,0.797,0.97
tso_Latn,0.77,0.5548,0.77
mlt_Latn,1.0,0.8673,1.0
heb_Hebr,1.0,0.9058,1.0
yor_Latn,0.83,0.6173,0.83
bam_Latn,0.53,0.3861,0.53
cat_Latn,1.0,0.9158,1.0
hrv_Latn,1.0,0.907,1.0
zul_Latn,0.94,0.7182,0.94
slv_Latn,1.0,0.8939,1.0
guj_Gujr,0.99,0.8339,0.99
eus_Latn,0.99,0.8524,0.99
mya_Mymr,0.69,0.5379,0.69
ceb_Latn,0.99,0.8391,0.99
deu_Latn,1.0,0.9327,1.0
tur_Latn,0.99,0.8885,0.99
jpn_Jpan,1.0,0.9515,1.0
wol_Latn,0.8,0.5927,0.8
arz_Arab,1.0,0.8903,1.0
gaz_Latn,0.7,0.4958,0.7
afr_Latn,1.0,0.9091,1.0
