code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
eng_Latn,1.0,0.9136,1.0
tgl_Latn,0.9,0.5445,0.9
swe_Latn,1.0,0.7552,1.0
nld_Latn,0.99,0.747,0.99
lin_Latn,0.3,0.1415,0.3
fra_Latn,1.0,0.8482,1.0
por_Latn,1.0,0.8548,1.0
vie_Latn,0.98,0.8461,0.98
mar_Deva,0.45,0.2215,0.45
spa_Latn,1.0,0.8473,1.0
som_Latn,0.62,0.31,0.62
mri_Latn,0.54,0.2727,0.54
ckb_Arab,0.69,0.35,0.69
dan_Latn,0.99,0.7382,0.99
sun_Latn,0.84,0.5224,0.84
ssw_Latn,0.35,0.1561,0.35
ars_Arab,0.99,0.7961,0.99
zho_Hans,1.0,1.0,1.0
jav_Latn,0.89,0.5409,0.89
kat_Geor,0.84,0.5655,0.84
tam_Taml,0.25,0.1139,0.25
tha_Thai,0.8,0.4533,0.8
hat_Latn,0.84,0.5285,0.84
bod_Tibt,0.09,0.0385,0.09
hau_Latn,0.6,0.3179,0.6
ell_Grek,0.98,0.7085,0.98
urd_Arab,0.94,0.6261,0.94
oci_Latn,0.96,0.6294,0.96
shn_Mymr,0.05,0.0127,0.05
kaz_Cyrl,0.88,0.5845,0.88
mya_Mymr,0.16,0.0706,0.16
eus_Latn,0.83,0.4876,0.83
guj_Gujr,0.59,0.363,0.59
wol_Latn,0.27,0.1288,0.27
jpn_Jpan,0.99,0.8388,0.99
tur_Latn,0.95,0.6685,0.95
deu_Latn,1.0,0.8342,1.0
ceb_Latn,0.75,0.4494,0.75
afr_Latn,0.99,0.7021,0.99
gaz_Latn,0.15,0.0673,0.15
arz_Arab,0.99,0.6767,0.99
tsn_Latn,0.44,0.1858,0.44
xho_Latn,0.62,0.313,0.62
sin_Sinh,0.39,0.2403,0.39
glg_Latn,1.0,0.763,1.0
swh_Latn,0.83,0.4603,0.83
heb_Hebr,0.97,0.6979,0.97
mlt_Latn,0.88,0.5309,0.88
tso_Latn,0.17,0.0685,0.17
ben_Beng,0.62,0.3658,0.62
zul_Latn,0.56,0.2627,0.56
hrv_Latn,0.97,0.72,0.97
cat_Latn,1.0,0.7539,1.0
yor_Latn,0.27,0.1288,0.27
bam_Latn,0.09,0.0461,0.09
slv_Latn,0.98,0.6967,0.98
slk_Latn,0.98,0.7091,0.98
ukr_Cyrl,1.0,0.7803,1.0
lug_Latn,0.22,0.1155,0.22
isl_Latn,0.88,0.5127,0.88
fin_Latn,0.98,0.687,0.98
arb_Arab,0.99,0.8048,0.99
ibo_Latn,0.5,0.2455,0.5
kan_Knda,0.48,0.2733,0.48
kor_Hang,0.98,0.8291,0.98
hun_Latn,1.0,0.7294,1.0
nob_Latn,0.99,0.7242,0.99
sna_Latn,0.46,0.2106,0.46
lvs_Latn,0.97,0.6791,0.97
bul_Cyrl,1.0,0.7339,1.0
plt_Latn,0.44,0.223,0.44
mal_Mlym,0.28,0.1527,0.28
fuv_Latn,0.14,0.0939,0.14
als_Latn,0.93,0.6076,0.93
lao_Laoo,0.59,0.2952,0.59
zsm_Latn,1.0,0.7715,1.0
grn_Latn,0.22,0.0858,0.22
est_Latn,0.98,0.6658,0.98
rus_Cyrl,1.0,0.8718,1.0
zho_Hant,1.0,0.9488,1.0
tgk_Cyrl,0.84,0.4733,0.84
kin_Latn,0.61,0.283,0.61
nya_Latn,0.44,0.1985,0.44
arb_Latn,0.39,0.1988,0.39
asm_Beng,0.49,0.2909,0.49
pbt_Arab,0.7,0.3988,0.7
pan_Guru,0.69,0.4176,0.69
pes_Arab,1.0,0.7894,1.0
hin_Deva,0.76,0.4248,0.76
apc_Arab,0.99,0.7376,0.99
kir_Cyrl,0.79,0.4327,0.79
lit_Latn,0.97,0.6945,0.97
sot_Latn,0.57,0.2591,0.57
war_Latn,0.68,0.3618,0.68
tel_Telu,0.35,0.1848,0.35
ita_Latn,1.0,0.8194,1.0
ron_Latn,1.0,0.7603,1.0
ces_Latn,0.99,0.7521,0.99
khm_Khmr,0.56,0.1967,0.56
hye_Armn,0.88,0.5542,0.88
uzn_Latn,0.81,0.4785,0.81
ind_Latn,1.0,0.827,1.0
pol_Latn,0.98,0.7282,0.98
kea_Latn,0.72,0.4536,0.72
ast_Latn,0.98,0.6827,0.98
acm_Arab,0.99,0.7655,0.99
ilo_Latn,0.48,0.2545,0.48
tir_Ethi,0.18,0.0873,0.18
khk_Cyrl,0.69,0.3982,0.69
amh_Ethi,0.39,0.1876,0.39
