code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
dan_Latn,1.0,0.9439,1.0
ckb_Arab,1.0,0.8691,1.0
mri_Latn,0.95,0.7891,0.95
som_Latn,0.96,0.7936,0.96
spa_Latn,0.99,0.9621,0.99
jav_Latn,0.99,0.9018,0.99
zho_Hans,1.0,0.9294,1.0
ars_Arab,0.99,0.9194,0.99
ssw_Latn,0.85,0.6694,0.85
sun_Latn,1.0,0.9027,1.0
nld_Latn,0.98,0.9324,0.98
swe_Latn,1.0,0.943,1.0
tgl_Latn,0.99,0.9133,0.99
eng_Latn,0.99,0.9615,0.99
mar_Deva,0.92,0.7482,0.92
vie_Latn,1.0,0.9439,1.0
por_Latn,1.0,0.9618,1.0
fra_Latn,1.0,1.0,1.0
lin_Latn,0.83,0.6821,0.83
oci_Latn,0.99,0.9567,0.99
urd_Arab,0.98,0.873,0.98
kaz_Cyrl,1.0,0.8718,1.0
shn_Mymr,0.6,0.4403,0.6
hat_Latn,0.99,0.9033,0.99
tha_Thai,0.97,0.8636,0.97
tam_Taml,0.78,0.6124,0.78
kat_Geor,0.99,0.8712,0.99
ell_Grek,1.0,0.9358,1.0
hau_Latn,0.94,0.7806,0.94
bod_Tibt,0.81,0.5745,0.81
gaz_Latn,0.7,0.5285,0.7
arz_Arab,0.99,0.8942,0.99
afr_Latn,1.0,0.9336,1.0
guj_Gujr,0.97,0.8227,0.97
eus_Latn,0.99,0.8824,0.99
mya_Mymr,0.67,0.5364,0.67
ceb_Latn,0.99,0.8876,0.99
tur_Latn,0.99,0.9042,0.99
deu_Latn,1.0,0.9542,1.0
jpn_Jpan,1.0,0.8812,1.0
wol_Latn,0.83,0.6627,0.83
bam_Latn,0.54,0.4067,0.54
yor_Latn,0.83,0.6345,0.83
cat_Latn,1.0,0.9579,1.0
zul_Latn,0.98,0.7918,0.98
hrv_Latn,1.0,0.9364,1.0
slv_Latn,1.0,0.9385,1.0
swh_Latn,1.0,0.8576,1.0
glg_Latn,1.0,0.9655,1.0
sin_Sinh,0.96,0.7839,0.96
xho_Latn,0.95,0.7976,0.95
tsn_Latn,0.88,0.6861,0.88
ben_Beng,0.94,0.7948,0.94
tso_Latn,0.82,0.6167,0.82
heb_Hebr,0.99,0.9133,0.99
mlt_Latn,1.0,0.9164,1.0
sna_Latn,0.93,0.7445,0.93
nob_Latn,0.99,0.9327,0.99
hun_Latn,1.0,0.913,1.0
kor_Hang,0.99,0.8797,0.99
kan_Knda,0.92,0.7658,0.92
ibo_Latn,0.93,0.7585,0.93
mal_Mlym,0.87,0.69,0.87
fuv_Latn,0.49,0.3648,0.49
plt_Latn,0.95,0.7691,0.95
bul_Cyrl,1.0,0.9364,1.0
lvs_Latn,0.99,0.9064,0.99
fin_Latn,1.0,0.9252,1.0
isl_Latn,0.99,0.9036,0.99
lug_Latn,0.76,0.6048,0.76
ukr_Cyrl,1.0,0.9352,1.0
slk_Latn,1.0,0.9309,1.0
arb_Arab,0.99,0.9179,0.99
arb_Latn,0.91,0.71,0.91
nya_Latn,0.92,0.7394,0.92
asm_Beng,0.95,0.7997,0.95
est_Latn,1.0,0.907,1.0
grn_Latn,0.75,0.6079,0.75
zsm_Latn,1.0,0.9415,1.0
lao_Laoo,0.99,0.8661,0.99
als_Latn,1.0,0.9252,1.0
kin_Latn,0.97,0.7994,0.97
tgk_Cyrl,0.98,0.867,0.98
zho_Hant,0.99,0.9176,0.99
rus_Cyrl,0.99,0.937,0.99
ron_Latn,1.0,0.9573,1.0
ita_Latn,1.0,0.9667,1.0
ces_Latn,1.0,0.9358,1.0
pan_Guru,0.99,0.8621,0.99
pbt_Arab,0.97,0.8242,0.97
tel_Telu,0.83,0.6497,0.83
war_Latn,0.98,0.8764,0.98
lit_Latn,1.0,0.9224,1.0
sot_Latn,0.92,0.7688,0.92
kir_Cyrl,1.0,0.85,1.0
apc_Arab,0.99,0.9067,0.99
pes_Arab,1.0,0.9276,1.0
hin_Deva,0.98,0.8555,0.98
ilo_Latn,0.94,0.8191,0.94
acm_Arab,1.0,0.9194,1.0
ast_Latn,1.0,0.943,1.0
kea_Latn,0.97,0.8779,0.97
khk_Cyrl,0.97,0.8273,0.97
amh_Ethi,0.95,0.7794,0.95
tir_Ethi,0.87,0.6936,0.87
hye_Armn,1.0,0.9073,1.0
khm_Khmr,0.97,0.8382,0.97
pol_Latn,1.0,0.9412,1.0
ind_Latn,1.0,0.9461,1.0
uzn_Latn,0.99,0.8345,0.99
