code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
lin_Latn,0.37,0.1821,0.37
fra_Latn,1.0,1.0,1.0
por_Latn,0.99,0.9367,0.99
vie_Latn,1.0,0.8879,1.0
mar_Deva,0.57,0.287,0.57
tgl_Latn,0.97,0.6452,0.97
eng_Latn,0.99,0.9324,0.99
swe_Latn,1.0,0.85,1.0
nld_Latn,0.99,0.8591,0.99
sun_Latn,0.92,0.6227,0.92
ssw_Latn,0.44,0.1982,0.44
ars_Arab,0.99,0.8427,0.99
zho_Hans,1.0,0.8482,1.0
jav_Latn,0.97,0.6291,0.97
spa_Latn,1.0,0.9315,1.0
som_Latn,0.86,0.4461,0.86
mri_Latn,0.77,0.3758,0.77
dan_Latn,0.99,0.8509,0.99
ckb_Arab,0.9,0.5145,0.9
hau_Latn,0.79,0.4185,0.79
bod_Tibt,0.17,0.0597,0.17
ell_Grek,1.0,0.833,1.0
kat_Geor,0.92,0.647,0.92
tha_Thai,0.89,0.5258,0.89
tam_Taml,0.26,0.1324,0.26
hat_Latn,0.95,0.6767,0.95
shn_Mymr,0.06,0.0209,0.06
kaz_Cyrl,0.95,0.637,0.95
urd_Arab,0.96,0.6645,0.96
oci_Latn,1.0,0.7576,1.0
wol_Latn,0.32,0.1621,0.32
jpn_Jpan,0.97,0.7624,0.97
deu_Latn,1.0,0.9115,1.0
tur_Latn,0.98,0.7024,0.98
ceb_Latn,0.94,0.5794,0.94
mya_Mymr,0.21,0.0794,0.21
eus_Latn,0.93,0.6015,0.93
guj_Gujr,0.7,0.4261,0.7
afr_Latn,0.99,0.79,0.99
arz_Arab,0.99,0.7367,0.99
gaz_Latn,0.2,0.083,0.2
mlt_Latn,0.97,0.6848,0.97
heb_Hebr,0.99,0.7939,0.99
tso_Latn,0.24,0.1018,0.24
ben_Beng,0.68,0.4094,0.68
xho_Latn,0.83,0.4058,0.83
tsn_Latn,0.57,0.2491,0.57
sin_Sinh,0.54,0.3212,0.54
swh_Latn,0.95,0.59,0.95
glg_Latn,1.0,0.8727,1.0
slv_Latn,1.0,0.7912,1.0
hrv_Latn,1.0,0.8179,1.0
zul_Latn,0.84,0.3709,0.84
cat_Latn,1.0,0.9064,1.0
bam_Latn,0.11,0.0627,0.11
yor_Latn,0.38,0.1852,0.38
arb_Arab,0.99,0.8379,0.99
slk_Latn,0.99,0.8064,0.99
lug_Latn,0.34,0.1712,0.34
ukr_Cyrl,1.0,0.8512,1.0
isl_Latn,0.98,0.6124,0.98
fin_Latn,1.0,0.7761,1.0
lvs_Latn,0.99,0.7455,0.99
bul_Cyrl,1.0,0.8185,1.0
plt_Latn,0.69,0.3564,0.69
fuv_Latn,0.17,0.1148,0.17
mal_Mlym,0.39,0.1933,0.39
ibo_Latn,0.71,0.3558,0.71
kan_Knda,0.6,0.3242,0.6
kor_Hang,0.97,0.7861,0.97
hun_Latn,1.0,0.7876,1.0
sna_Latn,0.61,0.2967,0.61
nob_Latn,0.98,0.8136,0.98
rus_Cyrl,0.99,0.8997,0.99
zho_Hant,1.0,0.8264,1.0
tgk_Cyrl,0.94,0.5803,0.94
kin_Latn,0.82,0.4033,0.82
als_Latn,1.0,0.7476,1.0
lao_Laoo,0.76,0.4415,0.76
grn_Latn,0.31,0.1421,0.31
zsm_Latn,0.99,0.8361,0.99
est_Latn,1.0,0.7267,1.0
asm_Beng,0.68,0.3879,0.68
nya_Latn,0.68,0.3085,0.68
arb_Latn,0.57,0.2709,0.57
hin_Deva,0.84,0.4885,0.84
pes_Arab,1.0,0.8397,1.0
apc_Arab,0.99,0.7797,0.99
kir_Cyrl,0.89,0.5167,0.89
sot_Latn,0.76,0.3582,0.76
lit_Latn,0.99,0.7727,0.99
war_Latn,0.82,0.4724,0.82
tel_Telu,0.39,0.1945,0.39
pbt_Arab,0.86,0.4985,0.86
pan_Guru,0.84,0.5279,0.84
ces_Latn,0.99,0.8518,0.99
ita_Latn,1.0,0.9409,1.0
ron_Latn,1.0,0.8885,1.0
uzn_Latn,0.9,0.5409,0.9
ind_Latn,1.0,0.8888,1.0
pol_Latn,1.0,0.8379,1.0
khm_Khmr,0.63,0.3258,0.63
hye_Armn,0.97,0.6842,0.97
tir_Ethi,0.34,0.1458,0.34
amh_Ethi,0.57,0.2806,0.57
khk_Cyrl,0.87,0.4967,0.87
kea_Latn,0.87,0.5845,0.87
ast_Latn,0.99,0.7858,0.99
acm_Arab,1.0,0.8194,1.0
ilo_Latn,0.71,0.3609,0.71
