code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
arz_Arab,0.99,0.8867,0.99
gaz_Latn,0.74,0.55,0.74
afr_Latn,1.0,0.9512,1.0
ceb_Latn,1.0,0.8955,1.0
tur_Latn,1.0,0.9161,1.0
deu_Latn,1.0,1.0,1.0
jpn_Jpan,1.0,0.9136,1.0
wol_Latn,0.83,0.6345,0.83
guj_Gujr,0.99,0.8494,0.99
eus_Latn,1.0,0.8903,1.0
mya_Mymr,0.72,0.5724,0.72
slv_Latn,1.0,0.9394,1.0
yor_Latn,0.87,0.6379,0.87
bam_Latn,0.55,0.4015,0.55
cat_Latn,1.0,0.953,1.0
zul_Latn,0.97,0.7918,0.97
hrv_Latn,1.0,0.9436,1.0
ben_Beng,0.98,0.8164,0.98
tso_Latn,0.87,0.6267,0.87
heb_Hebr,1.0,0.9155,1.0
mlt_Latn,1.0,0.9142,1.0
glg_Latn,1.0,0.9527,1.0
swh_Latn,0.99,0.8633,0.99
sin_Sinh,0.98,0.7939,0.98
tsn_Latn,0.87,0.6933,0.87
xho_Latn,0.97,0.807,0.97
jav_Latn,0.99,0.903,0.99
zho_Hans,1.0,0.9327,1.0
ars_Arab,1.0,0.9218,1.0
ssw_Latn,0.89,0.6897,0.89
sun_Latn,1.0,0.8955,1.0
ckb_Arab,1.0,0.8682,1.0
dan_Latn,1.0,0.9627,1.0
mri_Latn,0.97,0.7955,0.97
som_Latn,0.95,0.8021,0.95
spa_Latn,1.0,0.9488,1.0
mar_Deva,0.93,0.7615,0.93
vie_Latn,1.0,0.9345,1.0
por_Latn,1.0,0.96,1.0
fra_Latn,1.0,0.9542,1.0
lin_Latn,0.81,0.6552,0.81
nld_Latn,1.0,0.9648,1.0
swe_Latn,1.0,0.963,1.0
eng_Latn,1.0,0.9655,1.0
tgl_Latn,1.0,0.9233,1.0
kaz_Cyrl,0.99,0.8779,0.99
shn_Mymr,0.58,0.4342,0.58
oci_Latn,1.0,0.9376,1.0
urd_Arab,1.0,0.8958,1.0
ell_Grek,1.0,0.9291,1.0
bod_Tibt,0.81,0.5933,0.81
hau_Latn,0.97,0.7842,0.97
hat_Latn,0.99,0.8973,0.99
tam_Taml,0.82,0.643,0.82
tha_Thai,0.98,0.8661,0.98
kat_Geor,1.0,0.873,1.0
ces_Latn,1.0,0.9533,1.0
ron_Latn,1.0,0.9564,1.0
ita_Latn,1.0,0.953,1.0
tel_Telu,0.9,0.6806,0.9
war_Latn,1.0,0.8945,1.0
lit_Latn,1.0,0.9297,1.0
sot_Latn,0.94,0.7712,0.94
kir_Cyrl,0.99,0.853,0.99
apc_Arab,1.0,0.9064,1.0
hin_Deva,0.99,0.8597,0.99
pes_Arab,1.0,0.9224,1.0
pbt_Arab,0.98,0.8406,0.98
pan_Guru,0.98,0.8664,0.98
khk_Cyrl,0.98,0.8382,0.98
amh_Ethi,0.98,0.7921,0.98
tir_Ethi,0.91,0.7567,0.91
ilo_Latn,0.96,0.8264,0.96
acm_Arab,1.0,0.9179,1.0
ast_Latn,1.0,0.93,1.0
kea_Latn,0.96,0.8591,0.96
pol_Latn,1.0,0.9445,1.0
ind_Latn,1.0,0.9518,1.0
uzn_Latn,0.99,0.8539,0.99
hye_Armn,1.0,0.9073,1.0
khm_Khmr,0.98,0.8618,0.98
fuv_Latn,0.49,0.3679,0.49
mal_Mlym,0.88,0.7,0.88
plt_Latn,0.95,0.7833,0.95
bul_Cyrl,1.0,0.9406,1.0
lvs_Latn,1.0,0.9221,1.0
nob_Latn,1.0,0.957,1.0
sna_Latn,0.94,0.7555,0.94
hun_Latn,1.0,0.9245,1.0
kor_Hang,1.0,0.9076,1.0
kan_Knda,0.95,0.7742,0.95
ibo_Latn,0.94,0.7791,0.94
arb_Arab,1.0,0.9236,1.0
fin_Latn,1.0,0.9245,1.0
isl_Latn,1.0,0.903,1.0
ukr_Cyrl,1.0,0.9424,1.0
lug_Latn,0.78,0.6055,0.78
slk_Latn,1.0,0.94,1.0
asm_Beng,0.97,0.8248,0.97
arb_Latn,0.88,0.68,0.88
nya_Latn,0.95,0.7445,0.95
kin_Latn,0.98,0.7979,0.98
tgk_Cyrl,0.98,0.8694,0.98
zho_Hant,1.0,0.91,1.0
rus_Cyrl,1.0,0.9488,1.0
est_Latn,1.0,0.9248,1.0
zsm_Latn,1.0,0.9439,1.0
grn_Latn,0.8,0.6133,0.8
lao_Laoo,0.99,0.8712,0.99
als_Latn,1.0,0.92,1.0
