code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
afr_Latn,1.0,0.8245,1.0
arz_Arab,0.98,0.7224,0.98
gaz_Latn,0.18,0.0712,0.18
mya_Mymr,0.23,0.07,0.23
eus_Latn,0.97,0.6336,0.97
guj_Gujr,0.73,0.453,0.73
jpn_Jpan,0.99,0.8033,0.99
wol_Latn,0.29,0.1485,0.29
deu_Latn,1.0,1.0,1.0
tur_Latn,0.98,0.7597,0.98
ceb_Latn,0.96,0.593,0.96
hrv_Latn,1.0,0.8294,1.0
zul_Latn,0.73,0.3388,0.73
bam_Latn,0.09,0.0545,0.09
yor_Latn,0.34,0.1567,0.34
cat_Latn,1.0,0.8479,1.0
slv_Latn,1.0,0.8055,1.0
sin_Sinh,0.51,0.3064,0.51
xho_Latn,0.8,0.377,0.8
tsn_Latn,0.54,0.2294,0.54
swh_Latn,0.98,0.5915,0.98
glg_Latn,1.0,0.8279,1.0
ben_Beng,0.72,0.4421,0.72
mlt_Latn,0.99,0.6639,0.99
heb_Hebr,0.99,0.797,0.99
tso_Latn,0.22,0.083,0.22
som_Latn,0.79,0.4321,0.79
spa_Latn,1.0,0.8921,1.0
dan_Latn,1.0,0.8812,1.0
ckb_Arab,0.87,0.5097,0.87
mri_Latn,0.74,0.3503,0.74
ars_Arab,1.0,0.8373,1.0
sun_Latn,0.93,0.6118,0.93
ssw_Latn,0.42,0.1803,0.42
zho_Hans,1.0,0.8342,1.0
jav_Latn,0.96,0.6142,0.96
nld_Latn,1.0,0.9124,1.0
tgl_Latn,1.0,0.6558,1.0
eng_Latn,1.0,0.9215,1.0
swe_Latn,1.0,0.8897,1.0
fra_Latn,1.0,0.9115,1.0
lin_Latn,0.37,0.1667,0.37
vie_Latn,0.99,0.8824,0.99
mar_Deva,0.55,0.2855,0.55
por_Latn,1.0,0.9127,1.0
oci_Latn,1.0,0.7203,1.0
urd_Arab,0.96,0.7161,0.96
shn_Mymr,0.06,0.0215,0.06
kaz_Cyrl,0.96,0.6676,0.96
kat_Geor,0.89,0.6555,0.89
hat_Latn,0.97,0.6385,0.97
tha_Thai,0.86,0.4888,0.86
tam_Taml,0.32,0.1227,0.32
hau_Latn,0.73,0.3882,0.73
bod_Tibt,0.13,0.0512,0.13
ell_Grek,1.0,0.837,1.0
ita_Latn,1.0,0.8921,1.0
ron_Latn,1.0,0.8439,1.0
ces_Latn,1.0,0.8621,1.0
pan_Guru,0.85,0.5576,0.85
pbt_Arab,0.86,0.5355,0.86
apc_Arab,0.98,0.7648,0.98
kir_Cyrl,0.91,0.5618,0.91
hin_Deva,0.85,0.5227,0.85
pes_Arab,1.0,0.8479,1.0
tel_Telu,0.35,0.1991,0.35
sot_Latn,0.73,0.3194,0.73
lit_Latn,1.0,0.7976,1.0
war_Latn,0.9,0.4897,0.9
kea_Latn,0.86,0.5661,0.86
acm_Arab,1.0,0.8018,1.0
ilo_Latn,0.7,0.3509,0.7
ast_Latn,0.99,0.7406,0.99
tir_Ethi,0.33,0.137,0.33
amh_Ethi,0.54,0.2685,0.54
khk_Cyrl,0.86,0.517,0.86
khm_Khmr,0.57,0.2752,0.57
hye_Armn,0.97,0.693,0.97
ind_Latn,0.99,0.8761,0.99
uzn_Latn,0.91,0.5827,0.91
pol_Latn,1.0,0.8503,1.0
kan_Knda,0.62,0.3524,0.62
kor_Hang,0.99,0.8294,0.99
ibo_Latn,0.66,0.3209,0.66
hun_Latn,1.0,0.8248,1.0
sna_Latn,0.59,0.2661,0.59
nob_Latn,1.0,0.8518,1.0
lvs_Latn,0.99,0.7724,0.99
plt_Latn,0.59,0.2948,0.59
fuv_Latn,0.18,0.1194,0.18
mal_Mlym,0.33,0.1852,0.33
bul_Cyrl,0.99,0.8127,0.99
lug_Latn,0.32,0.1467,0.32
ukr_Cyrl,1.0,0.8673,1.0
slk_Latn,0.99,0.823,0.99
fin_Latn,1.0,0.7952,1.0
isl_Latn,0.98,0.6436,0.98
arb_Arab,1.0,0.8327,1.0
nya_Latn,0.62,0.2733,0.62
arb_Latn,0.48,0.2482,0.48
asm_Beng,0.67,0.3809,0.67
lao_Laoo,0.6,0.3697,0.6
als_Latn,1.0,0.7288,1.0
grn_Latn,0.29,0.1282,0.29
zsm_Latn,1.0,0.8161,1.0
est_Latn,1.0,0.7733,1.0
zho_Hant,0.99,0.8039,0.99
rus_Cyrl,1.0,0.8982,1.0
kin_Latn,0.74,0.3691,0.74
tgk_Cyrl,0.95,0.6027,0.95
