code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
kat_Geor,0.91,0.6164,0.91
hat_Latn,0.94,0.6282,0.94
tha_Thai,0.83,0.4991,0.83
tam_Taml,0.22,0.1148,0.22
ell_Grek,1.0,0.7976,1.0
hau_Latn,0.7,0.3806,0.7
bod_Tibt,0.15,0.0536,0.15
oci_Latn,0.99,0.7245,0.99
urd_Arab,0.97,0.6748,0.97
kaz_Cyrl,0.93,0.6076,0.93
shn_Mymr,0.06,0.017,0.06
nld_Latn,1.0,0.8479,1.0
swe_Latn,1.0,0.8442,1.0
tgl_Latn,0.98,0.6448,0.98
eng_Latn,1.0,1.0,1.0
fra_Latn,0.99,0.9333,0.99
lin_Latn,0.34,0.1691,0.34
mar_Deva,0.49,0.2679,0.49
vie_Latn,0.99,0.8933,0.99
por_Latn,1.0,0.9448,1.0
som_Latn,0.78,0.4091,0.78
spa_Latn,1.0,0.9291,1.0
dan_Latn,1.0,0.8312,1.0
ckb_Arab,0.84,0.4467,0.84
mri_Latn,0.69,0.3436,0.69
ars_Arab,0.99,0.8536,0.99
ssw_Latn,0.38,0.1994,0.38
sun_Latn,0.92,0.6194,0.92
jav_Latn,0.97,0.6394,0.97
zho_Hans,1.0,0.9136,1.0
sin_Sinh,0.51,0.3009,0.51
xho_Latn,0.8,0.3742,0.8
tsn_Latn,0.51,0.2285,0.51
swh_Latn,0.95,0.5748,0.95
glg_Latn,1.0,0.8415,1.0
ben_Beng,0.66,0.4036,0.66
tso_Latn,0.17,0.0845,0.17
mlt_Latn,0.96,0.6579,0.96
heb_Hebr,1.0,0.7809,1.0
hrv_Latn,1.0,0.8052,1.0
zul_Latn,0.73,0.3276,0.73
bam_Latn,0.1,0.0606,0.1
yor_Latn,0.38,0.1664,0.38
cat_Latn,1.0,0.8561,1.0
slv_Latn,0.99,0.7506,0.99
mya_Mymr,0.14,0.0615,0.14
guj_Gujr,0.69,0.4094,0.69
eus_Latn,0.95,0.5755,0.95
jpn_Jpan,1.0,0.8109,1.0
wol_Latn,0.32,0.1573,0.32
ceb_Latn,0.91,0.5858,0.91
deu_Latn,1.0,0.9212,1.0
tur_Latn,0.98,0.7258,0.98
afr_Latn,1.0,0.7976,1.0
arz_Arab,0.98,0.7382,0.98
gaz_Latn,0.2,0.0761,0.2
lao_Laoo,0.67,0.3845,0.67
als_Latn,0.99,0.7024,0.99
est_Latn,1.0,0.7197,1.0
grn_Latn,0.26,0.1303,0.26
zsm_Latn,1.0,0.8488,1.0
zho_Hant,1.0,0.8752,1.0
rus_Cyrl,1.0,0.9136,1.0
kin_Latn,0.76,0.3633,0.76
tgk_Cyrl,0.89,0.5342,0.89
nya_Latn,0.62,0.2791,0.62
arb_Latn,0.47,0.2258,0.47
asm_Beng,0.59,0.3376,0.59
lug_Latn,0.3,0.1582,0.3
ukr_Cyrl,1.0,0.8455,1.0
slk_Latn,0.99,0.7839,0.99
fin_Latn,1.0,0.7476,1.0
isl_Latn,0.97,0.5985,0.97
arb_Arab,0.99,0.853,0.99
kor_Hang,0.97,0.817,0.97
kan_Knda,0.54,0.3264,0.54
ibo_Latn,0.62,0.32,0.62
sna_Latn,0.57,0.2779,0.57
nob_Latn,1.0,0.827,1.0
hun_Latn,1.0,0.7761,1.0
lvs_Latn,0.98,0.7306,0.98
fuv_Latn,0.19,0.1327,0.19
mal_Mlym,0.31,0.1882,0.31
plt_Latn,0.61,0.3045,0.61
bul_Cyrl,1.0,0.7982,1.0
hye_Armn,0.96,0.6624,0.96
khm_Khmr,0.57,0.2742,0.57
ind_Latn,1.0,0.9164,1.0
uzn_Latn,0.89,0.5288,0.89
pol_Latn,1.0,0.8055,1.0
kea_Latn,0.86,0.5727,0.86
ilo_Latn,0.68,0.3455,0.68
acm_Arab,0.99,0.8148,0.99
ast_Latn,0.99,0.7621,0.99
amh_Ethi,0.5,0.2385,0.5
khk_Cyrl,0.79,0.4555,0.79
tir_Ethi,0.31,0.1203,0.31
pbt_Arab,0.84,0.4873,0.84
pan_Guru,0.83,0.5191,0.83
kir_Cyrl,0.83,0.48,0.83
apc_Arab,0.99,0.7915,0.99
hin_Deva,0.8,0.4794,0.8
pes_Arab,0.99,0.8209,0.99
tel_Telu,0.33,0.2003,0.33
war_Latn,0.8,0.4858,0.8
sot_Latn,0.72,0.3345,0.72
lit_Latn,1.0,0.7473,1.0
ron_Latn,1.0,0.8376,1.0
ita_Latn,1.0,0.9106,1.0
ces_Latn,1.0,0.8221,1.0
