code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
fra_Latn,0.98,0.7943,0.98
lin_Latn,0.44,0.2595,0.44
mar_Deva,0.91,0.6462,0.91
vie_Latn,0.99,0.7968,0.99
por_Latn,0.99,0.8173,0.99
nld_Latn,0.94,0.76,0.94
swe_Latn,0.98,0.7478,0.98
eng_Latn,0.96,0.7503,0.96
tgl_Latn,0.98,0.7273,0.98
ars_Arab,1.0,1.0,1.0
ssw_Latn,0.33,0.1873,0.33
sun_Latn,0.86,0.61,0.86
jav_Latn,0.89,0.6543,0.89
zho_Hans,0.93,0.6543,0.93
som_Latn,0.38,0.2046,0.38
spa_Latn,0.98,0.8076,0.98
ckb_Arab,0.64,0.4581,0.64
dan_Latn,0.99,0.7641,0.99
mri_Latn,0.52,0.3122,0.52
ell_Grek,0.96,0.7508,0.96
bod_Tibt,0.11,0.0462,0.11
hau_Latn,0.34,0.2008,0.34
kat_Geor,0.85,0.5997,0.85
hat_Latn,0.79,0.5349,0.79
tam_Taml,0.91,0.6481,0.91
tha_Thai,0.97,0.7673,0.97
shn_Mymr,0.18,0.1116,0.18
kaz_Cyrl,0.91,0.6235,0.91
oci_Latn,0.92,0.7403,0.92
urd_Arab,0.96,0.7068,0.96
jpn_Jpan,0.88,0.6703,0.88
wol_Latn,0.43,0.2508,0.43
ceb_Latn,0.91,0.6811,0.91
deu_Latn,0.99,0.7746,0.99
tur_Latn,0.91,0.6751,0.91
mya_Mymr,0.69,0.3597,0.69
guj_Gujr,0.93,0.6659,0.93
eus_Latn,0.77,0.5224,0.77
afr_Latn,0.95,0.7419,0.95
gaz_Latn,0.32,0.1735,0.32
arz_Arab,0.99,0.9632,0.99
ben_Beng,0.98,0.7341,0.98
tso_Latn,0.37,0.2211,0.37
mlt_Latn,0.89,0.6422,0.89
heb_Hebr,0.96,0.7381,0.96
sin_Sinh,0.58,0.34,0.58
tsn_Latn,0.39,0.2097,0.39
xho_Latn,0.46,0.2524,0.46
glg_Latn,0.98,0.7781,0.98
swh_Latn,0.69,0.4054,0.69
slv_Latn,0.93,0.7122,0.93
hrv_Latn,0.96,0.7432,0.96
zul_Latn,0.38,0.1986,0.38
yor_Latn,0.24,0.127,0.24
bam_Latn,0.38,0.2132,0.38
cat_Latn,0.98,0.7905,0.98
arb_Arab,1.0,1.0,1.0
ukr_Cyrl,0.97,0.8154,0.97
lug_Latn,0.44,0.2392,0.44
slk_Latn,0.96,0.7473,0.96
fin_Latn,0.94,0.683,0.94
isl_Latn,0.79,0.5454,0.79
lvs_Latn,0.95,0.7059,0.95
mal_Mlym,0.87,0.5795,0.87
fuv_Latn,0.33,0.1784,0.33
plt_Latn,0.44,0.2768,0.44
bul_Cyrl,0.98,0.8024,0.98
kor_Hang,0.93,0.6924,0.93
kan_Knda,0.87,0.5903,0.87
ibo_Latn,0.38,0.1873,0.38
nob_Latn,0.98,0.7297,0.98
sna_Latn,0.29,0.1741,0.29
hun_Latn,0.98,0.7414,0.98
zho_Hant,0.96,0.6851,0.96
rus_Cyrl,0.98,0.8192,0.98
kin_Latn,0.42,0.2232,0.42
tgk_Cyrl,0.76,0.5238,0.76
lao_Laoo,0.72,0.5081,0.72
als_Latn,0.93,0.6668,0.93
est_Latn,0.92,0.6446,0.92
zsm_Latn,0.97,0.7549,0.97
grn_Latn,0.49,0.3197,0.49
asm_Beng,0.9,0.6205,0.9
nya_Latn,0.38,0.2359,0.38
arb_Latn,0.76,0.5138,0.76
kir_Cyrl,0.75,0.527,0.75
apc_Arab,1.0,0.9365,1.0
pes_Arab,0.94,0.7765,0.94
hin_Deva,0.96,0.7414,0.96
tel_Telu,0.87,0.5835,0.87
war_Latn,0.86,0.6454,0.86
sot_Latn,0.47,0.2508,0.47
lit_Latn,0.96,0.6949,0.96
pbt_Arab,0.79,0.5011,0.79
pan_Guru,0.96,0.6959,0.96
ces_Latn,0.98,0.7732,0.98
ron_Latn,0.99,0.7924,0.99
ita_Latn,1.0,0.8043,1.0
ind_Latn,0.96,0.7789,0.96
uzn_Latn,0.81,0.5384,0.81
pol_Latn,0.99,0.7751,0.99
hye_Armn,0.92,0.6816,0.92
khm_Khmr,0.85,0.6073,0.85
amh_Ethi,0.39,0.2603,0.39
khk_Cyrl,0.7,0.4465,0.7
tir_Ethi,0.19,0.1086,0.19
kea_Latn,0.85,0.6108,0.85
acm_Arab,1.0,0.9889,1.0
ilo_Latn,0.81,0.53,0.81
ast_Latn,0.96,0.7668,0.96
