code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
pes_Arab,0.88,0.5016,0.88
hin_Deva,0.65,0.2959,0.65
apc_Arab,1.0,0.937,1.0
kir_Cyrl,0.35,0.1543,0.35
lit_Latn,0.89,0.4478,0.89
sot_Latn,0.09,0.0389,0.09
war_Latn,0.65,0.2757,0.65
tel_Telu,0.1,0.0457,0.1
pan_Guru,0.2,0.0992,0.2
pbt_Arab,0.24,0.0986,0.24
ces_Latn,0.97,0.5565,0.97
ita_Latn,0.99,0.6443,0.99
ron_Latn,0.95,0.5868,0.95
uzn_Latn,0.52,0.2124,0.52
ind_Latn,0.95,0.6414,0.95
pol_Latn,0.96,0.5908,0.96
khm_Khmr,0.09,0.0397,0.09
hye_Armn,0.41,0.1616,0.41
tir_Ethi,0.03,0.0132,0.03
khk_Cyrl,0.24,0.0922,0.24
amh_Ethi,0.06,0.0289,0.06
kea_Latn,0.62,0.3308,0.62
ast_Latn,0.94,0.5857,0.94
acm_Arab,1.0,0.9916,1.0
ilo_Latn,0.46,0.1738,0.46
arb_Arab,1.0,1.0,1.0
slk_Latn,0.96,0.5365,0.96
lug_Latn,0.12,0.063,0.12
ukr_Cyrl,0.94,0.5586,0.94
isl_Latn,0.59,0.2192,0.59
fin_Latn,0.87,0.4543,0.87
lvs_Latn,0.9,0.45,0.9
bul_Cyrl,0.95,0.5946,0.95
plt_Latn,0.11,0.0505,0.11
mal_Mlym,0.21,0.0878,0.21
fuv_Latn,0.11,0.0589,0.11
ibo_Latn,0.07,0.0389,0.07
kan_Knda,0.12,0.0568,0.12
kor_Hang,0.86,0.5151,0.86
hun_Latn,0.89,0.4914,0.89
sna_Latn,0.1,0.0424,0.1
nob_Latn,0.93,0.5586,0.93
rus_Cyrl,0.97,0.697,0.97
zho_Hant,0.71,0.3865,0.71
tgk_Cyrl,0.42,0.1662,0.42
kin_Latn,0.11,0.0605,0.11
als_Latn,0.86,0.3946,0.86
lao_Laoo,0.09,0.0438,0.09
grn_Latn,0.12,0.0635,0.12
zsm_Latn,0.96,0.6,0.96
est_Latn,0.85,0.4019,0.85
asm_Beng,0.28,0.1019,0.28
nya_Latn,0.11,0.0538,0.11
arb_Latn,0.29,0.1319,0.29
wol_Latn,0.12,0.0657,0.12
jpn_Jpan,0.83,0.4589,0.83
tur_Latn,0.83,0.4503,0.83
deu_Latn,0.94,0.6084,0.94
ceb_Latn,0.78,0.3492,0.78
mya_Mymr,0.04,0.0114,0.04
eus_Latn,0.5,0.2254,0.5
guj_Gujr,0.17,0.0724,0.17
afr_Latn,0.94,0.5297,0.94
gaz_Latn,0.06,0.0292,0.06
arz_Arab,0.99,0.9405,0.99
heb_Hebr,0.93,0.5986,0.93
mlt_Latn,0.63,0.2716,0.63
tso_Latn,0.11,0.0511,0.11
ben_Beng,0.5,0.2132,0.5
xho_Latn,0.14,0.0549,0.14
tsn_Latn,0.1,0.0486,0.1
sin_Sinh,0.05,0.0205,0.05
swh_Latn,0.31,0.1249,0.31
glg_Latn,0.97,0.6257,0.97
slv_Latn,0.9,0.5003,0.9
zul_Latn,0.11,0.0459,0.11
hrv_Latn,0.94,0.5414,0.94
cat_Latn,0.96,0.6092,0.96
bam_Latn,0.06,0.0316,0.06
yor_Latn,0.06,0.0365,0.06
lin_Latn,0.12,0.0643,0.12
fra_Latn,0.94,0.6297,0.94
por_Latn,0.97,0.6559,0.97
vie_Latn,0.97,0.6659,0.97
mar_Deva,0.41,0.1657,0.41
tgl_Latn,0.92,0.4338,0.92
eng_Latn,0.83,0.4732,0.83
swe_Latn,0.94,0.5735,0.94
nld_Latn,0.93,0.573,0.93
sun_Latn,0.67,0.3449,0.67
ssw_Latn,0.07,0.0395,0.07
ars_Arab,1.0,1.0,1.0
zho_Hans,0.63,0.3505,0.63
jav_Latn,0.7,0.3614,0.7
spa_Latn,0.96,0.6422,0.96
som_Latn,0.08,0.0441,0.08
mri_Latn,0.23,0.0714,0.23
dan_Latn,0.94,0.5803,0.94
ckb_Arab,0.19,0.0689,0.19
hau_Latn,0.12,0.0643,0.12
bod_Tibt,0.01,0.0022,0.01
ell_Grek,0.83,0.3584,0.83
kat_Geor,0.34,0.1178,0.34
tha_Thai,0.88,0.59,0.88
tam_Taml,0.27,0.1257,0.27
hat_Latn,0.49,0.2422,0.49
shn_Mymr,0.03,0.013,0.03
kaz_Cyrl,0.53,0.2324,0.53
urd_Arab,0.69,0.3211,0.69
oci_Latn,0.89,0.5186,0.89
