code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
ces_Latn,0.82,0.6068,0.82
ron_Latn,0.81,0.6108,0.81
ita_Latn,0.81,0.62,0.81
tel_Telu,0.83,0.4997,0.83
war_Latn,0.79,0.5589,0.79
sot_Latn,0.32,0.2295,0.32
lit_Latn,0.79,0.5638,0.79
kir_Cyrl,0.69,0.4814,0.69
apc_Arab,0.72,0.4765,0.72
hin_Deva,0.84,0.5762,0.84
pes_Arab,0.78,0.5416,0.78
pbt_Arab,0.64,0.4035,0.64
pan_Guru,0.88,0.5659,0.88
amh_Ethi,0.39,0.2454,0.39
khk_Cyrl,0.67,0.4335,0.67
tir_Ethi,0.17,0.113,0.17
ilo_Latn,0.69,0.493,0.69
acm_Arab,0.75,0.5016,0.75
ast_Latn,0.78,0.6005,0.78
kea_Latn,0.73,0.5503,0.73
pol_Latn,0.79,0.5605,0.79
ind_Latn,0.77,0.5841,0.77
uzn_Latn,0.74,0.51,0.74
hye_Armn,0.84,0.5676,0.84
khm_Khmr,0.76,0.4603,0.76
fuv_Latn,0.28,0.17,0.28
mal_Mlym,0.79,0.4949,0.79
plt_Latn,0.38,0.2795,0.38
bul_Cyrl,0.81,0.5819,0.81
lvs_Latn,0.79,0.5714,0.79
sna_Latn,0.31,0.2032,0.31
nob_Latn,0.77,0.5727,0.77
hun_Latn,0.86,0.6143,0.86
kor_Hang,0.75,0.4776,0.75
kan_Knda,0.75,0.5054,0.75
ibo_Latn,0.32,0.2168,0.32
arb_Arab,0.77,0.5224,0.77
fin_Latn,0.76,0.5362,0.76
isl_Latn,0.67,0.4468,0.67
lug_Latn,0.35,0.21,0.35
ukr_Cyrl,0.83,0.6135,0.83
slk_Latn,0.85,0.5889,0.85
asm_Beng,0.72,0.4724,0.72
arb_Latn,0.46,0.2895,0.46
nya_Latn,0.34,0.2424,0.34
kin_Latn,0.34,0.2111,0.34
tgk_Cyrl,0.65,0.4184,0.65
zho_Hant,0.66,0.3738,0.66
rus_Cyrl,0.76,0.5516,0.76
est_Latn,0.79,0.5646,0.79
grn_Latn,0.43,0.2878,0.43
zsm_Latn,0.76,0.5632,0.76
lao_Laoo,0.69,0.427,0.69
als_Latn,0.77,0.5624,0.77
arz_Arab,0.75,0.4973,0.75
gaz_Latn,0.3,0.1773,0.3
afr_Latn,0.83,0.6092,0.83
ceb_Latn,0.79,0.5832,0.79
deu_Latn,0.81,0.5941,0.81
tur_Latn,0.74,0.5343,0.74
jpn_Jpan,0.71,0.4705,0.71
wol_Latn,0.34,0.2419,0.34
guj_Gujr,0.8,0.5327,0.8
eus_Latn,1.0,1.0,1.0
mya_Mymr,0.62,0.2924,0.62
slv_Latn,0.78,0.5557,0.78
bam_Latn,0.36,0.2216,0.36
yor_Latn,0.28,0.1557,0.28
cat_Latn,0.83,0.6235,0.83
hrv_Latn,0.75,0.5576,0.75
zul_Latn,0.34,0.1976,0.34
ben_Beng,0.86,0.5619,0.86
tso_Latn,0.33,0.2262,0.33
mlt_Latn,0.79,0.5638,0.79
heb_Hebr,0.66,0.4554,0.66
swh_Latn,0.6,0.3776,0.6
glg_Latn,0.8,0.5938,0.8
sin_Sinh,0.58,0.3143,0.58
xho_Latn,0.42,0.263,0.42
tsn_Latn,0.32,0.2265,0.32
jav_Latn,0.75,0.5441,0.75
zho_Hans,0.59,0.3446,0.59
ars_Arab,0.75,0.5186,0.75
ssw_Latn,0.28,0.2024,0.28
sun_Latn,0.71,0.5143,0.71
dan_Latn,0.76,0.5611,0.76
ckb_Arab,0.53,0.3351,0.53
mri_Latn,0.5,0.3132,0.5
som_Latn,0.31,0.2008,0.31
spa_Latn,0.79,0.6019,0.79
mar_Deva,0.85,0.5549,0.85
vie_Latn,0.78,0.5535,0.78
por_Latn,0.8,0.5868,0.8
fra_Latn,0.8,0.5865,0.8
lin_Latn,0.42,0.2889,0.42
nld_Latn,0.79,0.5605,0.79
swe_Latn,0.78,0.5614,0.78
tgl_Latn,0.8,0.58,0.8
eng_Latn,0.74,0.4743,0.74
kaz_Cyrl,0.8,0.5535,0.8
shn_Mymr,0.17,0.1114,0.17
oci_Latn,0.81,0.6057,0.81
urd_Arab,0.79,0.5186,0.79
ell_Grek,0.81,0.5546,0.81
hau_Latn,0.32,0.2214,0.32
bod_Tibt,0.14,0.0627,0.14
hat_Latn,0.66,0.4778,0.66
tha_Thai,0.73,0.5208,0.73
tam_Taml,0.79,0.5054,0.79
kat_Geor,0.72,0.5038,0.72
