code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
tso_Latn,0.11,0.0595,0.11
mlt_Latn,0.62,0.2635,0.62
heb_Hebr,0.53,0.2135,0.53
ben_Beng,0.41,0.1578,0.41
xho_Latn,0.13,0.0576,0.13
tsn_Latn,0.09,0.0486,0.09
sin_Sinh,0.07,0.0238,0.07
swh_Latn,0.33,0.1443,0.33
glg_Latn,0.56,0.2578,0.56
slv_Latn,0.61,0.2814,0.61
hrv_Latn,0.6,0.2846,0.6
zul_Latn,0.1,0.0484,0.1
cat_Latn,0.6,0.2776,0.6
bam_Latn,0.08,0.0343,0.08
yor_Latn,0.07,0.0354,0.07
wol_Latn,0.13,0.0673,0.13
jpn_Jpan,0.46,0.187,0.46
ceb_Latn,0.75,0.323,0.75
deu_Latn,0.55,0.2422,0.55
tur_Latn,0.58,0.2822,0.58
mya_Mymr,0.03,0.0024,0.03
guj_Gujr,0.18,0.0519,0.18
eus_Latn,1.0,1.0,1.0
afr_Latn,0.7,0.3286,0.7
arz_Arab,0.52,0.2138,0.52
gaz_Latn,0.07,0.0341,0.07
ell_Grek,0.4,0.1697,0.4
hau_Latn,0.12,0.0692,0.12
bod_Tibt,0.01,0.0011,0.01
kat_Geor,0.32,0.1278,0.32
tha_Thai,0.49,0.2146,0.49
tam_Taml,0.32,0.1097,0.32
hat_Latn,0.54,0.25,0.54
kaz_Cyrl,0.6,0.2584,0.6
shn_Mymr,0.02,0.0022,0.02
urd_Arab,0.64,0.2454,0.64
oci_Latn,0.62,0.2989,0.62
lin_Latn,0.18,0.0822,0.18
fra_Latn,0.45,0.2219,0.45
por_Latn,0.52,0.2308,0.52
mar_Deva,0.44,0.1732,0.44
vie_Latn,0.45,0.2084,0.45
swe_Latn,0.56,0.2614,0.56
tgl_Latn,0.65,0.3097,0.65
eng_Latn,0.32,0.13,0.32
nld_Latn,0.59,0.2597,0.59
ssw_Latn,0.08,0.0373,0.08
sun_Latn,0.63,0.263,0.63
ars_Arab,0.51,0.2222,0.51
jav_Latn,0.61,0.2511,0.61
zho_Hans,0.23,0.0859,0.23
spa_Latn,0.5,0.2259,0.5
som_Latn,0.1,0.0505,0.1
mri_Latn,0.2,0.0759,0.2
dan_Latn,0.6,0.2765,0.6
ckb_Arab,0.15,0.0649,0.15
uzn_Latn,0.67,0.283,0.67
ind_Latn,0.54,0.2532,0.54
pol_Latn,0.54,0.2465,0.54
hye_Armn,0.35,0.1476,0.35
khm_Khmr,0.06,0.0192,0.06
amh_Ethi,0.07,0.0257,0.07
khk_Cyrl,0.33,0.1416,0.33
tir_Ethi,0.03,0.0062,0.03
kea_Latn,0.61,0.2608,0.61
ast_Latn,0.59,0.2868,0.59
ilo_Latn,0.52,0.2211,0.52
acm_Arab,0.5,0.2089,0.5
hin_Deva,0.5,0.1884,0.5
pes_Arab,0.62,0.2616,0.62
kir_Cyrl,0.53,0.2165,0.53
apc_Arab,0.49,0.2114,0.49
war_Latn,0.65,0.2822,0.65
sot_Latn,0.1,0.0562,0.1
lit_Latn,0.66,0.3173,0.66
tel_Telu,0.19,0.0478,0.19
pan_Guru,0.15,0.0635,0.15
pbt_Arab,0.38,0.1322,0.38
ces_Latn,0.61,0.2776,0.61
ron_Latn,0.57,0.2705,0.57
ita_Latn,0.58,0.2557,0.58
rus_Cyrl,0.47,0.2105,0.47
zho_Hant,0.24,0.1005,0.24
tgk_Cyrl,0.45,0.1589,0.45
kin_Latn,0.1,0.06,0.1
als_Latn,0.7,0.317,0.7
lao_Laoo,0.07,0.0238,0.07
est_Latn,0.72,0.3362,0.72
grn_Latn,0.11,0.0578,0.11
zsm_Latn,0.58,0.2703,0.58
asm_Beng,0.29,0.0962,0.29
nya_Latn,0.11,0.0616,0.11
arb_Latn,0.16,0.0686,0.16
arb_Arab,0.5,0.2254,0.5
slk_Latn,0.6,0.2584,0.6
lug_Latn,0.12,0.0635,0.12
ukr_Cyrl,0.55,0.2424,0.55
isl_Latn,0.59,0.2432,0.59
fin_Latn,0.63,0.297,0.63
lvs_Latn,0.62,0.2781,0.62
bul_Cyrl,0.58,0.2554,0.58
fuv_Latn,0.11,0.0665,0.11
mal_Mlym,0.23,0.0854,0.23
plt_Latn,0.16,0.0676,0.16
ibo_Latn,0.11,0.0465,0.11
kor_Hang,0.57,0.2368,0.57
kan_Knda,0.12,0.0414,0.12
sna_Latn,0.08,0.0405,0.08
nob_Latn,0.54,0.2622,0.54
hun_Latn,0.68,0.3311,0.68
