code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
arb_Latn,0.5,0.2835,0.5
nya_Latn,0.44,0.2654,0.44
asm_Beng,0.82,0.5443,0.82
est_Latn,0.87,0.5978,0.87
grn_Latn,0.46,0.3005,0.46
zsm_Latn,0.93,0.7414,0.93
lao_Laoo,0.71,0.4811,0.71
als_Latn,0.82,0.6003,0.82
kin_Latn,0.42,0.2219,0.42
tgk_Cyrl,0.69,0.4378,0.69
zho_Hant,0.95,0.7549,0.95
rus_Cyrl,0.95,0.807,0.95
sna_Latn,0.45,0.2051,0.45
nob_Latn,0.97,0.7489,0.97
hun_Latn,0.93,0.6949,0.93
kor_Hang,0.93,0.7186,0.93
kan_Knda,0.82,0.5395,0.82
ibo_Latn,0.32,0.2032,0.32
mal_Mlym,0.8,0.533,0.8
fuv_Latn,0.4,0.2068,0.4
plt_Latn,0.4,0.2741,0.4
bul_Cyrl,0.94,0.7486,0.94
lvs_Latn,0.88,0.6441,0.88
fin_Latn,0.88,0.6389,0.88
isl_Latn,0.74,0.4835,0.74
lug_Latn,0.42,0.2422,0.42
ukr_Cyrl,0.91,0.7746,0.91
slk_Latn,0.89,0.7151,0.89
arb_Arab,0.96,0.7503,0.96
acm_Arab,0.96,0.7184,0.96
ilo_Latn,0.76,0.5203,0.76
ast_Latn,0.97,0.7832,0.97
kea_Latn,0.78,0.6219,0.78
amh_Ethi,0.33,0.1886,0.33
khk_Cyrl,0.61,0.3797,0.61
tir_Ethi,0.1,0.0551,0.1
hye_Armn,0.87,0.5995,0.87
khm_Khmr,0.76,0.5543,0.76
pol_Latn,0.96,0.7454,0.96
ind_Latn,0.97,0.7922,0.97
uzn_Latn,0.78,0.4814,0.78
ron_Latn,0.97,0.7865,0.97
ita_Latn,0.98,0.7995,0.98
ces_Latn,0.97,0.7816,0.97
pan_Guru,0.88,0.6381,0.88
pbt_Arab,0.67,0.3976,0.67
tel_Telu,0.79,0.5195,0.79
war_Latn,0.86,0.687,0.86
sot_Latn,0.47,0.2643,0.47
lit_Latn,0.89,0.637,0.89
kir_Cyrl,0.68,0.4649,0.68
apc_Arab,0.92,0.6976,0.92
pes_Arab,0.89,0.6489,0.89
hin_Deva,0.93,0.6832,0.93
oci_Latn,0.88,0.7403,0.88
urd_Arab,0.89,0.6189,0.89
shn_Mymr,0.23,0.1505,0.23
kaz_Cyrl,0.83,0.5578,0.83
hat_Latn,0.75,0.5203,0.75
tha_Thai,0.92,0.7162,0.92
tam_Taml,0.85,0.5903,0.85
kat_Geor,0.74,0.5249,0.74
ell_Grek,0.89,0.6738,0.89
hau_Latn,0.36,0.2132,0.36
bod_Tibt,0.13,0.0408,0.13
dan_Latn,0.95,0.7819,0.95
ckb_Arab,0.55,0.3165,0.55
mri_Latn,0.59,0.3251,0.59
som_Latn,0.41,0.2103,0.41
spa_Latn,1.0,0.8346,1.0
jav_Latn,0.86,0.6246,0.86
zho_Hans,0.95,0.7441,0.95
ars_Arab,0.96,0.7441,0.96
ssw_Latn,0.35,0.2097,0.35
sun_Latn,0.85,0.6135,0.85
nld_Latn,0.94,0.7814,0.94
swe_Latn,0.96,0.7614,0.96
tgl_Latn,0.95,0.7154,0.95
eng_Latn,1.0,1.0,1.0
mar_Deva,0.82,0.5886,0.82
vie_Latn,0.98,0.8268,0.98
por_Latn,0.97,0.8422,0.97
fra_Latn,0.95,0.8211,0.95
lin_Latn,0.48,0.3092,0.48
bam_Latn,0.34,0.2181,0.34
yor_Latn,0.33,0.1622,0.33
cat_Latn,0.98,0.7984,0.98
hrv_Latn,0.94,0.7097,0.94
zul_Latn,0.33,0.1938,0.33
slv_Latn,0.91,0.6878,0.91
swh_Latn,0.63,0.3603,0.63
glg_Latn,0.97,0.8078,0.97
sin_Sinh,0.5,0.2784,0.5
xho_Latn,0.43,0.2541,0.43
tsn_Latn,0.42,0.2257,0.42
ben_Beng,0.91,0.6695,0.91
tso_Latn,0.41,0.2424,0.41
mlt_Latn,0.84,0.5854,0.84
heb_Hebr,0.89,0.6222,0.89
gaz_Latn,0.25,0.1303,0.25
arz_Arab,0.92,0.6959,0.92
afr_Latn,0.95,0.7832,0.95
guj_Gujr,0.87,0.5832,0.87
eus_Latn,0.74,0.4743,0.74
mya_Mymr,0.62,0.3081,0.62
ceb_Latn,0.85,0.6497,0.85
deu_Latn,0.98,0.8035,0.98
tur_Latn,0.86,0.6405,0.86
jpn_Jpan,0.92,0.713,0.92
wol_Latn,0.43,0.2714,0.43
