code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
gaz_Latn,0.18,0.0824,0.18
arz_Arab,0.89,0.5876,0.89
afr_Latn,0.87,0.5708,0.87
deu_Latn,0.9,0.6732,0.9
tur_Latn,0.82,0.5573,0.82
ceb_Latn,0.79,0.517,0.79
jpn_Jpan,0.92,0.7438,0.92
wol_Latn,0.33,0.1711,0.33
eus_Latn,0.59,0.3446,0.59
guj_Gujr,0.72,0.4965,0.72
mya_Mymr,0.49,0.2614,0.49
slv_Latn,0.85,0.5562,0.85
yor_Latn,0.16,0.0811,0.16
bam_Latn,0.24,0.1232,0.24
cat_Latn,0.85,0.6219,0.85
hrv_Latn,0.86,0.5781,0.86
zul_Latn,0.29,0.1197,0.29
ben_Beng,0.89,0.6041,0.89
mlt_Latn,0.77,0.4135,0.77
heb_Hebr,0.83,0.5554,0.83
tso_Latn,0.3,0.143,0.3
glg_Latn,0.91,0.6592,0.91
swh_Latn,0.46,0.213,0.46
sin_Sinh,0.37,0.2103,0.37
tsn_Latn,0.31,0.143,0.31
xho_Latn,0.34,0.1451,0.34
zho_Hans,1.0,1.0,1.0
jav_Latn,0.71,0.4608,0.71
ars_Arab,0.92,0.6473,0.92
sun_Latn,0.71,0.4508,0.71
ssw_Latn,0.21,0.1059,0.21
ckb_Arab,0.41,0.2178,0.41
dan_Latn,0.9,0.6278,0.9
mri_Latn,0.42,0.1803,0.42
som_Latn,0.21,0.1011,0.21
spa_Latn,0.89,0.6841,0.89
vie_Latn,0.93,0.7108,0.93
mar_Deva,0.75,0.5008,0.75
por_Latn,0.92,0.7008,0.92
fra_Latn,0.89,0.6686,0.89
lin_Latn,0.39,0.1911,0.39
nld_Latn,0.86,0.6189,0.86
eng_Latn,0.95,0.7441,0.95
tgl_Latn,0.84,0.5522,0.84
swe_Latn,0.87,0.6068,0.87
shn_Mymr,0.17,0.0954,0.17
kaz_Cyrl,0.81,0.4876,0.81
oci_Latn,0.77,0.5427,0.77
urd_Arab,0.83,0.5097,0.83
bod_Tibt,0.09,0.0265,0.09
hau_Latn,0.26,0.1405,0.26
ell_Grek,0.79,0.5438,0.79
hat_Latn,0.66,0.3489,0.66
tam_Taml,0.79,0.4941,0.79
tha_Thai,0.83,0.6389,0.83
kat_Geor,0.69,0.4343,0.69
ces_Latn,0.93,0.6124,0.93
ita_Latn,0.91,0.7038,0.91
ron_Latn,0.9,0.6427,0.9
tel_Telu,0.67,0.4554,0.67
sot_Latn,0.33,0.1511,0.33
lit_Latn,0.8,0.5008,0.8
war_Latn,0.79,0.5378,0.79
apc_Arab,0.85,0.607,0.85
kir_Cyrl,0.66,0.3919,0.66
pes_Arab,0.8,0.5559,0.8
hin_Deva,0.82,0.5995,0.82
pbt_Arab,0.62,0.3143,0.62
pan_Guru,0.88,0.5659,0.88
tir_Ethi,0.15,0.0649,0.15
amh_Ethi,0.28,0.1351,0.28
khk_Cyrl,0.53,0.3181,0.53
acm_Arab,0.94,0.6408,0.94
ilo_Latn,0.65,0.3908,0.65
ast_Latn,0.86,0.6168,0.86
kea_Latn,0.68,0.4259,0.68
pol_Latn,0.91,0.6224,0.91
ind_Latn,0.91,0.6357,0.91
uzn_Latn,0.71,0.387,0.71
khm_Khmr,0.63,0.4211,0.63
hye_Armn,0.81,0.5238,0.81
plt_Latn,0.32,0.1554,0.32
mal_Mlym,0.65,0.4359,0.65
fuv_Latn,0.28,0.1341,0.28
bul_Cyrl,0.92,0.6484,0.92
lvs_Latn,0.82,0.5184,0.82
hun_Latn,0.88,0.593,0.88
nob_Latn,0.87,0.5954,0.87
sna_Latn,0.2,0.1214,0.2
kan_Knda,0.69,0.4678,0.69
kor_Hang,0.92,0.6722,0.92
ibo_Latn,0.24,0.1138,0.24
arb_Arab,0.93,0.6543,0.93
fin_Latn,0.81,0.4954,0.81
isl_Latn,0.66,0.3435,0.66
ukr_Cyrl,0.84,0.6365,0.84
lug_Latn,0.35,0.1468,0.35
slk_Latn,0.84,0.5584,0.84
asm_Beng,0.73,0.4416,0.73
arb_Latn,0.39,0.1722,0.39
nya_Latn,0.27,0.1411,0.27
kin_Latn,0.27,0.1265,0.27
tgk_Cyrl,0.6,0.3319,0.6
zho_Hant,0.98,0.8665,0.98
rus_Cyrl,0.94,0.6986,0.94
zsm_Latn,0.86,0.5973,0.86
grn_Latn,0.38,0.1941,0.38
est_Latn,0.77,0.4546,0.77
lao_Laoo,0.54,0.3484,0.54
als_Latn,0.68,0.4432,0.68
