code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
lvs_Latn,0.45,0.1549,0.45
fuv_Latn,0.12,0.063,0.12
mal_Mlym,0.09,0.0368,0.09
plt_Latn,0.05,0.0262,0.05
bul_Cyrl,0.68,0.2908,0.68
kor_Hang,0.61,0.3511,0.61
kan_Knda,0.07,0.0305,0.07
ibo_Latn,0.1,0.0376,0.1
nob_Latn,0.76,0.3365,0.76
sna_Latn,0.05,0.0324,0.05
hun_Latn,0.52,0.2165,0.52
arb_Arab,0.63,0.3505,0.63
ukr_Cyrl,0.57,0.2386,0.57
lug_Latn,0.07,0.0408,0.07
slk_Latn,0.57,0.2203,0.57
fin_Latn,0.4,0.1697,0.4
isl_Latn,0.21,0.07,0.21
asm_Beng,0.11,0.0462,0.11
nya_Latn,0.06,0.0403,0.06
arb_Latn,0.1,0.0405,0.1
zho_Hant,0.98,0.8927,0.98
rus_Cyrl,0.66,0.4135,0.66
kin_Latn,0.08,0.047,0.08
tgk_Cyrl,0.16,0.0554,0.16
lao_Laoo,0.04,0.0219,0.04
als_Latn,0.45,0.1243,0.45
est_Latn,0.36,0.143,0.36
zsm_Latn,0.61,0.2786,0.61
grn_Latn,0.07,0.0403,0.07
ces_Latn,0.67,0.2776,0.67
ron_Latn,0.67,0.3273,0.67
ita_Latn,0.81,0.4141,0.81
kir_Cyrl,0.16,0.0668,0.16
apc_Arab,0.5,0.2686,0.5
hin_Deva,0.25,0.0995,0.25
pes_Arab,0.38,0.1489,0.38
tel_Telu,0.04,0.0205,0.04
war_Latn,0.22,0.1286,0.22
sot_Latn,0.07,0.043,0.07
lit_Latn,0.54,0.1908,0.54
pbt_Arab,0.15,0.05,0.15
pan_Guru,0.12,0.0378,0.12
amh_Ethi,0.03,0.0068,0.03
khk_Cyrl,0.08,0.0381,0.08
tir_Ethi,0.01,0.0046,0.01
kea_Latn,0.36,0.1614,0.36
acm_Arab,0.67,0.3297,0.67
ilo_Latn,0.15,0.0692,0.15
ast_Latn,0.72,0.3568,0.72
ind_Latn,0.73,0.3714,0.73
uzn_Latn,0.23,0.0873,0.23
pol_Latn,0.72,0.3262,0.72
hye_Armn,0.09,0.0441,0.09
khm_Khmr,0.03,0.0157,0.03
ars_Arab,0.63,0.3408,0.63
ssw_Latn,0.06,0.0351,0.06
sun_Latn,0.37,0.163,0.37
jav_Latn,0.32,0.1376,0.32
zho_Hans,1.0,1.0,1.0
som_Latn,0.05,0.0251,0.05
spa_Latn,0.85,0.4684,0.85
ckb_Arab,0.06,0.0259,0.06
dan_Latn,0.65,0.3165,0.65
mri_Latn,0.07,0.0457,0.07
fra_Latn,0.73,0.4059,0.73
lin_Latn,0.08,0.0516,0.08
mar_Deva,0.12,0.0484,0.12
vie_Latn,0.73,0.4216,0.73
por_Latn,0.82,0.4484,0.82
nld_Latn,0.71,0.3662,0.71
swe_Latn,0.73,0.3524,0.73
eng_Latn,0.96,0.7386,0.96
tgl_Latn,0.39,0.153,0.39
shn_Mymr,0.02,0.0022,0.02
kaz_Cyrl,0.25,0.0878,0.25
oci_Latn,0.52,0.2554,0.52
urd_Arab,0.33,0.1019,0.33
ell_Grek,0.25,0.0727,0.25
bod_Tibt,0.01,0.0008,0.01
hau_Latn,0.09,0.0457,0.09
kat_Geor,0.09,0.0376,0.09
hat_Latn,0.24,0.0997,0.24
tam_Taml,0.11,0.0505,0.11
tha_Thai,0.47,0.2111,0.47
afr_Latn,0.68,0.3084,0.68
arz_Arab,0.63,0.3022,0.63
gaz_Latn,0.04,0.0238,0.04
jpn_Jpan,0.73,0.5308,0.73
wol_Latn,0.07,0.0422,0.07
ceb_Latn,0.3,0.1324,0.3
deu_Latn,0.8,0.4324,0.8
tur_Latn,0.5,0.2378,0.5
mya_Mymr,0.02,0.0014,0.02
guj_Gujr,0.07,0.0324,0.07
eus_Latn,0.23,0.0859,0.23
slv_Latn,0.54,0.2341,0.54
hrv_Latn,0.61,0.2551,0.61
zul_Latn,0.07,0.0341,0.07
yor_Latn,0.06,0.037,0.06
bam_Latn,0.06,0.0265,0.06
cat_Latn,0.66,0.3311,0.66
ben_Beng,0.28,0.0905,0.28
tso_Latn,0.07,0.0392,0.07
mlt_Latn,0.22,0.0841,0.22
heb_Hebr,0.56,0.2559,0.56
sin_Sinh,0.05,0.0168,0.05
tsn_Latn,0.08,0.0424,0.08
xho_Latn,0.07,0.0346,0.07
glg_Latn,0.67,0.3868,0.67
swh_Latn,0.12,0.0514,0.12
