code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
ind_Latn,0.98,0.8624,0.98
uzn_Latn,0.76,0.5378,0.76
pol_Latn,0.97,0.8543,0.97
khm_Khmr,0.84,0.6159,0.84
hye_Armn,0.91,0.6778,0.91
tir_Ethi,0.16,0.0959,0.16
khk_Cyrl,0.71,0.4554,0.71
amh_Ethi,0.42,0.2459,0.42
kea_Latn,0.87,0.7392,0.87
ilo_Latn,0.79,0.5903,0.79
acm_Arab,0.96,0.7681,0.96
ast_Latn,0.97,0.8773,0.97
apc_Arab,0.95,0.7654,0.95
kir_Cyrl,0.75,0.5389,0.75
hin_Deva,0.98,0.7486,0.98
pes_Arab,0.95,0.7665,0.95
tel_Telu,0.84,0.5784,0.84
lit_Latn,0.94,0.7486,0.94
sot_Latn,0.46,0.2946,0.46
war_Latn,0.91,0.7484,0.91
pan_Guru,0.92,0.6886,0.92
pbt_Arab,0.69,0.4703,0.69
ces_Latn,0.98,0.8505,0.98
ita_Latn,0.98,0.9124,0.98
ron_Latn,0.98,0.8835,0.98
zho_Hant,0.89,0.713,0.89
rus_Cyrl,0.99,0.8854,0.99
kin_Latn,0.4,0.2614,0.4
tgk_Cyrl,0.78,0.5278,0.78
lao_Laoo,0.77,0.5438,0.77
als_Latn,0.92,0.7411,0.92
grn_Latn,0.53,0.3703,0.53
zsm_Latn,0.96,0.8422,0.96
est_Latn,0.91,0.6795,0.91
asm_Beng,0.86,0.6095,0.86
nya_Latn,0.36,0.2357,0.36
arb_Latn,0.56,0.3589,0.56
arb_Arab,0.98,0.7943,0.98
lug_Latn,0.41,0.2586,0.41
ukr_Cyrl,0.98,0.8511,0.98
slk_Latn,0.96,0.8097,0.96
fin_Latn,0.95,0.7411,0.95
isl_Latn,0.79,0.5797,0.79
lvs_Latn,0.94,0.7614,0.94
plt_Latn,0.48,0.3278,0.48
fuv_Latn,0.31,0.1868,0.31
mal_Mlym,0.83,0.5816,0.83
bul_Cyrl,0.97,0.8384,0.97
kan_Knda,0.85,0.5941,0.85
kor_Hang,0.89,0.7138,0.89
ibo_Latn,0.37,0.243,0.37
hun_Latn,0.95,0.7776,0.95
sna_Latn,0.37,0.2503,0.37
nob_Latn,0.96,0.8057,0.96
ben_Beng,0.96,0.7238,0.96
heb_Hebr,0.89,0.7103,0.89
mlt_Latn,0.91,0.7159,0.91
tso_Latn,0.4,0.2665,0.4
sin_Sinh,0.5,0.3022,0.5
xho_Latn,0.47,0.2757,0.47
tsn_Latn,0.38,0.2476,0.38
swh_Latn,0.65,0.447,0.65
glg_Latn,0.99,0.8916,0.99
slv_Latn,0.98,0.7914,0.98
zul_Latn,0.4,0.2373,0.4
hrv_Latn,0.98,0.8243,0.98
bam_Latn,0.36,0.2386,0.36
yor_Latn,0.24,0.1686,0.24
cat_Latn,0.99,0.9214,0.99
jpn_Jpan,0.9,0.6981,0.9
wol_Latn,0.43,0.3154,0.43
tur_Latn,0.9,0.7205,0.9
deu_Latn,0.97,0.8708,0.97
ceb_Latn,0.9,0.7259,0.9
mya_Mymr,0.7,0.3659,0.7
eus_Latn,0.8,0.5865,0.8
guj_Gujr,0.91,0.6641,0.91
afr_Latn,0.95,0.8224,0.95
arz_Arab,0.96,0.7711,0.96
gaz_Latn,0.24,0.1492,0.24
hau_Latn,0.32,0.2297,0.32
bod_Tibt,0.09,0.0411,0.09
ell_Grek,0.96,0.8003,0.96
kat_Geor,0.84,0.6184,0.84
hat_Latn,0.8,0.6541,0.8
tha_Thai,0.95,0.8027,0.95
tam_Taml,0.87,0.6214,0.87
kaz_Cyrl,0.87,0.6297,0.87
shn_Mymr,0.21,0.1397,0.21
oci_Latn,0.95,0.9014,0.95
urd_Arab,0.9,0.6659,0.9
fra_Latn,1.0,1.0,1.0
lin_Latn,0.51,0.3776,0.51
vie_Latn,0.97,0.8657,0.97
mar_Deva,0.92,0.6659,0.92
por_Latn,0.98,0.9165,0.98
nld_Latn,0.97,0.8411,0.97
tgl_Latn,0.96,0.7714,0.96
eng_Latn,0.95,0.8211,0.95
swe_Latn,0.95,0.8157,0.95
ars_Arab,0.97,0.7851,0.97
sun_Latn,0.89,0.7124,0.89
ssw_Latn,0.32,0.2278,0.32
zho_Hans,0.89,0.6686,0.89
jav_Latn,0.9,0.7162,0.9
som_Latn,0.34,0.2073,0.34
spa_Latn,0.96,0.9016,0.96
dan_Latn,0.95,0.843,0.95
ckb_Arab,0.6,0.4097,0.6
mri_Latn,0.52,0.3503,0.52
