code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
ces_Latn,0.97,0.6316,0.97
ita_Latn,0.98,0.8097,0.98
ron_Latn,0.97,0.6741,0.97
lit_Latn,0.93,0.5,0.93
sot_Latn,0.09,0.0543,0.09
war_Latn,0.65,0.3149,0.65
tel_Telu,0.16,0.0511,0.16
hin_Deva,0.73,0.3097,0.73
pes_Arab,0.86,0.4492,0.86
apc_Arab,0.9,0.5708,0.9
kir_Cyrl,0.3,0.1246,0.3
pbt_Arab,0.24,0.1016,0.24
pan_Guru,0.16,0.0768,0.16
tir_Ethi,0.01,0.0027,0.01
khk_Cyrl,0.18,0.063,0.18
amh_Ethi,0.04,0.0127,0.04
ast_Latn,0.98,0.7611,0.98
ilo_Latn,0.39,0.1722,0.39
acm_Arab,0.93,0.6078,0.93
kea_Latn,0.68,0.4338,0.68
pol_Latn,0.96,0.6532,0.96
uzn_Latn,0.46,0.2022,0.46
ind_Latn,0.98,0.7078,0.98
khm_Khmr,0.07,0.03,0.07
hye_Armn,0.4,0.1486,0.4
bul_Cyrl,0.95,0.627,0.95
plt_Latn,0.11,0.0554,0.11
fuv_Latn,0.13,0.0808,0.13
mal_Mlym,0.18,0.0741,0.18
lvs_Latn,0.87,0.4822,0.87
hun_Latn,0.89,0.5249,0.89
sna_Latn,0.09,0.0549,0.09
nob_Latn,0.94,0.6227,0.94
ibo_Latn,0.09,0.0451,0.09
kan_Knda,0.1,0.0416,0.1
kor_Hang,0.87,0.5146,0.87
arb_Arab,0.94,0.6297,0.94
isl_Latn,0.54,0.22,0.54
fin_Latn,0.93,0.4968,0.93
slk_Latn,0.94,0.5784,0.94
lug_Latn,0.12,0.0714,0.12
ukr_Cyrl,0.92,0.5916,0.92
asm_Beng,0.26,0.0962,0.26
arb_Latn,0.16,0.0808,0.16
nya_Latn,0.1,0.0551,0.1
tgk_Cyrl,0.31,0.1184,0.31
kin_Latn,0.09,0.0532,0.09
rus_Cyrl,0.98,0.7284,0.98
zho_Hant,0.84,0.4381,0.84
grn_Latn,0.12,0.0781,0.12
zsm_Latn,0.97,0.6468,0.97
est_Latn,0.84,0.4241,0.84
als_Latn,0.87,0.42,0.87
lao_Laoo,0.07,0.0338,0.07
arz_Arab,0.92,0.5746,0.92
gaz_Latn,0.05,0.0268,0.05
afr_Latn,0.96,0.6273,0.96
tur_Latn,0.9,0.4824,0.9
deu_Latn,0.98,0.7473,0.98
ceb_Latn,0.75,0.3589,0.75
wol_Latn,0.12,0.08,0.12
jpn_Jpan,0.85,0.5173,0.85
eus_Latn,0.45,0.2219,0.45
guj_Gujr,0.2,0.0738,0.2
mya_Mymr,0.01,0.0005,0.01
slv_Latn,0.98,0.577,0.98
cat_Latn,1.0,0.773,1.0
bam_Latn,0.09,0.0511,0.09
yor_Latn,0.07,0.0403,0.07
zul_Latn,0.07,0.0465,0.07
hrv_Latn,0.98,0.6124,0.98
heb_Hebr,0.87,0.4954,0.87
mlt_Latn,0.56,0.27,0.56
tso_Latn,0.08,0.0516,0.08
ben_Beng,0.54,0.2103,0.54
swh_Latn,0.28,0.1086,0.28
glg_Latn,0.99,0.7824,0.99
xho_Latn,0.1,0.0465,0.1
tsn_Latn,0.09,0.0538,0.09
sin_Sinh,0.02,0.0097,0.02
zho_Hans,0.73,0.4059,0.73
jav_Latn,0.72,0.3957,0.72
sun_Latn,0.65,0.3835,0.65
ssw_Latn,0.08,0.0503,0.08
ars_Arab,0.94,0.6224,0.94
mri_Latn,0.15,0.0557,0.15
dan_Latn,0.97,0.6714,0.97
ckb_Arab,0.12,0.0481,0.12
spa_Latn,0.99,0.8349,0.99
som_Latn,0.08,0.043,0.08
por_Latn,0.99,0.8322,0.99
vie_Latn,0.98,0.6932,0.98
mar_Deva,0.47,0.1738,0.47
lin_Latn,0.18,0.0846,0.18
fra_Latn,1.0,1.0,1.0
tgl_Latn,0.92,0.4495,0.92
eng_Latn,0.93,0.6111,0.93
swe_Latn,0.97,0.6457,0.97
nld_Latn,0.98,0.6889,0.98
kaz_Cyrl,0.57,0.2292,0.57
shn_Mymr,0.03,0.0049,0.03
urd_Arab,0.68,0.3092,0.68
oci_Latn,0.96,0.7216,0.96
hau_Latn,0.13,0.0668,0.13
bod_Tibt,0.02,0.0038,0.02
ell_Grek,0.82,0.383,0.82
tha_Thai,0.91,0.5465,0.91
tam_Taml,0.24,0.0927,0.24
hat_Latn,0.57,0.2865,0.57
kat_Geor,0.31,0.1049,0.31
