code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
arb_Latn,0.58,0.3543,0.58
nya_Latn,0.32,0.2254,0.32
asm_Beng,0.92,0.6303,0.92
est_Latn,0.91,0.7035,0.91
zsm_Latn,0.98,0.8116,0.98
grn_Latn,0.48,0.3405,0.48
lao_Laoo,0.81,0.5495,0.81
als_Latn,0.93,0.7111,0.93
kin_Latn,0.37,0.243,0.37
tgk_Cyrl,0.78,0.5184,0.78
zho_Hant,0.93,0.6938,0.93
rus_Cyrl,0.99,0.8705,0.99
nob_Latn,0.98,0.8497,0.98
sna_Latn,0.33,0.2181,0.33
hun_Latn,0.97,0.7862,0.97
kor_Hang,0.94,0.7327,0.94
kan_Knda,0.88,0.6073,0.88
ibo_Latn,0.36,0.2419,0.36
mal_Mlym,0.82,0.5868,0.82
fuv_Latn,0.33,0.2051,0.33
plt_Latn,0.43,0.303,0.43
bul_Cyrl,0.99,0.8419,0.99
lvs_Latn,0.97,0.7722,0.97
fin_Latn,0.98,0.7478,0.98
isl_Latn,0.89,0.6141,0.89
ukr_Cyrl,1.0,0.8576,1.0
lug_Latn,0.4,0.2319,0.4
slk_Latn,0.96,0.8235,0.96
arb_Arab,0.99,0.7746,0.99
acm_Arab,0.96,0.737,0.96
ilo_Latn,0.79,0.5759,0.79
ast_Latn,0.97,0.8195,0.97
kea_Latn,0.88,0.7065,0.88
amh_Ethi,0.34,0.2292,0.34
khk_Cyrl,0.72,0.463,0.72
tir_Ethi,0.17,0.1024,0.17
hye_Armn,0.92,0.6768,0.92
khm_Khmr,0.8,0.5876,0.8
pol_Latn,1.0,0.8389,1.0
ind_Latn,0.98,0.8519,0.98
uzn_Latn,0.87,0.6146,0.87
ron_Latn,1.0,0.8578,1.0
ita_Latn,0.98,0.8732,0.98
ces_Latn,0.99,0.867,0.99
pbt_Arab,0.77,0.4859,0.77
pan_Guru,0.95,0.7103,0.95
tel_Telu,0.86,0.5849,0.86
war_Latn,0.94,0.7319,0.94
sot_Latn,0.42,0.2703,0.42
lit_Latn,0.96,0.747,0.96
kir_Cyrl,0.77,0.5516,0.77
apc_Arab,0.98,0.7249,0.98
pes_Arab,0.94,0.7303,0.94
hin_Deva,0.97,0.7422,0.97
oci_Latn,0.92,0.8024,0.92
urd_Arab,0.95,0.6738,0.95
shn_Mymr,0.2,0.1354,0.2
kaz_Cyrl,0.9,0.6716,0.9
hat_Latn,0.78,0.5811,0.78
tam_Taml,0.93,0.6668,0.93
tha_Thai,0.96,0.7649,0.96
kat_Geor,0.85,0.6349,0.85
ell_Grek,0.94,0.7484,0.94
bod_Tibt,0.1,0.047,0.1
hau_Latn,0.34,0.2265,0.34
ckb_Arab,0.62,0.4051,0.62
dan_Latn,1.0,0.8922,1.0
mri_Latn,0.51,0.3511,0.51
som_Latn,0.33,0.2043,0.33
spa_Latn,0.99,0.8565,0.99
jav_Latn,0.93,0.72,0.93
zho_Hans,0.9,0.6732,0.9
ars_Arab,0.99,0.7668,0.99
ssw_Latn,0.34,0.2281,0.34
sun_Latn,0.89,0.6838,0.89
nld_Latn,0.98,0.8881,0.98
swe_Latn,0.99,0.8549,0.99
eng_Latn,0.98,0.8035,0.98
tgl_Latn,1.0,0.7805,1.0
mar_Deva,0.9,0.6522,0.9
vie_Latn,0.98,0.8149,0.98
por_Latn,0.98,0.8581,0.98
fra_Latn,0.97,0.8708,0.97
lin_Latn,0.49,0.3389,0.49
yor_Latn,0.23,0.1559,0.23
bam_Latn,0.37,0.2243,0.37
cat_Latn,0.98,0.8538,0.98
hrv_Latn,0.98,0.8265,0.98
zul_Latn,0.38,0.2154,0.38
slv_Latn,0.97,0.7951,0.97
glg_Latn,0.98,0.8265,0.98
swh_Latn,0.71,0.4341,0.71
sin_Sinh,0.55,0.3276,0.55
tsn_Latn,0.36,0.2422,0.36
xho_Latn,0.44,0.277,0.44
ben_Beng,0.98,0.737,0.98
tso_Latn,0.36,0.2422,0.36
mlt_Latn,0.87,0.6711,0.87
heb_Hebr,0.95,0.7103,0.95
gaz_Latn,0.26,0.1673,0.26
arz_Arab,0.98,0.7262,0.98
afr_Latn,0.96,0.8522,0.96
guj_Gujr,0.92,0.6646,0.92
eus_Latn,0.81,0.5941,0.81
mya_Mymr,0.76,0.3986,0.76
ceb_Latn,0.93,0.7168,0.93
deu_Latn,1.0,1.0,1.0
tur_Latn,0.95,0.7459,0.95
jpn_Jpan,0.92,0.7216,0.92
wol_Latn,0.41,0.2868,0.41
