code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
mya_Mymr,0.01,0.0014,0.01
eus_Latn,0.55,0.2422,0.55
guj_Gujr,0.24,0.0781,0.24
jpn_Jpan,0.89,0.5554,0.89
wol_Latn,0.12,0.083,0.12
tur_Latn,0.93,0.5503,0.93
deu_Latn,1.0,1.0,1.0
ceb_Latn,0.76,0.3711,0.76
afr_Latn,0.98,0.6751,0.98
arz_Arab,0.92,0.5573,0.92
gaz_Latn,0.05,0.0311,0.05
sin_Sinh,0.04,0.0138,0.04
xho_Latn,0.11,0.0527,0.11
tsn_Latn,0.09,0.0573,0.09
swh_Latn,0.25,0.1059,0.25
glg_Latn,0.97,0.6749,0.97
ben_Beng,0.56,0.2457,0.56
heb_Hebr,0.87,0.5046,0.87
mlt_Latn,0.58,0.2614,0.58
tso_Latn,0.08,0.0541,0.08
zul_Latn,0.1,0.0519,0.1
hrv_Latn,0.97,0.6292,0.97
bam_Latn,0.08,0.0389,0.08
yor_Latn,0.06,0.0365,0.06
cat_Latn,0.98,0.68,0.98
slv_Latn,0.96,0.5851,0.96
nld_Latn,0.99,0.7792,0.99
tgl_Latn,0.94,0.4608,0.94
eng_Latn,0.93,0.597,0.93
swe_Latn,0.99,0.7181,0.99
fra_Latn,0.98,0.7473,0.98
lin_Latn,0.13,0.0797,0.13
vie_Latn,0.96,0.6595,0.96
mar_Deva,0.54,0.1992,0.54
por_Latn,0.98,0.7308,0.98
som_Latn,0.07,0.04,0.07
spa_Latn,0.99,0.7178,0.99
dan_Latn,1.0,0.7311,1.0
ckb_Arab,0.12,0.0419,0.12
mri_Latn,0.18,0.0646,0.18
ars_Arab,0.95,0.6084,0.95
sun_Latn,0.65,0.3695,0.65
ssw_Latn,0.09,0.0514,0.09
zho_Hans,0.8,0.4324,0.8
jav_Latn,0.72,0.3914,0.72
kat_Geor,0.3,0.1211,0.3
hat_Latn,0.49,0.2489,0.49
tha_Thai,0.84,0.4876,0.84
tam_Taml,0.27,0.11,0.27
hau_Latn,0.12,0.0765,0.12
bod_Tibt,0.02,0.0024,0.02
ell_Grek,0.77,0.3541,0.77
oci_Latn,0.9,0.6011,0.9
urd_Arab,0.69,0.3314,0.69
shn_Mymr,0.03,0.0076,0.03
kaz_Cyrl,0.61,0.2638,0.61
pbt_Arab,0.27,0.1092,0.27
pan_Guru,0.19,0.0868,0.19
apc_Arab,0.89,0.5538,0.89
kir_Cyrl,0.32,0.1438,0.32
hin_Deva,0.72,0.357,0.72
pes_Arab,0.86,0.4519,0.86
tel_Telu,0.11,0.0432,0.11
lit_Latn,0.92,0.5151,0.92
sot_Latn,0.1,0.0619,0.1
war_Latn,0.62,0.3124,0.62
ita_Latn,0.99,0.7322,0.99
ron_Latn,0.97,0.6459,0.97
ces_Latn,0.97,0.6646,0.97
khm_Khmr,0.05,0.0211,0.05
hye_Armn,0.38,0.1516,0.38
ind_Latn,0.99,0.703,0.99
uzn_Latn,0.56,0.2519,0.56
pol_Latn,0.98,0.6673,0.98
kea_Latn,0.6,0.3657,0.6
acm_Arab,0.91,0.5795,0.91
ilo_Latn,0.38,0.1659,0.38
ast_Latn,0.97,0.6559,0.97
tir_Ethi,0.04,0.0049,0.04
khk_Cyrl,0.17,0.0643,0.17
amh_Ethi,0.02,0.0108,0.02
lug_Latn,0.12,0.0762,0.12
ukr_Cyrl,0.95,0.6046,0.95
slk_Latn,0.95,0.6157,0.95
fin_Latn,0.93,0.5278,0.93
isl_Latn,0.63,0.2457,0.63
arb_Arab,0.94,0.6084,0.94
kan_Knda,0.1,0.0427,0.1
kor_Hang,0.93,0.5668,0.93
ibo_Latn,0.09,0.0462,0.09
hun_Latn,0.91,0.5508,0.91
sna_Latn,0.07,0.0411,0.07
nob_Latn,0.96,0.6881,0.96
lvs_Latn,0.89,0.5092,0.89
plt_Latn,0.12,0.0478,0.12
fuv_Latn,0.13,0.0843,0.13
mal_Mlym,0.25,0.097,0.25
bul_Cyrl,0.97,0.6265,0.97
lao_Laoo,0.07,0.0319,0.07
als_Latn,0.85,0.4032,0.85
grn_Latn,0.1,0.0622,0.1
zsm_Latn,0.98,0.6443,0.98
est_Latn,0.9,0.4778,0.9
zho_Hant,0.87,0.4689,0.87
rus_Cyrl,0.99,0.7297,0.99
kin_Latn,0.09,0.0586,0.09
tgk_Cyrl,0.34,0.1373,0.34
nya_Latn,0.1,0.0643,0.1
arb_Latn,0.15,0.0762,0.15
asm_Beng,0.33,0.1146,0.33
