code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
war_Latn,0.38,0.1876,0.38
lit_Latn,0.71,0.2673,0.71
sot_Latn,0.14,0.0522,0.14
tel_Telu,0.08,0.0289,0.08
hin_Deva,0.4,0.1616,0.4
pes_Arab,0.48,0.19,0.48
kir_Cyrl,0.15,0.0568,0.15
apc_Arab,0.73,0.3849,0.73
pan_Guru,0.11,0.0478,0.11
pbt_Arab,0.14,0.0638,0.14
ces_Latn,0.84,0.4178,0.84
ron_Latn,0.86,0.4703,0.86
ita_Latn,0.95,0.587,0.95
pol_Latn,0.81,0.4408,0.81
uzn_Latn,0.28,0.0962,0.28
ind_Latn,0.88,0.547,0.88
hye_Armn,0.13,0.0432,0.13
khm_Khmr,0.03,0.0114,0.03
khk_Cyrl,0.08,0.0305,0.08
amh_Ethi,0.02,0.0073,0.02
tir_Ethi,0.02,0.0046,0.02
ast_Latn,0.9,0.5157,0.9
acm_Arab,0.81,0.4532,0.81
ilo_Latn,0.22,0.1195,0.22
kea_Latn,0.53,0.2505,0.53
arb_Arab,0.83,0.4732,0.83
isl_Latn,0.31,0.0941,0.31
fin_Latn,0.65,0.2543,0.65
slk_Latn,0.76,0.3511,0.76
ukr_Cyrl,0.79,0.3589,0.79
lug_Latn,0.13,0.0611,0.13
bul_Cyrl,0.85,0.3922,0.85
fuv_Latn,0.16,0.0927,0.16
mal_Mlym,0.13,0.0554,0.13
plt_Latn,0.11,0.0286,0.11
lvs_Latn,0.68,0.2451,0.68
nob_Latn,0.88,0.4976,0.88
sna_Latn,0.12,0.03,0.12
hun_Latn,0.7,0.3086,0.7
ibo_Latn,0.1,0.04,0.1
kor_Hang,0.64,0.3573,0.64
kan_Knda,0.09,0.0289,0.09
tgk_Cyrl,0.12,0.0559,0.12
kin_Latn,0.11,0.0495,0.11
rus_Cyrl,0.88,0.5549,0.88
zho_Hant,0.96,0.7032,0.96
est_Latn,0.57,0.2097,0.57
zsm_Latn,0.86,0.4538,0.86
grn_Latn,0.1,0.0481,0.1
als_Latn,0.64,0.2043,0.64
lao_Laoo,0.04,0.0224,0.04
asm_Beng,0.14,0.0411,0.14
arb_Latn,0.1,0.0432,0.1
nya_Latn,0.09,0.0511,0.09
ceb_Latn,0.47,0.2135,0.47
tur_Latn,0.6,0.3092,0.6
deu_Latn,0.93,0.597,0.93
wol_Latn,0.13,0.0603,0.13
jpn_Jpan,0.75,0.4878,0.75
guj_Gujr,0.08,0.0246,0.08
eus_Latn,0.32,0.13,0.32
mya_Mymr,0.02,0.0008,0.02
arz_Arab,0.8,0.3995,0.8
gaz_Latn,0.03,0.0195,0.03
afr_Latn,0.89,0.4716,0.89
tso_Latn,0.1,0.0505,0.1
heb_Hebr,0.73,0.3551,0.73
mlt_Latn,0.35,0.1395,0.35
ben_Beng,0.35,0.1449,0.35
glg_Latn,0.94,0.5873,0.94
swh_Latn,0.16,0.067,0.16
tsn_Latn,0.13,0.0422,0.13
xho_Latn,0.14,0.0503,0.14
sin_Sinh,0.03,0.0151,0.03
slv_Latn,0.75,0.3314,0.75
cat_Latn,0.87,0.5062,0.87
yor_Latn,0.06,0.0362,0.06
bam_Latn,0.07,0.0246,0.07
zul_Latn,0.1,0.0392,0.1
hrv_Latn,0.78,0.3765,0.78
por_Latn,0.95,0.6519,0.95
mar_Deva,0.13,0.0424,0.13
vie_Latn,0.92,0.5411,0.92
lin_Latn,0.12,0.0657,0.12
fra_Latn,0.93,0.6111,0.93
swe_Latn,0.89,0.5038,0.89
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.58,0.25,0.58
nld_Latn,0.88,0.5319,0.88
jav_Latn,0.44,0.2078,0.44
zho_Hans,0.96,0.7386,0.96
ssw_Latn,0.15,0.0397,0.15
sun_Latn,0.55,0.2516,0.55
ars_Arab,0.81,0.4762,0.81
mri_Latn,0.11,0.0508,0.11
ckb_Arab,0.04,0.0157,0.04
dan_Latn,0.89,0.4995,0.89
spa_Latn,0.97,0.6573,0.97
som_Latn,0.15,0.0289,0.15
ell_Grek,0.46,0.1249,0.46
bod_Tibt,0.01,0.0024,0.01
hau_Latn,0.13,0.0608,0.13
tam_Taml,0.15,0.0662,0.15
tha_Thai,0.64,0.2784,0.64
hat_Latn,0.38,0.1608,0.38
kat_Geor,0.08,0.0246,0.08
shn_Mymr,0.03,0.0035,0.03
kaz_Cyrl,0.32,0.11,0.32
urd_Arab,0.52,0.1638,0.52
oci_Latn,0.77,0.4205,0.77
