code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
fin_Latn,0.98,0.7711,0.98
isl_Latn,0.95,0.6838,0.95
lug_Latn,0.52,0.3189,0.52
ukr_Cyrl,1.0,0.8549,1.0
slk_Latn,0.99,0.81,0.99
arb_Arab,1.0,1.0,1.0
hun_Latn,1.0,0.7941,1.0
sna_Latn,0.47,0.3046,0.47
nob_Latn,0.98,0.8149,0.98
kan_Knda,0.94,0.6805,0.94
kor_Hang,0.96,0.7849,0.96
ibo_Latn,0.44,0.2932,0.44
plt_Latn,0.57,0.3927,0.57
fuv_Latn,0.38,0.2403,0.38
mal_Mlym,0.95,0.673,0.95
bul_Cyrl,0.99,0.8432,0.99
lvs_Latn,1.0,0.7916,1.0
grn_Latn,0.51,0.3922,0.51
zsm_Latn,0.98,0.823,0.98
est_Latn,0.94,0.7327,0.94
lao_Laoo,0.96,0.7205,0.96
als_Latn,0.99,0.7889,0.99
kin_Latn,0.51,0.3222,0.51
tgk_Cyrl,0.91,0.6511,0.91
zho_Hant,0.95,0.7838,0.95
rus_Cyrl,1.0,0.8859,1.0
arb_Latn,0.78,0.6205,0.78
nya_Latn,0.52,0.343,0.52
asm_Beng,0.95,0.6954,0.95
pan_Guru,0.99,0.7527,0.99
pbt_Arab,0.9,0.6486,0.9
tel_Telu,0.93,0.6759,0.93
lit_Latn,0.99,0.7811,0.99
sot_Latn,0.51,0.3349,0.51
war_Latn,0.94,0.7338,0.94
apc_Arab,1.0,0.9649,1.0
kir_Cyrl,0.89,0.6292,0.89
hin_Deva,0.99,0.7932,0.99
pes_Arab,0.97,0.8422,0.97
ita_Latn,0.99,0.8616,0.99
ron_Latn,1.0,0.8432,1.0
ces_Latn,1.0,0.8238,1.0
khm_Khmr,0.97,0.7324,0.97
hye_Armn,0.97,0.7554,0.97
pol_Latn,1.0,0.8346,1.0
ind_Latn,0.99,0.8468,0.99
uzn_Latn,0.91,0.6438,0.91
acm_Arab,1.0,0.9951,1.0
ilo_Latn,0.86,0.6295,0.86
ast_Latn,0.97,0.8076,0.97
kea_Latn,0.85,0.6884,0.85
tir_Ethi,0.5,0.3089,0.5
khk_Cyrl,0.86,0.5749,0.86
amh_Ethi,0.78,0.5354,0.78
nld_Latn,0.98,0.8311,0.98
tgl_Latn,0.99,0.7957,0.99
eng_Latn,0.97,0.8446,0.97
swe_Latn,0.98,0.8146,0.98
vie_Latn,0.98,0.8503,0.98
mar_Deva,0.99,0.7446,0.99
por_Latn,0.99,0.8738,0.99
fra_Latn,0.98,0.8562,0.98
lin_Latn,0.52,0.383,0.52
dan_Latn,0.99,0.8332,0.99
ckb_Arab,0.88,0.6322,0.88
mri_Latn,0.71,0.4573,0.71
som_Latn,0.53,0.3238,0.53
spa_Latn,0.99,0.8584,0.99
zho_Hans,0.96,0.7692,0.96
jav_Latn,0.94,0.7508,0.94
ars_Arab,1.0,0.9973,1.0
sun_Latn,0.95,0.7297,0.95
ssw_Latn,0.45,0.3003,0.45
hat_Latn,0.85,0.6489,0.85
tha_Thai,0.99,0.8343,0.99
tam_Taml,0.96,0.6984,0.96
kat_Geor,0.95,0.7257,0.95
hau_Latn,0.47,0.2949,0.47
bod_Tibt,0.3,0.1657,0.3
ell_Grek,0.99,0.8089,0.99
oci_Latn,0.96,0.8124,0.96
urd_Arab,0.98,0.7708,0.98
shn_Mymr,0.24,0.143,0.24
kaz_Cyrl,0.95,0.7276,0.95
eus_Latn,0.88,0.6557,0.88
guj_Gujr,0.98,0.7376,0.98
mya_Mymr,0.84,0.4616,0.84
tur_Latn,0.95,0.7554,0.95
deu_Latn,1.0,0.843,1.0
ceb_Latn,0.96,0.763,0.96
jpn_Jpan,0.97,0.7768,0.97
wol_Latn,0.51,0.3541,0.51
arz_Arab,1.0,0.9811,1.0
gaz_Latn,0.39,0.2265,0.39
afr_Latn,0.98,0.8222,0.98
swh_Latn,0.9,0.5981,0.9
glg_Latn,0.98,0.843,0.98
sin_Sinh,0.82,0.5451,0.82
xho_Latn,0.57,0.3657,0.57
tsn_Latn,0.48,0.3111,0.48
ben_Beng,0.99,0.7473,0.99
heb_Hebr,1.0,0.8419,1.0
mlt_Latn,0.93,0.7219,0.93
tso_Latn,0.45,0.3184,0.45
bam_Latn,0.41,0.3046,0.41
yor_Latn,0.34,0.213,0.34
cat_Latn,0.99,0.8532,0.99
zul_Latn,0.54,0.3311,0.54
hrv_Latn,0.99,0.8143,0.99
slv_Latn,0.99,0.7922,0.99
