code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
ilo_Latn,0.66,0.2478,0.66
acm_Arab,1.0,0.987,1.0
ast_Latn,0.95,0.6027,0.95
kea_Latn,0.72,0.3646,0.72
tir_Ethi,0.06,0.0197,0.06
khk_Cyrl,0.45,0.1705,0.45
amh_Ethi,0.21,0.0768,0.21
khm_Khmr,0.36,0.1454,0.36
hye_Armn,0.64,0.3138,0.64
pol_Latn,0.99,0.6435,0.99
ind_Latn,0.98,0.6854,0.98
uzn_Latn,0.71,0.3057,0.71
ita_Latn,0.99,0.6716,0.99
ron_Latn,0.99,0.6397,0.99
ces_Latn,0.99,0.6092,0.99
pan_Guru,0.47,0.1949,0.47
pbt_Arab,0.52,0.2162,0.52
tel_Telu,0.42,0.1722,0.42
lit_Latn,0.96,0.5251,0.96
sot_Latn,0.14,0.0557,0.14
war_Latn,0.87,0.393,0.87
apc_Arab,1.0,0.9286,1.0
kir_Cyrl,0.56,0.2389,0.56
pes_Arab,0.98,0.5895,0.98
hin_Deva,0.82,0.4427,0.82
arb_Latn,0.41,0.2027,0.41
nya_Latn,0.14,0.0662,0.14
asm_Beng,0.5,0.1832,0.5
grn_Latn,0.18,0.0797,0.18
zsm_Latn,0.99,0.6241,0.99
est_Latn,0.94,0.4703,0.94
lao_Laoo,0.32,0.1195,0.32
als_Latn,0.96,0.5049,0.96
kin_Latn,0.14,0.0654,0.14
tgk_Cyrl,0.64,0.2773,0.64
zho_Hant,0.91,0.5627,0.91
rus_Cyrl,0.99,0.7481,0.99
hun_Latn,0.98,0.553,0.98
sna_Latn,0.16,0.0584,0.16
nob_Latn,0.97,0.6089,0.97
kan_Knda,0.44,0.1622,0.44
kor_Hang,0.94,0.61,0.94
ibo_Latn,0.11,0.05,0.11
plt_Latn,0.18,0.0703,0.18
mal_Mlym,0.51,0.1935,0.51
fuv_Latn,0.17,0.0805,0.17
bul_Cyrl,0.98,0.6124,0.98
lvs_Latn,0.96,0.5086,0.96
fin_Latn,0.97,0.5216,0.97
isl_Latn,0.83,0.3522,0.83
lug_Latn,0.15,0.0722,0.15
ukr_Cyrl,0.98,0.6235,0.98
slk_Latn,0.96,0.5865,0.96
arb_Arab,1.0,1.0,1.0
bam_Latn,0.1,0.0419,0.1
yor_Latn,0.1,0.0459,0.1
cat_Latn,0.99,0.643,0.99
zul_Latn,0.13,0.0551,0.13
hrv_Latn,0.99,0.6014,0.99
slv_Latn,0.97,0.5657,0.97
swh_Latn,0.62,0.2159,0.62
glg_Latn,0.99,0.6505,0.99
sin_Sinh,0.1,0.0486,0.1
xho_Latn,0.18,0.0659,0.18
tsn_Latn,0.13,0.0584,0.13
ben_Beng,0.77,0.3543,0.77
heb_Hebr,0.99,0.7314,0.99
mlt_Latn,0.75,0.3746,0.75
tso_Latn,0.12,0.0565,0.12
gaz_Latn,0.08,0.0343,0.08
arz_Arab,1.0,0.9311,1.0
afr_Latn,0.99,0.5846,0.99
eus_Latn,0.8,0.3249,0.8
guj_Gujr,0.55,0.2114,0.55
mya_Mymr,0.17,0.0524,0.17
tur_Latn,0.96,0.5195,0.96
deu_Latn,0.98,0.6689,0.98
ceb_Latn,0.93,0.4414,0.93
jpn_Jpan,0.93,0.553,0.93
wol_Latn,0.16,0.0724,0.16
oci_Latn,0.95,0.5624,0.95
urd_Arab,0.86,0.4332,0.86
kaz_Cyrl,0.74,0.3446,0.74
shn_Mymr,0.02,0.0046,0.02
hat_Latn,0.74,0.3251,0.74
tha_Thai,0.95,0.6657,0.95
tam_Taml,0.52,0.2276,0.52
kat_Geor,0.56,0.2619,0.56
hau_Latn,0.18,0.0732,0.18
bod_Tibt,0.03,0.0068,0.03
ell_Grek,0.89,0.4757,0.89
dan_Latn,0.98,0.6154,0.98
ckb_Arab,0.44,0.1608,0.44
mri_Latn,0.32,0.0997,0.32
som_Latn,0.11,0.0505,0.11
spa_Latn,0.98,0.6903,0.98
zho_Hans,0.84,0.5046,0.84
jav_Latn,0.86,0.4384,0.86
ars_Arab,1.0,0.9976,1.0
sun_Latn,0.84,0.4227,0.84
ssw_Latn,0.15,0.0605,0.15
nld_Latn,0.97,0.6157,0.97
tgl_Latn,0.97,0.5003,0.97
eng_Latn,0.92,0.6135,0.92
swe_Latn,0.97,0.6054,0.97
vie_Latn,0.97,0.7132,0.97
mar_Deva,0.69,0.3024,0.69
por_Latn,0.98,0.7014,0.98
fra_Latn,0.98,0.697,0.98
lin_Latn,0.17,0.0841,0.17
