code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
shn_Mymr,0.21,0.1278,0.21
kaz_Cyrl,0.95,0.6943,0.95
oci_Latn,0.94,0.7359,0.94
urd_Arab,0.95,0.6592,0.95
ell_Grek,0.94,0.6714,0.94
bod_Tibt,0.26,0.1508,0.26
hau_Latn,0.44,0.2803,0.44
hat_Latn,0.83,0.6343,0.83
tam_Taml,0.89,0.6195,0.89
tha_Thai,0.92,0.6797,0.92
kat_Geor,0.89,0.6514,0.89
jav_Latn,0.92,0.6992,0.92
zho_Hans,0.81,0.5557,0.81
ars_Arab,0.9,0.6643,0.9
ssw_Latn,0.44,0.2795,0.44
sun_Latn,0.88,0.6797,0.88
ckb_Arab,0.83,0.527,0.83
dan_Latn,0.94,0.7114,0.94
mri_Latn,0.73,0.4719,0.73
som_Latn,0.43,0.2854,0.43
spa_Latn,0.93,0.7462,0.93
mar_Deva,0.95,0.6768,0.95
vie_Latn,0.9,0.6938,0.9
por_Latn,0.94,0.743,0.94
fra_Latn,0.91,0.7357,0.91
lin_Latn,0.56,0.3968,0.56
nld_Latn,0.94,0.7089,0.94
swe_Latn,0.94,0.73,0.94
eng_Latn,0.9,0.6489,0.9
tgl_Latn,0.96,0.7262,0.96
slv_Latn,0.94,0.717,0.94
yor_Latn,0.37,0.2265,0.37
bam_Latn,0.4,0.2903,0.4
cat_Latn,0.93,0.7568,0.93
zul_Latn,0.5,0.3043,0.5
hrv_Latn,0.94,0.7259,0.94
ben_Beng,0.97,0.6792,0.97
tso_Latn,0.45,0.3151,0.45
heb_Hebr,0.89,0.6376,0.89
mlt_Latn,0.89,0.6824,0.89
glg_Latn,0.92,0.74,0.92
swh_Latn,0.82,0.5462,0.82
sin_Sinh,0.76,0.4824,0.76
tsn_Latn,0.46,0.3197,0.46
xho_Latn,0.56,0.3568,0.56
gaz_Latn,0.38,0.2416,0.38
arz_Arab,0.92,0.6462,0.92
afr_Latn,0.97,0.7535,0.97
ceb_Latn,0.93,0.7227,0.93
tur_Latn,0.91,0.6995,0.91
deu_Latn,0.96,0.7435,0.96
jpn_Jpan,0.89,0.6368,0.89
wol_Latn,0.5,0.34,0.5
guj_Gujr,0.93,0.6622,0.93
eus_Latn,1.0,1.0,1.0
mya_Mymr,0.82,0.4246,0.82
asm_Beng,0.94,0.6314,0.94
arb_Latn,0.65,0.4265,0.65
nya_Latn,0.5,0.3324,0.5
kin_Latn,0.46,0.3035,0.46
tgk_Cyrl,0.83,0.5684,0.83
zho_Hant,0.85,0.5649,0.85
rus_Cyrl,0.94,0.7154,0.94
est_Latn,0.9,0.6892,0.9
zsm_Latn,0.92,0.7097,0.92
grn_Latn,0.55,0.3703,0.55
lao_Laoo,0.92,0.6443,0.92
als_Latn,0.96,0.7216,0.96
mal_Mlym,0.87,0.6119,0.87
fuv_Latn,0.4,0.2473,0.4
plt_Latn,0.59,0.3889,0.59
bul_Cyrl,0.93,0.7068,0.93
lvs_Latn,0.93,0.707,0.93
nob_Latn,0.93,0.7216,0.93
sna_Latn,0.44,0.2943,0.44
hun_Latn,0.97,0.75,0.97
kor_Hang,0.88,0.6411,0.88
kan_Knda,0.88,0.6162,0.88
ibo_Latn,0.41,0.2905,0.41
arb_Arab,0.88,0.6557,0.88
fin_Latn,0.93,0.6986,0.93
isl_Latn,0.88,0.6351,0.88
ukr_Cyrl,0.98,0.7546,0.98
lug_Latn,0.44,0.2938,0.44
slk_Latn,0.95,0.7251,0.95
khk_Cyrl,0.9,0.5895,0.9
amh_Ethi,0.72,0.4773,0.72
tir_Ethi,0.46,0.2692,0.46
acm_Arab,0.88,0.6373,0.88
ilo_Latn,0.84,0.6154,0.84
ast_Latn,0.94,0.7451,0.94
kea_Latn,0.84,0.663,0.84
pol_Latn,0.95,0.7359,0.95
ind_Latn,0.92,0.7324,0.92
uzn_Latn,0.94,0.6535,0.94
hye_Armn,0.96,0.6857,0.96
khm_Khmr,0.91,0.6241,0.91
ces_Latn,0.95,0.7403,0.95
ron_Latn,0.95,0.7549,0.95
ita_Latn,0.98,0.767,0.98
tel_Telu,0.95,0.6316,0.95
war_Latn,0.96,0.7124,0.96
lit_Latn,0.94,0.7143,0.94
sot_Latn,0.51,0.3289,0.51
kir_Cyrl,0.89,0.6162,0.89
apc_Arab,0.9,0.6211,0.9
pes_Arab,0.93,0.6781,0.93
hin_Deva,0.97,0.7151,0.97
pbt_Arab,0.85,0.5624,0.85
pan_Guru,0.94,0.6697,0.94
