code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
wol_Latn,0.14,0.07,0.14
jpn_Jpan,0.74,0.3022,0.74
deu_Latn,0.87,0.3549,0.87
tur_Latn,0.88,0.3892,0.88
ceb_Latn,0.9,0.3911,0.9
mya_Mymr,0.12,0.0411,0.12
eus_Latn,1.0,1.0,1.0
guj_Gujr,0.52,0.1965,0.52
afr_Latn,0.85,0.3943,0.85
arz_Arab,0.78,0.3162,0.78
gaz_Latn,0.07,0.0332,0.07
mlt_Latn,0.81,0.3395,0.81
heb_Hebr,0.84,0.3392,0.84
tso_Latn,0.11,0.0568,0.11
ben_Beng,0.68,0.2619,0.68
xho_Latn,0.17,0.0643,0.17
tsn_Latn,0.12,0.0638,0.12
sin_Sinh,0.16,0.0549,0.16
swh_Latn,0.64,0.2305,0.64
glg_Latn,0.83,0.3716,0.83
slv_Latn,0.85,0.38,0.85
hrv_Latn,0.86,0.3895,0.86
zul_Latn,0.14,0.0565,0.14
cat_Latn,0.82,0.3854,0.82
bam_Latn,0.1,0.0397,0.1
yor_Latn,0.09,0.0373,0.09
lin_Latn,0.15,0.0743,0.15
fra_Latn,0.81,0.3365,0.81
por_Latn,0.82,0.343,0.82
vie_Latn,0.74,0.3076,0.74
mar_Deva,0.74,0.3022,0.74
tgl_Latn,0.86,0.3911,0.86
eng_Latn,0.62,0.2405,0.62
swe_Latn,0.86,0.3792,0.86
nld_Latn,0.85,0.3605,0.85
sun_Latn,0.83,0.3573,0.83
ssw_Latn,0.12,0.0503,0.12
ars_Arab,0.8,0.3192,0.8
zho_Hans,0.52,0.1951,0.52
jav_Latn,0.81,0.3497,0.81
spa_Latn,0.8,0.3376,0.8
som_Latn,0.14,0.0562,0.14
mri_Latn,0.4,0.1184,0.4
dan_Latn,0.91,0.3922,0.91
ckb_Arab,0.43,0.1514,0.43
hau_Latn,0.14,0.0711,0.14
bod_Tibt,0.02,0.0054,0.02
ell_Grek,0.74,0.2927,0.74
kat_Geor,0.55,0.2324,0.55
tha_Thai,0.77,0.2992,0.77
tam_Taml,0.48,0.1914,0.48
hat_Latn,0.72,0.3014,0.72
shn_Mymr,0.01,0.0016,0.01
kaz_Cyrl,0.81,0.3454,0.81
urd_Arab,0.77,0.313,0.77
oci_Latn,0.88,0.3954,0.88
hin_Deva,0.78,0.3051,0.78
pes_Arab,0.8,0.3314,0.8
apc_Arab,0.75,0.2973,0.75
kir_Cyrl,0.75,0.313,0.75
sot_Latn,0.16,0.0592,0.16
lit_Latn,0.88,0.4105,0.88
war_Latn,0.85,0.3581,0.85
tel_Telu,0.48,0.1692,0.48
pbt_Arab,0.58,0.2262,0.58
pan_Guru,0.4,0.1535,0.4
ces_Latn,0.84,0.3746,0.84
ita_Latn,0.85,0.3586,0.85
ron_Latn,0.85,0.3843,0.85
uzn_Latn,0.84,0.3632,0.84
ind_Latn,0.83,0.3584,0.83
pol_Latn,0.81,0.3503,0.81
khm_Khmr,0.29,0.0905,0.29
hye_Armn,0.67,0.2403,0.67
tir_Ethi,0.05,0.0114,0.05
amh_Ethi,0.31,0.0924,0.31
khk_Cyrl,0.65,0.243,0.65
kea_Latn,0.69,0.3019,0.69
ast_Latn,0.85,0.3722,0.85
acm_Arab,0.81,0.3176,0.81
ilo_Latn,0.72,0.2735,0.72
arb_Arab,0.8,0.3249,0.8
slk_Latn,0.83,0.37,0.83
lug_Latn,0.15,0.0724,0.15
ukr_Cyrl,0.84,0.3408,0.84
isl_Latn,0.79,0.3327,0.79
fin_Latn,0.87,0.4108,0.87
lvs_Latn,0.83,0.3708,0.83
bul_Cyrl,0.8,0.3435,0.8
plt_Latn,0.18,0.0827,0.18
fuv_Latn,0.12,0.0622,0.12
mal_Mlym,0.47,0.1827,0.47
ibo_Latn,0.14,0.0449,0.14
kan_Knda,0.47,0.1657,0.47
kor_Hang,0.83,0.3327,0.83
hun_Latn,0.93,0.4322,0.93
sna_Latn,0.11,0.05,0.11
nob_Latn,0.85,0.3786,0.85
rus_Cyrl,0.82,0.3249,0.82
zho_Hant,0.64,0.2392,0.64
tgk_Cyrl,0.71,0.2578,0.71
kin_Latn,0.15,0.063,0.15
als_Latn,0.87,0.3927,0.87
lao_Laoo,0.25,0.0808,0.25
grn_Latn,0.13,0.0681,0.13
zsm_Latn,0.81,0.3689,0.81
est_Latn,0.88,0.4062,0.88
asm_Beng,0.56,0.1903,0.56
nya_Latn,0.15,0.0719,0.15
arb_Latn,0.27,0.0997,0.27
