code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.99,0.8268,0.99
swe_Latn,1.0,0.8589,1.0
nld_Latn,1.0,0.8843,1.0
lin_Latn,0.53,0.4032,0.53
fra_Latn,0.99,0.9111,0.99
por_Latn,1.0,0.9173,1.0
vie_Latn,0.99,0.8941,0.99
mar_Deva,0.96,0.7086,0.96
spa_Latn,1.0,0.9092,1.0
som_Latn,0.51,0.3254,0.51
mri_Latn,0.74,0.4962,0.74
ckb_Arab,0.85,0.5305,0.85
dan_Latn,0.99,0.8727,0.99
sun_Latn,0.98,0.7568,0.98
ssw_Latn,0.46,0.3268,0.46
ars_Arab,0.99,0.8486,0.99
zho_Hans,0.99,0.8768,0.99
jav_Latn,0.98,0.773,0.98
kat_Geor,0.93,0.6889,0.93
tam_Taml,0.94,0.6743,0.94
tha_Thai,0.99,0.8238,0.99
hat_Latn,0.9,0.6668,0.9
bod_Tibt,0.25,0.1122,0.25
hau_Latn,0.46,0.2914,0.46
ell_Grek,0.94,0.7538,0.94
urd_Arab,0.96,0.7108,0.96
oci_Latn,0.98,0.8676,0.98
kaz_Cyrl,0.94,0.6746,0.94
shn_Mymr,0.25,0.1519,0.25
mya_Mymr,0.83,0.4049,0.83
eus_Latn,0.9,0.6489,0.9
guj_Gujr,0.98,0.7246,0.98
wol_Latn,0.52,0.3527,0.52
jpn_Jpan,0.96,0.8195,0.96
tur_Latn,0.94,0.76,0.94
deu_Latn,1.0,0.8908,1.0
ceb_Latn,0.98,0.8019,0.98
afr_Latn,0.99,0.8743,0.99
gaz_Latn,0.37,0.1986,0.37
arz_Arab,1.0,0.8089,1.0
tsn_Latn,0.43,0.3232,0.43
xho_Latn,0.59,0.3857,0.59
sin_Sinh,0.75,0.4632,0.75
glg_Latn,1.0,0.8916,1.0
swh_Latn,0.85,0.5419,0.85
heb_Hebr,0.98,0.7981,0.98
mlt_Latn,0.95,0.7284,0.95
tso_Latn,0.45,0.3405,0.45
ben_Beng,0.97,0.723,0.97
zul_Latn,0.5,0.3097,0.5
hrv_Latn,1.0,0.8154,1.0
cat_Latn,1.0,0.8895,1.0
yor_Latn,0.35,0.2327,0.35
bam_Latn,0.44,0.3062,0.44
slv_Latn,0.98,0.7984,0.98
slk_Latn,0.98,0.8157,0.98
ukr_Cyrl,1.0,0.8673,1.0
lug_Latn,0.47,0.3249,0.47
isl_Latn,0.95,0.6635,0.95
fin_Latn,0.99,0.7541,0.99
arb_Arab,0.97,0.8446,0.97
ibo_Latn,0.43,0.2905,0.43
kan_Knda,0.92,0.6422,0.92
kor_Hang,0.98,0.8249,0.98
hun_Latn,0.98,0.7951,0.98
nob_Latn,0.99,0.8486,0.99
sna_Latn,0.51,0.3262,0.51
lvs_Latn,0.98,0.7616,0.98
bul_Cyrl,0.99,0.8365,0.99
plt_Latn,0.63,0.4219,0.63
mal_Mlym,0.93,0.6576,0.93
fuv_Latn,0.38,0.2732,0.38
als_Latn,1.0,0.7781,1.0
lao_Laoo,0.95,0.6924,0.95
zsm_Latn,0.99,0.8522,0.99
grn_Latn,0.54,0.3665,0.54
est_Latn,0.98,0.7341,0.98
rus_Cyrl,1.0,0.8938,1.0
zho_Hant,0.99,0.8681,0.99
tgk_Cyrl,0.86,0.5811,0.86
kin_Latn,0.48,0.317,0.48
nya_Latn,0.49,0.3638,0.49
arb_Latn,0.64,0.4132,0.64
asm_Beng,0.94,0.6562,0.94
pbt_Arab,0.86,0.5832,0.86
pan_Guru,0.98,0.7316,0.98
pes_Arab,0.98,0.7703,0.98
hin_Deva,1.0,0.7946,1.0
apc_Arab,0.98,0.8108,0.98
kir_Cyrl,0.87,0.5914,0.87
lit_Latn,0.99,0.7746,0.99
sot_Latn,0.55,0.3819,0.55
war_Latn,0.96,0.8076,0.96
tel_Telu,0.9,0.6435,0.9
ita_Latn,1.0,0.8962,1.0
ron_Latn,1.0,0.8735,1.0
ces_Latn,0.99,0.847,0.99
khm_Khmr,0.98,0.7159,0.98
hye_Armn,0.97,0.7049,0.97
uzn_Latn,0.89,0.6146,0.89
ind_Latn,1.0,0.8814,1.0
pol_Latn,1.0,0.8589,1.0
kea_Latn,0.88,0.7305,0.88
ast_Latn,0.99,0.8543,0.99
ilo_Latn,0.88,0.6592,0.88
acm_Arab,0.99,0.8286,0.99
tir_Ethi,0.42,0.2427,0.42
khk_Cyrl,0.82,0.5349,0.82
amh_Ethi,0.7,0.4605,0.7
