code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
asm_Beng,0.92,0.6259,0.92
arb_Latn,0.58,0.3527,0.58
nya_Latn,0.44,0.2581,0.44
tgk_Cyrl,0.82,0.5227,0.82
kin_Latn,0.42,0.2424,0.42
rus_Cyrl,1.0,0.8484,1.0
zho_Hant,0.99,0.9376,0.99
est_Latn,0.94,0.6365,0.94
grn_Latn,0.46,0.2943,0.46
zsm_Latn,0.97,0.7549,0.97
als_Latn,0.96,0.6665,0.96
lao_Laoo,0.89,0.6184,0.89
bul_Cyrl,0.98,0.7792,0.98
mal_Mlym,0.93,0.6286,0.93
fuv_Latn,0.34,0.2046,0.34
plt_Latn,0.47,0.3043,0.47
lvs_Latn,0.97,0.7073,0.97
sna_Latn,0.45,0.2378,0.45
nob_Latn,0.98,0.7408,0.98
hun_Latn,0.97,0.7419,0.97
ibo_Latn,0.35,0.1981,0.35
kor_Hang,0.98,0.8097,0.98
kan_Knda,0.87,0.6049,0.87
arb_Arab,0.96,0.7692,0.96
isl_Latn,0.9,0.5589,0.9
fin_Latn,0.99,0.6797,0.99
slk_Latn,0.96,0.7132,0.96
lug_Latn,0.46,0.2368,0.46
ukr_Cyrl,0.99,0.8162,0.99
amh_Ethi,0.67,0.4257,0.67
khk_Cyrl,0.8,0.5146,0.8
tir_Ethi,0.37,0.2222,0.37
ast_Latn,0.97,0.7414,0.97
ilo_Latn,0.79,0.5389,0.79
acm_Arab,0.98,0.7657,0.98
kea_Latn,0.84,0.5997,0.84
pol_Latn,0.98,0.7784,0.98
uzn_Latn,0.85,0.5641,0.85
ind_Latn,0.98,0.7819,0.98
hye_Armn,0.98,0.6849,0.98
khm_Khmr,0.92,0.6427,0.92
ces_Latn,0.97,0.7497,0.97
ron_Latn,0.98,0.7803,0.98
ita_Latn,0.99,0.8149,0.99
war_Latn,0.92,0.68,0.92
sot_Latn,0.48,0.2743,0.48
lit_Latn,0.98,0.6876,0.98
tel_Telu,0.89,0.6154,0.89
pes_Arab,0.95,0.7173,0.95
hin_Deva,0.98,0.753,0.98
kir_Cyrl,0.84,0.5497,0.84
apc_Arab,0.94,0.7278,0.94
pbt_Arab,0.86,0.5273,0.86
pan_Guru,0.96,0.6843,0.96
kaz_Cyrl,0.91,0.6646,0.91
shn_Mymr,0.21,0.1151,0.21
urd_Arab,0.93,0.6519,0.93
oci_Latn,0.95,0.74,0.95
ell_Grek,0.91,0.68,0.91
hau_Latn,0.38,0.2186,0.38
bod_Tibt,0.25,0.1138,0.25
tha_Thai,0.97,0.7857,0.97
tam_Taml,0.88,0.6176,0.88
hat_Latn,0.77,0.5227,0.77
kat_Geor,0.92,0.66,0.92
jav_Latn,0.91,0.6427,0.91
zho_Hans,1.0,1.0,1.0
ssw_Latn,0.4,0.2149,0.4
sun_Latn,0.92,0.6322,0.92
ars_Arab,0.97,0.7835,0.97
mri_Latn,0.6,0.353,0.6
dan_Latn,0.97,0.7546,0.97
ckb_Arab,0.81,0.4684,0.81
spa_Latn,0.98,0.8081,0.98
som_Latn,0.41,0.2122,0.41
por_Latn,0.99,0.8186,0.99
mar_Deva,0.92,0.6722,0.92
vie_Latn,0.99,0.8273,0.99
lin_Latn,0.53,0.3289,0.53
fra_Latn,0.98,0.797,0.98
swe_Latn,0.97,0.7446,0.97
tgl_Latn,0.96,0.6973,0.96
eng_Latn,0.99,0.8768,0.99
nld_Latn,1.0,0.7881,1.0
slv_Latn,0.99,0.7273,0.99
cat_Latn,0.99,0.7727,0.99
bam_Latn,0.35,0.2176,0.35
yor_Latn,0.25,0.1459,0.25
hrv_Latn,0.98,0.7259,0.98
zul_Latn,0.42,0.2392,0.42
tso_Latn,0.4,0.2462,0.4
mlt_Latn,0.87,0.6054,0.87
heb_Hebr,0.99,0.7278,0.99
ben_Beng,0.94,0.6868,0.94
swh_Latn,0.69,0.4149,0.69
glg_Latn,0.98,0.7884,0.98
xho_Latn,0.56,0.2935,0.56
tsn_Latn,0.43,0.2589,0.43
sin_Sinh,0.73,0.4584,0.73
gaz_Latn,0.34,0.1443,0.34
arz_Arab,0.98,0.7262,0.98
afr_Latn,0.98,0.7519,0.98
ceb_Latn,0.92,0.6738,0.92
deu_Latn,0.98,0.8062,0.98
tur_Latn,0.94,0.7051,0.94
wol_Latn,0.44,0.2811,0.44
jpn_Jpan,0.97,0.8611,0.97
guj_Gujr,0.98,0.6851,0.98
eus_Latn,0.81,0.5557,0.81
mya_Mymr,0.75,0.3697,0.75
