code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
ces_Latn,0.93,0.4405,0.93
ita_Latn,0.95,0.5632,0.95
ron_Latn,0.87,0.4643,0.87
apc_Arab,0.81,0.4378,0.81
kir_Cyrl,0.36,0.1338,0.36
pes_Arab,0.69,0.313,0.69
hin_Deva,0.69,0.2808,0.69
tel_Telu,0.2,0.0876,0.2
sot_Latn,0.07,0.0405,0.07
lit_Latn,0.8,0.3646,0.8
war_Latn,0.62,0.2341,0.62
pbt_Arab,0.3,0.1143,0.3
pan_Guru,0.26,0.1046,0.26
tir_Ethi,0.04,0.0116,0.04
amh_Ethi,0.12,0.0411,0.12
khk_Cyrl,0.27,0.1068,0.27
kea_Latn,0.51,0.2578,0.51
ilo_Latn,0.29,0.1262,0.29
acm_Arab,0.87,0.4903,0.87
ast_Latn,0.92,0.4959,0.92
ind_Latn,0.93,0.5319,0.93
uzn_Latn,0.46,0.1754,0.46
pol_Latn,0.94,0.477,0.94
khm_Khmr,0.12,0.0462,0.12
hye_Armn,0.42,0.1776,0.42
lvs_Latn,0.82,0.3308,0.82
plt_Latn,0.07,0.0359,0.07
mal_Mlym,0.28,0.0986,0.28
fuv_Latn,0.09,0.0589,0.09
bul_Cyrl,0.88,0.4197,0.88
kan_Knda,0.21,0.0778,0.21
kor_Hang,0.84,0.5354,0.84
ibo_Latn,0.09,0.0351,0.09
hun_Latn,0.83,0.3784,0.83
sna_Latn,0.1,0.0395,0.1
nob_Latn,0.92,0.4724,0.92
arb_Arab,0.84,0.5046,0.84
lug_Latn,0.08,0.0465,0.08
ukr_Cyrl,0.89,0.4432,0.89
slk_Latn,0.89,0.4008,0.89
fin_Latn,0.73,0.3235,0.73
isl_Latn,0.54,0.1697,0.54
asm_Beng,0.34,0.13,0.34
nya_Latn,0.08,0.05,0.08
arb_Latn,0.22,0.0851,0.22
zho_Hant,1.0,0.9132,1.0
rus_Cyrl,0.96,0.6373,0.96
kin_Latn,0.08,0.0465,0.08
tgk_Cyrl,0.37,0.1386,0.37
lao_Laoo,0.18,0.0635,0.18
als_Latn,0.77,0.28,0.77
grn_Latn,0.12,0.0511,0.12
zsm_Latn,0.9,0.4473,0.9
est_Latn,0.76,0.3003,0.76
afr_Latn,0.94,0.4546,0.94
gaz_Latn,0.05,0.0168,0.05
arz_Arab,0.88,0.4295,0.88
jpn_Jpan,0.9,0.6627,0.9
wol_Latn,0.09,0.0584,0.09
deu_Latn,0.94,0.5768,0.94
tur_Latn,0.72,0.3603,0.72
ceb_Latn,0.72,0.2786,0.72
mya_Mymr,0.04,0.0149,0.04
eus_Latn,0.52,0.1951,0.52
guj_Gujr,0.31,0.1238,0.31
slv_Latn,0.92,0.4035,0.92
hrv_Latn,0.89,0.4162,0.89
zul_Latn,0.1,0.0395,0.1
bam_Latn,0.07,0.0332,0.07
yor_Latn,0.07,0.0357,0.07
cat_Latn,0.93,0.4827,0.93
ben_Beng,0.46,0.183,0.46
mlt_Latn,0.6,0.2054,0.6
heb_Hebr,0.85,0.4711,0.85
tso_Latn,0.06,0.0419,0.06
sin_Sinh,0.08,0.0316,0.08
xho_Latn,0.1,0.0357,0.1
tsn_Latn,0.09,0.0403,0.09
swh_Latn,0.28,0.0973,0.28
glg_Latn,0.91,0.5203,0.91
ars_Arab,0.92,0.5346,0.92
sun_Latn,0.67,0.2841,0.67
ssw_Latn,0.07,0.0408,0.07
zho_Hans,1.0,1.0,1.0
jav_Latn,0.7,0.2776,0.7
som_Latn,0.06,0.0341,0.06
spa_Latn,0.94,0.5995,0.94
dan_Latn,0.93,0.4711,0.93
ckb_Arab,0.14,0.0551,0.14
mri_Latn,0.16,0.0662,0.16
fra_Latn,0.95,0.5805,0.95
lin_Latn,0.11,0.0697,0.11
vie_Latn,0.89,0.5965,0.89
mar_Deva,0.43,0.1862,0.43
por_Latn,0.96,0.6132,0.96
nld_Latn,0.91,0.493,0.91
tgl_Latn,0.8,0.3222,0.8
eng_Latn,0.98,0.8338,0.98
swe_Latn,0.92,0.4819,0.92
kaz_Cyrl,0.55,0.22,0.55
shn_Mymr,0.02,0.003,0.02
oci_Latn,0.82,0.4103,0.82
urd_Arab,0.63,0.2495,0.63
hau_Latn,0.09,0.0438,0.09
bod_Tibt,0.02,0.0019,0.02
ell_Grek,0.47,0.2089,0.47
kat_Geor,0.4,0.1611,0.4
hat_Latn,0.59,0.203,0.59
tha_Thai,0.82,0.4516,0.82
tam_Taml,0.24,0.0954,0.24
