code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
tha_Thai,0.99,0.8419,0.99
tam_Taml,0.96,0.6908,0.96
hat_Latn,0.91,0.7757,0.91
kat_Geor,0.96,0.7259,0.96
ell_Grek,0.99,0.8254,0.99
hau_Latn,0.45,0.3154,0.45
bod_Tibt,0.3,0.1443,0.3
urd_Arab,0.95,0.7392,0.95
oci_Latn,0.97,0.9195,0.97
kaz_Cyrl,0.94,0.7259,0.94
shn_Mymr,0.23,0.1557,0.23
swe_Latn,0.99,0.8865,0.99
tgl_Latn,0.99,0.8451,0.99
eng_Latn,0.99,0.9111,0.99
nld_Latn,0.98,0.8943,0.98
por_Latn,1.0,0.9422,1.0
mar_Deva,0.97,0.7427,0.97
vie_Latn,0.99,0.8914,0.99
lin_Latn,0.59,0.4684,0.59
fra_Latn,1.0,1.0,1.0
mri_Latn,0.76,0.5065,0.76
dan_Latn,1.0,0.8932,1.0
ckb_Arab,0.83,0.5773,0.83
spa_Latn,1.0,0.9419,1.0
som_Latn,0.49,0.3224,0.49
jav_Latn,0.96,0.8146,0.96
zho_Hans,0.98,0.797,0.98
ssw_Latn,0.44,0.3149,0.44
sun_Latn,0.96,0.8146,0.96
ars_Arab,0.99,0.8573,0.99
swh_Latn,0.85,0.6073,0.85
glg_Latn,0.99,0.9349,0.99
xho_Latn,0.61,0.4073,0.61
tsn_Latn,0.48,0.3292,0.48
sin_Sinh,0.78,0.5111,0.78
tso_Latn,0.51,0.3589,0.51
heb_Hebr,0.98,0.8314,0.98
mlt_Latn,0.94,0.7843,0.94
ben_Beng,0.99,0.7519,0.99
cat_Latn,1.0,0.9392,1.0
bam_Latn,0.39,0.3019,0.39
yor_Latn,0.33,0.2241,0.33
zul_Latn,0.51,0.3392,0.51
hrv_Latn,0.99,0.8727,0.99
slv_Latn,0.99,0.8503,0.99
guj_Gujr,0.98,0.7395,0.98
eus_Latn,0.91,0.7357,0.91
mya_Mymr,0.85,0.4624,0.85
ceb_Latn,0.98,0.8327,0.98
tur_Latn,0.94,0.7957,0.94
deu_Latn,1.0,0.9097,1.0
wol_Latn,0.48,0.3757,0.48
jpn_Jpan,0.95,0.7895,0.95
arz_Arab,0.99,0.8335,0.99
gaz_Latn,0.34,0.2149,0.34
afr_Latn,0.98,0.8859,0.98
est_Latn,0.97,0.7786,0.97
grn_Latn,0.52,0.3978,0.52
zsm_Latn,0.98,0.8876,0.98
als_Latn,1.0,0.8395,1.0
lao_Laoo,0.96,0.7405,0.96
tgk_Cyrl,0.9,0.6478,0.9
kin_Latn,0.51,0.3538,0.51
rus_Cyrl,1.0,0.9086,1.0
zho_Hant,0.97,0.8108,0.97
arb_Latn,0.7,0.4908,0.7
nya_Latn,0.5,0.3489,0.5
asm_Beng,0.93,0.6886,0.93
isl_Latn,0.95,0.7376,0.95
fin_Latn,0.99,0.8178,0.99
slk_Latn,0.98,0.8608,0.98
lug_Latn,0.51,0.337,0.51
ukr_Cyrl,1.0,0.8822,1.0
arb_Arab,0.98,0.8562,0.98
sna_Latn,0.53,0.3541,0.53
nob_Latn,0.97,0.8614,0.97
hun_Latn,0.99,0.8235,0.99
ibo_Latn,0.5,0.3195,0.5
kor_Hang,0.97,0.8057,0.97
kan_Knda,0.95,0.6719,0.95
bul_Cyrl,1.0,0.8797,1.0
fuv_Latn,0.36,0.263,0.36
mal_Mlym,0.93,0.6778,0.93
plt_Latn,0.64,0.4454,0.64
lvs_Latn,0.98,0.8181,0.98
hye_Armn,0.95,0.7554,0.95
khm_Khmr,0.97,0.7495,0.97
pol_Latn,1.0,0.8989,1.0
uzn_Latn,0.9,0.6641,0.9
ind_Latn,0.99,0.9084,0.99
ast_Latn,0.97,0.9008,0.97
ilo_Latn,0.9,0.6962,0.9
acm_Arab,1.0,0.853,1.0
kea_Latn,0.92,0.8011,0.92
khk_Cyrl,0.87,0.5859,0.87
amh_Ethi,0.73,0.5068,0.73
tir_Ethi,0.46,0.2778,0.46
pan_Guru,0.99,0.7549,0.99
pbt_Arab,0.87,0.6224,0.87
war_Latn,0.98,0.82,0.98
lit_Latn,0.98,0.8222,0.98
sot_Latn,0.61,0.3862,0.61
tel_Telu,0.93,0.6659,0.93
hin_Deva,1.0,0.7984,1.0
pes_Arab,0.99,0.8289,0.99
kir_Cyrl,0.86,0.623,0.86
apc_Arab,0.98,0.8397,0.98
ron_Latn,1.0,0.9197,1.0
ita_Latn,1.0,0.9457,1.0
ces_Latn,0.99,0.8792,0.99
