code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
hrv_Latn,0.99,0.6297,0.99
zul_Latn,0.12,0.0581,0.12
yor_Latn,0.09,0.0446,0.09
bam_Latn,0.1,0.0586,0.1
cat_Latn,1.0,0.7595,1.0
slv_Latn,0.98,0.5865,0.98
sin_Sinh,0.12,0.0386,0.12
tsn_Latn,0.12,0.0686,0.12
xho_Latn,0.15,0.0632,0.15
glg_Latn,1.0,0.7727,1.0
swh_Latn,0.56,0.2049,0.56
ben_Beng,0.78,0.3462,0.78
mlt_Latn,0.8,0.3676,0.8
heb_Hebr,0.97,0.6216,0.97
tso_Latn,0.11,0.0619,0.11
afr_Latn,0.98,0.6335,0.98
gaz_Latn,0.08,0.0351,0.08
arz_Arab,0.97,0.6068,0.97
mya_Mymr,0.14,0.0341,0.14
eus_Latn,0.81,0.3365,0.81
guj_Gujr,0.65,0.2343,0.65
jpn_Jpan,0.97,0.6065,0.97
wol_Latn,0.16,0.0905,0.16
deu_Latn,1.0,0.7978,1.0
tur_Latn,0.95,0.5384,0.95
ceb_Latn,0.88,0.4446,0.88
oci_Latn,0.93,0.6778,0.93
urd_Arab,0.84,0.4154,0.84
shn_Mymr,0.01,0.0024,0.01
kaz_Cyrl,0.75,0.3427,0.75
kat_Geor,0.63,0.2703,0.63
hat_Latn,0.79,0.3719,0.79
tam_Taml,0.63,0.2165,0.63
tha_Thai,0.95,0.6132,0.95
bod_Tibt,0.01,0.0016,0.01
hau_Latn,0.11,0.0776,0.11
ell_Grek,0.92,0.473,0.92
som_Latn,0.11,0.0554,0.11
spa_Latn,1.0,0.8608,1.0
ckb_Arab,0.36,0.1265,0.36
dan_Latn,0.99,0.6776,0.99
mri_Latn,0.26,0.0997,0.26
ars_Arab,0.98,0.7011,0.98
sun_Latn,0.82,0.4424,0.82
ssw_Latn,0.14,0.067,0.14
zho_Hans,0.95,0.5805,0.95
jav_Latn,0.86,0.4543,0.86
nld_Latn,0.98,0.7038,0.98
eng_Latn,0.99,0.7549,0.99
tgl_Latn,0.97,0.5024,0.97
swe_Latn,0.99,0.6773,0.99
fra_Latn,1.0,1.0,1.0
lin_Latn,0.16,0.0984,0.16
vie_Latn,0.99,0.7395,0.99
mar_Deva,0.75,0.3286,0.75
por_Latn,1.0,0.8581,1.0
kea_Latn,0.74,0.4635,0.74
acm_Arab,0.96,0.6722,0.96
ilo_Latn,0.63,0.2459,0.63
ast_Latn,0.98,0.7251,0.98
tir_Ethi,0.05,0.0151,0.05
amh_Ethi,0.15,0.0554,0.15
khk_Cyrl,0.42,0.1611,0.42
khm_Khmr,0.32,0.1232,0.32
hye_Armn,0.73,0.3324,0.73
ind_Latn,0.98,0.7311,0.98
uzn_Latn,0.71,0.2878,0.71
pol_Latn,1.0,0.6868,1.0
ita_Latn,1.0,0.8473,1.0
ron_Latn,1.0,0.7384,1.0
ces_Latn,0.99,0.6432,0.99
pan_Guru,0.54,0.2197,0.54
pbt_Arab,0.54,0.2108,0.54
apc_Arab,0.95,0.6197,0.95
kir_Cyrl,0.57,0.2076,0.57
pes_Arab,0.96,0.5235,0.96
hin_Deva,0.86,0.4597,0.86
tel_Telu,0.51,0.1849,0.51
sot_Latn,0.11,0.0589,0.11
lit_Latn,0.96,0.5373,0.96
war_Latn,0.81,0.3919,0.81
nya_Latn,0.14,0.0773,0.14
arb_Latn,0.31,0.1373,0.31
asm_Beng,0.54,0.2214,0.54
lao_Laoo,0.26,0.1235,0.26
als_Latn,0.96,0.5116,0.96
zsm_Latn,0.99,0.6622,0.99
grn_Latn,0.18,0.0989,0.18
est_Latn,0.94,0.4819,0.94
zho_Hant,0.94,0.6186,0.94
rus_Cyrl,1.0,0.7784,1.0
kin_Latn,0.14,0.0689,0.14
tgk_Cyrl,0.63,0.2446,0.63
kan_Knda,0.45,0.1662,0.45
kor_Hang,0.97,0.6014,0.97
ibo_Latn,0.11,0.0559,0.11
hun_Latn,0.98,0.5735,0.98
nob_Latn,0.99,0.6459,0.99
sna_Latn,0.14,0.0578,0.14
lvs_Latn,0.96,0.5073,0.96
plt_Latn,0.18,0.0746,0.18
mal_Mlym,0.53,0.2049,0.53
fuv_Latn,0.15,0.0935,0.15
bul_Cyrl,1.0,0.6454,1.0
ukr_Cyrl,0.98,0.6389,0.98
lug_Latn,0.15,0.0827,0.15
slk_Latn,0.98,0.6216,0.98
fin_Latn,0.97,0.5359,0.97
isl_Latn,0.86,0.3516,0.86
arb_Arab,0.98,0.697,0.98
