code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
urd_Arab,0.99,0.7627,0.99
oci_Latn,0.98,0.8743,0.98
shn_Mymr,0.24,0.1643,0.24
kaz_Cyrl,0.96,0.7514,0.96
tam_Taml,0.95,0.7216,0.95
tha_Thai,0.99,0.8303,0.99
hat_Latn,0.88,0.7122,0.88
kat_Geor,0.94,0.7465,0.94
bod_Tibt,0.29,0.1573,0.29
hau_Latn,0.44,0.3146,0.44
ell_Grek,1.0,0.817,1.0
mri_Latn,0.79,0.5262,0.79
ckb_Arab,0.84,0.5846,0.84
dan_Latn,1.0,0.9219,1.0
spa_Latn,0.99,0.8992,0.99
som_Latn,0.51,0.3292,0.51
zho_Hans,0.98,0.8062,0.98
jav_Latn,0.99,0.8149,0.99
sun_Latn,0.99,0.79,0.99
ssw_Latn,0.5,0.3289,0.5
ars_Arab,1.0,0.84,1.0
eng_Latn,1.0,0.8908,1.0
tgl_Latn,1.0,0.8449,1.0
swe_Latn,1.0,0.9176,1.0
nld_Latn,1.0,0.93,1.0
por_Latn,1.0,0.9114,1.0
vie_Latn,0.99,0.8881,0.99
mar_Deva,0.98,0.7511,0.98
lin_Latn,0.58,0.4392,0.58
fra_Latn,1.0,0.9097,1.0
cat_Latn,1.0,0.9003,1.0
yor_Latn,0.35,0.2254,0.35
bam_Latn,0.42,0.3265,0.42
hrv_Latn,1.0,0.87,1.0
zul_Latn,0.5,0.3211,0.5
slv_Latn,1.0,0.8654,1.0
glg_Latn,1.0,0.8895,1.0
swh_Latn,0.91,0.5927,0.91
tsn_Latn,0.46,0.3465,0.46
xho_Latn,0.7,0.4216,0.7
sin_Sinh,0.83,0.5541,0.83
mlt_Latn,0.96,0.7535,0.96
heb_Hebr,1.0,0.833,1.0
tso_Latn,0.48,0.3368,0.48
ben_Beng,0.98,0.7562,0.98
gaz_Latn,0.34,0.2268,0.34
arz_Arab,1.0,0.8059,1.0
afr_Latn,0.99,0.8981,0.99
eus_Latn,0.96,0.7435,0.96
guj_Gujr,0.97,0.7386,0.97
mya_Mymr,0.86,0.4851,0.86
deu_Latn,1.0,1.0,1.0
tur_Latn,0.99,0.8276,0.99
ceb_Latn,0.98,0.8159,0.98
wol_Latn,0.5,0.3835,0.5
jpn_Jpan,0.99,0.82,0.99
arb_Latn,0.74,0.4789,0.74
nya_Latn,0.51,0.3735,0.51
asm_Beng,0.96,0.7146,0.96
zsm_Latn,1.0,0.883,1.0
grn_Latn,0.51,0.4014,0.51
est_Latn,0.99,0.8159,0.99
als_Latn,1.0,0.8357,1.0
lao_Laoo,0.94,0.7243,0.94
tgk_Cyrl,0.92,0.6665,0.92
kin_Latn,0.49,0.3359,0.49
rus_Cyrl,1.0,0.9211,1.0
zho_Hant,0.99,0.8162,0.99
hun_Latn,0.99,0.8449,0.99
nob_Latn,1.0,0.8959,1.0
sna_Latn,0.55,0.3419,0.55
ibo_Latn,0.44,0.317,0.44
kan_Knda,0.93,0.6843,0.93
kor_Hang,0.98,0.8262,0.98
bul_Cyrl,1.0,0.8838,1.0
plt_Latn,0.59,0.4351,0.59
mal_Mlym,0.94,0.6938,0.94
fuv_Latn,0.38,0.2611,0.38
lvs_Latn,0.99,0.8405,0.99
isl_Latn,0.99,0.7616,0.99
fin_Latn,1.0,0.8262,1.0
slk_Latn,0.99,0.8835,0.99
ukr_Cyrl,1.0,0.907,1.0
lug_Latn,0.49,0.34,0.49
arb_Arab,1.0,0.843,1.0
ast_Latn,0.99,0.863,0.99
acm_Arab,1.0,0.8232,1.0
ilo_Latn,0.9,0.6938,0.9
kea_Latn,0.9,0.7676,0.9
tir_Ethi,0.43,0.2803,0.43
amh_Ethi,0.75,0.5343,0.75
khk_Cyrl,0.87,0.6078,0.87
khm_Khmr,0.98,0.7424,0.98
hye_Armn,0.98,0.7603,0.98
pol_Latn,1.0,0.8935,1.0
uzn_Latn,0.94,0.7168,0.94
ind_Latn,1.0,0.9046,1.0
ita_Latn,0.99,0.9141,0.99
ron_Latn,1.0,0.8997,1.0
ces_Latn,1.0,0.9008,1.0
pan_Guru,0.99,0.7619,0.99
pbt_Arab,0.92,0.6489,0.92
sot_Latn,0.5,0.3511,0.5
lit_Latn,1.0,0.8419,1.0
war_Latn,0.98,0.8038,0.98
tel_Telu,0.93,0.6881,0.93
pes_Arab,1.0,0.8219,1.0
hin_Deva,1.0,0.8111,1.0
apc_Arab,1.0,0.8197,1.0
kir_Cyrl,0.9,0.6695,0.9
