code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
ibo_Latn,0.11,0.0505,0.11
kor_Hang,0.98,0.6449,0.98
kan_Knda,0.55,0.1873,0.55
sna_Latn,0.13,0.0605,0.13
nob_Latn,1.0,0.7035,1.0
hun_Latn,0.98,0.6184,0.98
lvs_Latn,0.99,0.5592,0.99
bul_Cyrl,0.99,0.6627,0.99
fuv_Latn,0.14,0.09,0.14
mal_Mlym,0.55,0.2195,0.55
plt_Latn,0.17,0.0697,0.17
slk_Latn,0.98,0.6546,0.98
lug_Latn,0.15,0.0849,0.15
ukr_Cyrl,1.0,0.6819,1.0
isl_Latn,0.92,0.3889,0.92
fin_Latn,0.98,0.5784,0.98
arb_Arab,0.98,0.6689,0.98
nya_Latn,0.11,0.0657,0.11
arb_Latn,0.32,0.1292,0.32
asm_Beng,0.61,0.2503,0.61
als_Latn,0.99,0.517,0.99
lao_Laoo,0.28,0.1068,0.28
est_Latn,0.98,0.5484,0.98
grn_Latn,0.16,0.087,0.16
zsm_Latn,1.0,0.6597,1.0
rus_Cyrl,1.0,0.7881,1.0
zho_Hant,0.94,0.6111,0.94
tgk_Cyrl,0.69,0.2757,0.69
kin_Latn,0.12,0.0641,0.12
ron_Latn,1.0,0.7092,1.0
ita_Latn,1.0,0.7732,1.0
ces_Latn,1.0,0.6878,1.0
pbt_Arab,0.57,0.2268,0.57
pan_Guru,0.57,0.2603,0.57
hin_Deva,0.88,0.4941,0.88
pes_Arab,0.98,0.5468,0.98
kir_Cyrl,0.63,0.2349,0.63
apc_Arab,0.97,0.6065,0.97
war_Latn,0.84,0.4032,0.84
lit_Latn,0.99,0.5822,0.99
sot_Latn,0.12,0.0619,0.12
tel_Telu,0.52,0.19,0.52
kea_Latn,0.75,0.4281,0.75
ast_Latn,0.98,0.6638,0.98
acm_Arab,0.99,0.6481,0.99
ilo_Latn,0.58,0.2343,0.58
khk_Cyrl,0.5,0.1743,0.5
amh_Ethi,0.2,0.06,0.2
tir_Ethi,0.07,0.0176,0.07
hye_Armn,0.76,0.3554,0.76
khm_Khmr,0.29,0.1103,0.29
uzn_Latn,0.77,0.3354,0.77
ind_Latn,1.0,0.7338,1.0
pol_Latn,1.0,0.7078,1.0
spa_Latn,1.0,0.7749,1.0
som_Latn,0.12,0.0522,0.12
mri_Latn,0.26,0.0892,0.26
dan_Latn,1.0,0.7308,1.0
ckb_Arab,0.35,0.1203,0.35
ssw_Latn,0.13,0.0576,0.13
sun_Latn,0.86,0.4389,0.86
ars_Arab,0.98,0.6714,0.98
jav_Latn,0.9,0.4584,0.9
zho_Hans,0.94,0.5768,0.94
swe_Latn,1.0,0.7343,1.0
tgl_Latn,0.98,0.5124,0.98
eng_Latn,0.98,0.7124,0.98
nld_Latn,1.0,0.7865,1.0
lin_Latn,0.18,0.0978,0.18
fra_Latn,1.0,0.7978,1.0
por_Latn,1.0,0.7865,1.0
mar_Deva,0.78,0.3554,0.78
vie_Latn,0.99,0.7222,0.99
urd_Arab,0.86,0.4427,0.86
oci_Latn,0.95,0.6232,0.95
shn_Mymr,0.02,0.0068,0.02
kaz_Cyrl,0.86,0.4,0.86
kat_Geor,0.66,0.2954,0.66
tha_Thai,0.97,0.603,0.97
tam_Taml,0.65,0.2332,0.65
hat_Latn,0.74,0.3322,0.74
ell_Grek,0.94,0.4838,0.94
hau_Latn,0.13,0.0749,0.13
bod_Tibt,0.02,0.0062,0.02
afr_Latn,1.0,0.6759,1.0
arz_Arab,0.98,0.6116,0.98
gaz_Latn,0.07,0.0349,0.07
mya_Mymr,0.15,0.0446,0.15
guj_Gujr,0.64,0.2586,0.64
eus_Latn,0.87,0.3549,0.87
wol_Latn,0.14,0.0962,0.14
jpn_Jpan,0.96,0.6289,0.96
ceb_Latn,0.93,0.4616,0.93
tur_Latn,0.96,0.5897,0.96
deu_Latn,1.0,1.0,1.0
zul_Latn,0.12,0.0559,0.12
hrv_Latn,1.0,0.6584,1.0
cat_Latn,1.0,0.703,1.0
bam_Latn,0.1,0.0468,0.1
yor_Latn,0.08,0.0392,0.08
slv_Latn,1.0,0.6224,1.0
xho_Latn,0.15,0.0614,0.15
tsn_Latn,0.13,0.07,0.13
sin_Sinh,0.11,0.0384,0.11
swh_Latn,0.62,0.2011,0.62
glg_Latn,1.0,0.7132,1.0
tso_Latn,0.1,0.0538,0.1
heb_Hebr,0.98,0.6184,0.98
mlt_Latn,0.75,0.35,0.75
ben_Beng,0.82,0.3808,0.82
