code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
ron_Latn,0.94,0.5797,0.94
ita_Latn,0.99,0.6927,0.99
ces_Latn,0.96,0.5341,0.96
pan_Guru,0.44,0.1678,0.44
pbt_Arab,0.35,0.1327,0.35
war_Latn,0.69,0.3143,0.69
sot_Latn,0.15,0.0519,0.15
lit_Latn,0.85,0.4243,0.85
tel_Telu,0.36,0.1249,0.36
hin_Deva,0.74,0.3573,0.74
pes_Arab,0.75,0.3722,0.75
kir_Cyrl,0.3,0.1162,0.3
apc_Arab,0.88,0.5362,0.88
ast_Latn,0.95,0.6016,0.95
ilo_Latn,0.39,0.163,0.39
acm_Arab,0.92,0.5965,0.92
kea_Latn,0.59,0.3208,0.59
amh_Ethi,0.13,0.0386,0.13
khk_Cyrl,0.31,0.1122,0.31
tir_Ethi,0.03,0.0114,0.03
hye_Armn,0.52,0.2111,0.52
khm_Khmr,0.15,0.07,0.15
pol_Latn,0.94,0.5527,0.94
uzn_Latn,0.45,0.1881,0.45
ind_Latn,0.96,0.6435,0.96
sna_Latn,0.11,0.0478,0.11
nob_Latn,0.94,0.5681,0.94
hun_Latn,0.84,0.4351,0.84
ibo_Latn,0.14,0.0476,0.14
kor_Hang,0.89,0.5303,0.89
kan_Knda,0.24,0.0949,0.24
bul_Cyrl,0.91,0.4959,0.91
fuv_Latn,0.18,0.097,0.18
mal_Mlym,0.38,0.1446,0.38
plt_Latn,0.13,0.0535,0.13
lvs_Latn,0.84,0.3859,0.84
isl_Latn,0.65,0.2122,0.65
fin_Latn,0.87,0.4073,0.87
slk_Latn,0.9,0.4862,0.9
lug_Latn,0.17,0.0714,0.17
ukr_Cyrl,0.93,0.5192,0.93
arb_Arab,0.92,0.6135,0.92
arb_Latn,0.22,0.0895,0.22
nya_Latn,0.15,0.063,0.15
asm_Beng,0.35,0.1338,0.35
est_Latn,0.81,0.3489,0.81
grn_Latn,0.12,0.0686,0.12
zsm_Latn,0.96,0.5595,0.96
als_Latn,0.87,0.3714,0.87
lao_Laoo,0.19,0.0903,0.19
tgk_Cyrl,0.35,0.1295,0.35
kin_Latn,0.15,0.0592,0.15
rus_Cyrl,0.97,0.7232,0.97
zho_Hant,0.97,0.7768,0.97
arz_Arab,0.94,0.5103,0.94
gaz_Latn,0.03,0.0176,0.03
afr_Latn,0.96,0.5541,0.96
guj_Gujr,0.41,0.1543,0.41
eus_Latn,0.62,0.2405,0.62
mya_Mymr,0.05,0.0143,0.05
ceb_Latn,0.78,0.357,0.78
deu_Latn,0.98,0.7124,0.98
tur_Latn,0.8,0.4427,0.8
wol_Latn,0.13,0.0735,0.13
jpn_Jpan,0.9,0.6076,0.9
cat_Latn,0.99,0.6081,0.99
bam_Latn,0.1,0.0443,0.1
yor_Latn,0.07,0.0397,0.07
hrv_Latn,0.95,0.5022,0.95
zul_Latn,0.12,0.0438,0.12
slv_Latn,0.93,0.4611,0.93
swh_Latn,0.38,0.1443,0.38
glg_Latn,0.97,0.6592,0.97
xho_Latn,0.14,0.0559,0.14
tsn_Latn,0.14,0.0543,0.14
sin_Sinh,0.08,0.0286,0.08
tso_Latn,0.14,0.0486,0.14
mlt_Latn,0.63,0.2638,0.63
heb_Hebr,0.93,0.5468,0.93
ben_Beng,0.56,0.2276,0.56
mri_Latn,0.16,0.0762,0.16
dan_Latn,0.95,0.5903,0.95
ckb_Arab,0.23,0.0708,0.23
spa_Latn,0.98,0.7468,0.98
som_Latn,0.14,0.0386,0.14
jav_Latn,0.74,0.3462,0.74
zho_Hans,0.98,0.8338,0.98
ssw_Latn,0.16,0.0514,0.16
sun_Latn,0.73,0.363,0.73
ars_Arab,0.95,0.6338,0.95
swe_Latn,0.98,0.5973,0.98
tgl_Latn,0.89,0.4035,0.89
eng_Latn,1.0,1.0,1.0
nld_Latn,0.96,0.6181,0.96
por_Latn,0.99,0.7527,0.99
mar_Deva,0.55,0.2284,0.55
vie_Latn,0.95,0.6776,0.95
lin_Latn,0.13,0.0946,0.13
fra_Latn,0.99,0.7549,0.99
urd_Arab,0.75,0.2978,0.75
oci_Latn,0.9,0.5249,0.9
kaz_Cyrl,0.55,0.2349,0.55
shn_Mymr,0.02,0.0041,0.02
tha_Thai,0.88,0.5078,0.88
tam_Taml,0.33,0.1181,0.33
hat_Latn,0.6,0.25,0.6
kat_Geor,0.43,0.1776,0.43
ell_Grek,0.66,0.3035,0.66
hau_Latn,0.14,0.0711,0.14
bod_Tibt,0.01,0.0041,0.01
