code,Qwen/Qwen3-Embedding-8B_max,Qwen/Qwen3-Embedding-8B_mean,avg
ces_Latn,1.0,0.7003,1.0
ita_Latn,1.0,0.8035,1.0
ron_Latn,1.0,0.7341,1.0
lit_Latn,0.99,0.6405,0.99
sot_Latn,0.55,0.227,0.55
war_Latn,0.95,0.5784,0.95
tel_Telu,0.94,0.427,0.94
pes_Arab,0.99,0.6143,0.99
hin_Deva,1.0,0.5805,1.0
apc_Arab,0.99,0.6911,0.99
kir_Cyrl,0.89,0.3811,0.89
pbt_Arab,0.91,0.447,0.91
pan_Guru,0.96,0.4478,0.96
tir_Ethi,0.35,0.1114,0.35
khk_Cyrl,0.8,0.36,0.8
amh_Ethi,0.73,0.2651,0.73
ast_Latn,1.0,0.7578,1.0
ilo_Latn,0.85,0.4468,0.85
acm_Arab,0.99,0.7051,0.99
kea_Latn,0.95,0.5792,0.95
pol_Latn,1.0,0.7176,1.0
uzn_Latn,0.94,0.49,0.94
ind_Latn,1.0,0.7676,1.0
khm_Khmr,0.9,0.3286,0.9
hye_Armn,0.97,0.4768,0.97
bul_Cyrl,1.0,0.6932,1.0
plt_Latn,0.59,0.253,0.59
mal_Mlym,0.93,0.4468,0.93
fuv_Latn,0.49,0.2586,0.49
lvs_Latn,0.99,0.6284,0.99
hun_Latn,0.99,0.6511,0.99
sna_Latn,0.46,0.2011,0.46
nob_Latn,0.99,0.7405,0.99
ibo_Latn,0.46,0.1962,0.46
kan_Knda,0.92,0.3862,0.92
kor_Hang,1.0,0.7051,1.0
arb_Arab,1.0,0.7381,1.0
isl_Latn,0.97,0.4686,0.97
fin_Latn,0.97,0.6124,0.97
slk_Latn,0.99,0.673,0.99
lug_Latn,0.46,0.2073,0.46
ukr_Cyrl,1.0,0.6741,1.0
asm_Beng,0.92,0.43,0.92
arb_Latn,0.7,0.3303,0.7
nya_Latn,0.54,0.2162,0.54
tgk_Cyrl,0.91,0.4249,0.91
kin_Latn,0.46,0.2068,0.46
rus_Cyrl,1.0,0.7759,1.0
zho_Hant,1.0,0.8395,1.0
grn_Latn,0.71,0.3078,0.71
zsm_Latn,0.99,0.7227,0.99
est_Latn,0.98,0.6108,0.98
als_Latn,0.97,0.6076,0.97
lao_Laoo,0.89,0.3338,0.89
gaz_Latn,0.33,0.1349,0.33
arz_Arab,0.99,0.6784,0.99
afr_Latn,1.0,0.7327,1.0
tur_Latn,0.99,0.6568,0.99
deu_Latn,1.0,0.8014,1.0
ceb_Latn,0.98,0.6211,0.98
wol_Latn,0.56,0.2484,0.56
jpn_Jpan,1.0,0.7546,1.0
eus_Latn,0.91,0.5205,0.91
guj_Gujr,0.97,0.473,0.97
mya_Mymr,0.72,0.2054,0.72
slv_Latn,1.0,0.6565,1.0
cat_Latn,1.0,0.7435,1.0
bam_Latn,0.44,0.1735,0.44
yor_Latn,0.4,0.1797,0.4
zul_Latn,0.44,0.1705,0.44
hrv_Latn,0.99,0.6792,0.99
heb_Hebr,1.0,0.6903,1.0
mlt_Latn,0.95,0.553,0.95
tso_Latn,0.46,0.1784,0.46
ben_Beng,0.96,0.5403,0.96
swh_Latn,0.87,0.4376,0.87
glg_Latn,1.0,0.7946,1.0
xho_Latn,0.53,0.2316,0.53
tsn_Latn,0.44,0.1841,0.44
sin_Sinh,0.73,0.2603,0.73
zho_Hans,1.0,0.8762,1.0
jav_Latn,0.99,0.6151,0.99
sun_Latn,0.97,0.6076,0.97
ssw_Latn,0.47,0.1865,0.47
ars_Arab,1.0,0.7289,1.0
mri_Latn,0.71,0.3357,0.71
dan_Latn,1.0,0.7522,1.0
ckb_Arab,0.79,0.3484,0.79
spa_Latn,1.0,0.8327,1.0
som_Latn,0.52,0.24,0.52
por_Latn,1.0,0.8497,1.0
vie_Latn,1.0,0.7889,1.0
mar_Deva,0.96,0.5159,0.96
lin_Latn,0.6,0.26,0.6
fra_Latn,1.0,0.8357,1.0
tgl_Latn,0.99,0.6295,0.99
eng_Latn,1.0,1.0,1.0
swe_Latn,1.0,0.7519,1.0
nld_Latn,1.0,0.777,1.0
kaz_Cyrl,0.93,0.4995,0.93
shn_Mymr,0.24,0.0465,0.24
urd_Arab,1.0,0.5816,1.0
oci_Latn,0.98,0.7005,0.98
hau_Latn,0.59,0.2935,0.59
bod_Tibt,0.15,0.0316,0.15
ell_Grek,0.97,0.53,0.97
tha_Thai,1.0,0.6295,1.0
tam_Taml,0.94,0.423,0.94
hat_Latn,0.92,0.5227,0.92
kat_Geor,0.96,0.4738,0.96
