code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
spa_Latn,0.94,0.7708,0.94
som_Latn,0.25,0.1569,0.25
mri_Latn,0.07,0.0262,0.07
dan_Latn,0.98,0.8477,0.98
ckb_Arab,0.02,0.0108,0.02
sun_Latn,0.51,0.3577,0.51
ssw_Latn,0.05,0.0308,0.05
ars_Arab,0.82,0.5246,0.82
zho_Hans,0.88,0.63,0.88
jav_Latn,0.58,0.3738,0.58
tgl_Latn,0.63,0.4223,0.63
eng_Latn,1.0,1.0,1.0
swe_Latn,0.99,0.8623,0.99
nld_Latn,0.99,0.8354,0.99
lin_Latn,0.13,0.0823,0.13
fra_Latn,0.9,0.6746,0.9
por_Latn,0.99,0.8585,0.99
vie_Latn,0.95,0.6838,0.95
mar_Deva,0.6,0.3592,0.6
urd_Arab,0.67,0.3792,0.67
oci_Latn,0.44,0.2785,0.44
shn_Mymr,0.01,0.0038,0.01
kaz_Cyrl,0.74,0.4715,0.74
kat_Geor,0.57,0.3254,0.57
tha_Thai,0.67,0.4477,0.67
tam_Taml,0.46,0.2577,0.46
hat_Latn,0.22,0.0969,0.22
hau_Latn,0.32,0.1962,0.32
bod_Tibt,0.02,0.0123,0.02
ell_Grek,0.77,0.45,0.77
afr_Latn,0.96,0.7354,0.96
gaz_Latn,0.05,0.0277,0.05
arz_Arab,0.7,0.4146,0.7
mya_Mymr,0.16,0.0562,0.16
eus_Latn,0.77,0.4562,0.77
guj_Gujr,0.38,0.2023,0.38
wol_Latn,0.13,0.0708,0.13
jpn_Jpan,0.79,0.4792,0.79
deu_Latn,0.94,0.7569,0.94
tur_Latn,0.97,0.6777,0.97
ceb_Latn,0.22,0.1746,0.22
hrv_Latn,0.95,0.74,0.95
zul_Latn,0.08,0.0438,0.08
cat_Latn,0.93,0.6308,0.93
bam_Latn,0.08,0.0269,0.08
yor_Latn,0.05,0.0338,0.05
slv_Latn,0.93,0.66,0.93
xho_Latn,0.1,0.0669,0.1
tsn_Latn,0.08,0.0408,0.08
sin_Sinh,0.37,0.2062,0.37
swh_Latn,0.74,0.5046,0.74
glg_Latn,0.99,0.8123,0.99
mlt_Latn,0.1,0.0508,0.1
heb_Hebr,0.93,0.6146,0.93
tso_Latn,0.1,0.0431,0.1
ben_Beng,0.4,0.2323,0.4
ibo_Latn,0.06,0.0331,0.06
kan_Knda,0.41,0.23,0.41
kor_Hang,0.82,0.5115,0.82
hun_Latn,0.89,0.6377,0.89
sna_Latn,0.08,0.0369,0.08
nob_Latn,0.99,0.8469,0.99
lvs_Latn,0.85,0.5269,0.85
bul_Cyrl,0.95,0.71,0.95
plt_Latn,0.28,0.1508,0.28
mal_Mlym,0.39,0.2162,0.39
fuv_Latn,0.19,0.1054,0.19
slk_Latn,0.96,0.6977,0.96
lug_Latn,0.13,0.0577,0.13
ukr_Cyrl,0.93,0.6454,0.93
isl_Latn,0.77,0.4746,0.77
fin_Latn,0.91,0.6346,0.91
arb_Arab,0.8,0.5362,0.8
nya_Latn,0.12,0.0508,0.12
arb_Latn,0.04,0.0208,0.04
asm_Beng,0.1,0.0377,0.1
als_Latn,0.83,0.5362,0.83
lao_Laoo,0.42,0.2562,0.42
grn_Latn,0.06,0.0392,0.06
zsm_Latn,0.98,0.8238,0.98
est_Latn,0.95,0.6215,0.95
rus_Cyrl,0.96,0.6769,0.96
zho_Hant,0.82,0.5769,0.82
tgk_Cyrl,0.03,0.0092,0.03
kin_Latn,0.09,0.0446,0.09
ita_Latn,0.95,0.7423,0.95
ron_Latn,0.94,0.7054,0.94
ces_Latn,0.89,0.6623,0.89
pan_Guru,0.27,0.1077,0.27
pbt_Arab,0.45,0.2708,0.45
pes_Arab,0.97,0.7008,0.97
hin_Deva,0.82,0.4862,0.82
apc_Arab,0.75,0.4869,0.75
kir_Cyrl,0.64,0.3492,0.64
sot_Latn,0.07,0.0346,0.07
lit_Latn,0.91,0.5915,0.91
war_Latn,0.29,0.1823,0.29
tel_Telu,0.53,0.2862,0.53
kea_Latn,0.21,0.1692,0.21
ast_Latn,0.56,0.4331,0.56
acm_Arab,0.74,0.4785,0.74
ilo_Latn,0.2,0.0854,0.2
tir_Ethi,0.01,0.0023,0.01
amh_Ethi,0.37,0.1838,0.37
khk_Cyrl,0.59,0.3454,0.59
khm_Khmr,0.26,0.1438,0.26
hye_Armn,0.68,0.3723,0.68
uzn_Latn,0.57,0.2785,0.57
ind_Latn,0.98,0.8462,0.98
pol_Latn,0.87,0.6362,0.87
