code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
kir_Cyrl,0.0879,0.0277,0.0879
apc_Arab,0.5178,0.2602,0.5178
pes_Arab,0.4377,0.1795,0.4377
hin_Deva,0.2638,0.0879,0.2638
tel_Telu,0.1077,0.0461,0.1077
war_Latn,0.1976,0.0703,0.1976
lit_Latn,0.2984,0.0909,0.2984
sot_Latn,0.085,0.0201,0.085
pbt_Arab,0.1038,0.0305,0.1038
pan_Guru,0.0731,0.0255,0.0731
ces_Latn,0.4862,0.167,0.4862
ron_Latn,0.5543,0.1816,0.5543
ita_Latn,0.6789,0.295,0.6789
ind_Latn,0.7411,0.3566,0.7411
uzn_Latn,0.1512,0.0514,0.1512
pol_Latn,0.4397,0.1525,0.4397
hye_Armn,0.2401,0.0983,0.2401
khm_Khmr,0.0148,0.0034,0.0148
khk_Cyrl,0.084,0.023,0.084
amh_Ethi,0.0089,0.0025,0.0089
tir_Ethi,0.0049,0.001,0.0049
kea_Latn,0.3261,0.1177,0.3261
ilo_Latn,0.1265,0.0397,0.1265
acm_Arab,0.5642,0.2716,0.5642
ast_Latn,0.6877,0.2739,0.6877
arb_Arab,0.6601,0.3184,0.6601
lug_Latn,0.086,0.0171,0.086
ukr_Cyrl,0.4753,0.1404,0.4753
slk_Latn,0.4348,0.1331,0.4348
fin_Latn,0.3043,0.11,0.3043
isl_Latn,0.2273,0.0748,0.2273
lvs_Latn,0.2421,0.0714,0.2421
mal_Mlym,0.0791,0.0339,0.0791
fuv_Latn,0.084,0.0234,0.084
plt_Latn,0.0711,0.0209,0.0711
bul_Cyrl,0.4536,0.1374,0.4536
kor_Hang,0.3399,0.1988,0.3399
kan_Knda,0.1008,0.0424,0.1008
ibo_Latn,0.0524,0.012,0.0524
sna_Latn,0.0623,0.0186,0.0623
nob_Latn,0.5899,0.2467,0.5899
hun_Latn,0.3745,0.1261,0.3745
zho_Hant,0.4704,0.1983,0.4704
rus_Cyrl,0.5958,0.2825,0.5958
kin_Latn,0.0702,0.0191,0.0702
tgk_Cyrl,0.0929,0.0253,0.0929
lao_Laoo,0.0109,0.0024,0.0109
als_Latn,0.3113,0.0909,0.3113
est_Latn,0.336,0.1145,0.336
grn_Latn,0.0613,0.0225,0.0613
zsm_Latn,0.6542,0.2942,0.6542
asm_Beng,0.0435,0.0152,0.0435
nya_Latn,0.0929,0.0225,0.0929
arb_Latn,0.0415,0.015,0.0415
jpn_Jpan,0.3172,0.133,0.3172
wol_Latn,0.0879,0.0211,0.0879
ceb_Latn,0.1947,0.0709,0.1947
tur_Latn,0.3261,0.1297,0.3261
deu_Latn,0.5958,0.3058,0.5958
mya_Mymr,0.0227,0.0085,0.0227
guj_Gujr,0.08,0.0299,0.08
eus_Latn,0.2411,0.0782,0.2411
afr_Latn,0.6057,0.1911,0.6057
gaz_Latn,0.0208,0.0072,0.0208
arz_Arab,0.4466,0.2075,0.4466
ben_Beng,0.1749,0.0603,0.1749
tso_Latn,0.08,0.017,0.08
heb_Hebr,0.4051,0.1344,0.4051
mlt_Latn,0.2026,0.0466,0.2026
sin_Sinh,0.0089,0.0028,0.0089
xho_Latn,0.0672,0.0204,0.0672
tsn_Latn,0.0682,0.0174,0.0682
swh_Latn,0.1789,0.053,0.1789
glg_Latn,0.7283,0.3282,0.7283
slv_Latn,0.3834,0.1357,0.3834
zul_Latn,0.0543,0.0169,0.0543
hrv_Latn,0.501,0.1918,0.501
bam_Latn,0.0326,0.0092,0.0326
yor_Latn,0.0326,0.0121,0.0326
cat_Latn,0.6957,0.2545,0.6957
fra_Latn,0.7935,0.4299,0.7935
lin_Latn,0.0751,0.0276,0.0751
mar_Deva,0.1117,0.0364,0.1117
vie_Latn,0.5178,0.2296,0.5178
por_Latn,0.8034,0.4237,0.8034
nld_Latn,0.5326,0.2174,0.5326
swe_Latn,0.6176,0.2539,0.6176
tgl_Latn,0.2332,0.0794,0.2332
eng_Latn,1.0,0.9997,1.0
ars_Arab,0.6551,0.3114,0.6551
ssw_Latn,0.0583,0.0171,0.0583
sun_Latn,0.247,0.102,0.247
jav_Latn,0.2935,0.1123,0.2935
zho_Hans,0.5198,0.2594,0.5198
som_Latn,0.0702,0.0203,0.0702
spa_Latn,0.6848,0.3639,0.6848
dan_Latn,0.5682,0.215,0.5682
ckb_Arab,0.0326,0.0082,0.0326
mri_Latn,0.0692,0.0214,0.0692
ell_Grek,0.3202,0.0911,0.3202
hau_Latn,0.0711,0.0252,0.0711
bod_Tibt,0.002,0.0005,0.002
kat_Geor,0.1047,0.0437,0.1047
hat_Latn,0.3389,0.1059,0.3389
tha_Thai,0.1156,0.0437,0.1156
tam_Taml,0.1117,0.0452,0.1117
kaz_Cyrl,0.1245,0.035,0.1245
shn_Mymr,0.004,0.001,0.004
oci_Latn,0.5919,0.1704,0.5919
urd_Arab,0.1798,0.06,0.1798
