code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
spa_Latn,0.9704,0.7018,0.9704
som_Latn,0.1492,0.0307,0.1492
mri_Latn,0.0919,0.0257,0.0919
dan_Latn,0.9397,0.5347,0.9397
ckb_Arab,0.086,0.0123,0.086
sun_Latn,0.4209,0.1295,0.4209
ssw_Latn,0.0603,0.0149,0.0603
ars_Arab,0.9358,0.533,0.9358
zho_Hans,0.92,0.662,0.92
jav_Latn,0.5178,0.1496,0.5178
tgl_Latn,0.583,0.1813,0.583
eng_Latn,1.0,1.0,1.0
swe_Latn,0.9575,0.5459,0.9575
nld_Latn,0.9279,0.5342,0.9279
lin_Latn,0.082,0.0231,0.082
fra_Latn,0.9812,0.726,0.9812
por_Latn,0.9862,0.7053,0.9862
vie_Latn,0.9101,0.4895,0.9101
mar_Deva,0.42,0.1288,0.42
urd_Arab,0.5375,0.1986,0.5375
oci_Latn,0.8261,0.3382,0.8261
shn_Mymr,0.004,0.001,0.004
kaz_Cyrl,0.4733,0.127,0.4733
kat_Geor,0.4931,0.1942,0.4931
tha_Thai,0.6354,0.2502,0.6354
tam_Taml,0.4229,0.1501,0.4229
hat_Latn,0.4951,0.1432,0.4951
hau_Latn,0.1097,0.0315,0.1097
bod_Tibt,0.001,0.0,0.001
ell_Grek,0.8518,0.3643,0.8518
afr_Latn,0.8804,0.4221,0.8804
gaz_Latn,0.0217,0.0041,0.0217
arz_Arab,0.8142,0.3892,0.8142
mya_Mymr,0.1067,0.0297,0.1067
eus_Latn,0.6146,0.1996,0.6146
guj_Gujr,0.3488,0.1091,0.3488
wol_Latn,0.0968,0.0178,0.0968
jpn_Jpan,0.8034,0.4631,0.8034
tur_Latn,0.7994,0.3748,0.7994
deu_Latn,0.9783,0.6992,0.9783
ceb_Latn,0.4427,0.113,0.4427
zul_Latn,0.0583,0.0159,0.0583
hrv_Latn,0.915,0.4636,0.915
cat_Latn,0.9387,0.5106,0.9387
bam_Latn,0.0375,0.0084,0.0375
yor_Latn,0.0415,0.0117,0.0415
slv_Latn,0.8962,0.4177,0.8962
xho_Latn,0.0711,0.0159,0.0711
tsn_Latn,0.086,0.0168,0.086
sin_Sinh,0.0079,0.0013,0.0079
swh_Latn,0.502,0.1107,0.502
glg_Latn,0.9605,0.5712,0.9605
heb_Hebr,0.8893,0.3538,0.8893
mlt_Latn,0.5099,0.1328,0.5099
tso_Latn,0.082,0.0153,0.082
ben_Beng,0.4881,0.1881,0.4881
ibo_Latn,0.0988,0.0225,0.0988
kan_Knda,0.4308,0.1583,0.4308
kor_Hang,0.8626,0.4962,0.8626
hun_Latn,0.8696,0.3803,0.8696
sna_Latn,0.0682,0.0168,0.0682
nob_Latn,0.9377,0.5315,0.9377
lvs_Latn,0.7223,0.2937,0.7223
bul_Cyrl,0.8972,0.4293,0.8972
plt_Latn,0.1522,0.0337,0.1522
mal_Mlym,0.3745,0.1203,0.3745
fuv_Latn,0.0949,0.0221,0.0949
slk_Latn,0.8972,0.4252,0.8972
lug_Latn,0.086,0.0167,0.086
ukr_Cyrl,0.9368,0.4465,0.9368
isl_Latn,0.6324,0.1944,0.6324
fin_Latn,0.8626,0.3499,0.8626
arb_Arab,0.9358,0.5437,0.9358
nya_Latn,0.0939,0.0227,0.0939
arb_Latn,0.0366,0.0101,0.0366
asm_Beng,0.1215,0.0269,0.1215
als_Latn,0.7658,0.3029,0.7658
lao_Laoo,0.0109,0.003,0.0109
grn_Latn,0.0642,0.0199,0.0642
zsm_Latn,0.9061,0.4951,0.9061
est_Latn,0.8725,0.3503,0.8725
rus_Cyrl,0.9575,0.7083,0.9575
zho_Hant,0.917,0.5502,0.917
tgk_Cyrl,0.2787,0.0775,0.2787
kin_Latn,0.0702,0.0213,0.0702
ita_Latn,0.9634,0.6162,0.9634
ron_Latn,0.9269,0.4812,0.9269
ces_Latn,0.9318,0.4907,0.9318
pan_Guru,0.2915,0.0859,0.2915
pbt_Arab,0.333,0.098,0.333
pes_Arab,0.8636,0.4322,0.8636
hin_Deva,0.6551,0.303,0.6551
apc_Arab,0.8488,0.4185,0.8488
kir_Cyrl,0.3458,0.0928,0.3458
lit_Latn,0.7302,0.3077,0.7302
sot_Latn,0.0968,0.0183,0.0968
war_Latn,0.3221,0.0935,0.3221
tel_Telu,0.4229,0.1485,0.4229
kea_Latn,0.3656,0.1462,0.3656
ast_Latn,0.8933,0.4516,0.8933
acm_Arab,0.8686,0.48,0.8686
ilo_Latn,0.1789,0.0543,0.1789
tir_Ethi,0.002,0.0002,0.002
khk_Cyrl,0.3211,0.0657,0.3211
amh_Ethi,0.004,0.0012,0.004
khm_Khmr,0.0079,0.0023,0.0079
hye_Armn,0.7144,0.3456,0.7144
uzn_Latn,0.4654,0.1334,0.4654
ind_Latn,0.9575,0.5899,0.9575
pol_Latn,0.8943,0.4684,0.8943
