code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
isl_Latn,0.5741,0.3134,0.5741
fin_Latn,0.6067,0.3392,0.6067
slk_Latn,0.7243,0.4343,0.7243
ukr_Cyrl,0.7619,0.451,0.7619
lug_Latn,0.1225,0.0815,0.1225
arb_Arab,0.6957,0.3887,0.6957
hun_Latn,0.6374,0.3696,0.6374
nob_Latn,0.9496,0.7012,0.9496
sna_Latn,0.1354,0.0759,0.1354
ibo_Latn,0.1423,0.0875,0.1423
kan_Knda,0.3132,0.1671,0.3132
kor_Hang,0.5306,0.3083,0.5306
bul_Cyrl,0.8291,0.5318,0.8291
plt_Latn,0.168,0.0836,0.168
fuv_Latn,0.0692,0.0393,0.0692
mal_Mlym,0.2678,0.1402,0.2678
lvs_Latn,0.6828,0.3794,0.6828
zsm_Latn,0.9397,0.6721,0.9397
grn_Latn,0.1877,0.1098,0.1877
est_Latn,0.6838,0.3902,0.6838
als_Latn,0.6364,0.3409,0.6364
lao_Laoo,0.3567,0.1846,0.3567
tgk_Cyrl,0.3972,0.1806,0.3972
kin_Latn,0.2233,0.1085,0.2233
rus_Cyrl,0.833,0.5548,0.833
zho_Hant,0.7006,0.4109,0.7006
arb_Latn,0.0158,0.0098,0.0158
nya_Latn,0.2678,0.153,0.2678
asm_Beng,0.2599,0.1227,0.2599
pbt_Arab,0.2747,0.1397,0.2747
pan_Guru,0.1591,0.0708,0.1591
sot_Latn,0.1482,0.0882,0.1482
lit_Latn,0.6047,0.3324,0.6047
war_Latn,0.3083,0.1969,0.3083
tel_Telu,0.2905,0.1595,0.2905
hin_Deva,0.6314,0.3553,0.6314
pes_Arab,0.8389,0.5294,0.8389
apc_Arab,0.6581,0.3597,0.6581
kir_Cyrl,0.4713,0.2488,0.4713
ita_Latn,0.8291,0.5417,0.8291
ron_Latn,0.7411,0.4631,0.7411
ces_Latn,0.7401,0.4549,0.7401
khm_Khmr,0.1759,0.0944,0.1759
hye_Armn,0.6047,0.3306,0.6047
pol_Latn,0.6413,0.406,0.6413
uzn_Latn,0.4298,0.2294,0.4298
ind_Latn,0.9437,0.6988,0.9437
ast_Latn,0.7945,0.484,0.7945
acm_Arab,0.6611,0.3677,0.6611
ilo_Latn,0.3192,0.1778,0.3192
kea_Latn,0.3538,0.2036,0.3538
tir_Ethi,0.0168,0.0079,0.0168
amh_Ethi,0.1927,0.0991,0.1927
khk_Cyrl,0.3903,0.2125,0.3903
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.6512,0.4038,0.6512
swe_Latn,0.9427,0.6657,0.9427
nld_Latn,0.7955,0.5521,0.7955
por_Latn,0.9407,0.677,0.9407
vie_Latn,0.7609,0.4564,0.7609
mar_Deva,0.5306,0.3029,0.5306
lin_Latn,0.2559,0.1363,0.2559
fra_Latn,0.7441,0.4767,0.7441
mri_Latn,0.1196,0.0661,0.1196
ckb_Arab,0.4358,0.215,0.4358
dan_Latn,0.9289,0.6818,0.9289
spa_Latn,0.8182,0.5434,0.8182
som_Latn,0.1057,0.0683,0.1057
zho_Hans,0.7342,0.4549,0.7342
jav_Latn,0.6166,0.3574,0.6166
sun_Latn,0.6413,0.3626,0.6413
ssw_Latn,0.1462,0.0858,0.1462
ars_Arab,0.6729,0.3801,0.6729
tam_Taml,0.3528,0.1861,0.3528
tha_Thai,0.5484,0.2817,0.5484
hat_Latn,0.6334,0.3278,0.6334
kat_Geor,0.414,0.2232,0.414
bod_Tibt,0.0287,0.0131,0.0287
hau_Latn,0.252,0.1294,0.252
ell_Grek,0.4595,0.2362,0.4595
urd_Arab,0.502,0.2836,0.502
oci_Latn,0.5692,0.303,0.5692
shn_Mymr,0.003,0.0011,0.003
kaz_Cyrl,0.5119,0.2558,0.5119
eus_Latn,0.4555,0.2247,0.4555
guj_Gujr,0.5346,0.3032,0.5346
mya_Mymr,0.0366,0.0196,0.0366
deu_Latn,0.8676,0.5807,0.8676
tur_Latn,0.7194,0.4491,0.7194
ceb_Latn,0.499,0.2898,0.499
wol_Latn,0.0692,0.0521,0.0692
jpn_Jpan,0.5237,0.2903,0.5237
arz_Arab,0.6146,0.3348,0.6146
gaz_Latn,0.0662,0.0333,0.0662
afr_Latn,0.7994,0.4862,0.7994
glg_Latn,0.8893,0.5937,0.8893
swh_Latn,0.6611,0.3723,0.6611
tsn_Latn,0.0682,0.0456,0.0682
xho_Latn,0.1789,0.1065,0.1789
sin_Sinh,0.3241,0.1616,0.3241
mlt_Latn,0.3281,0.1757,0.3281
heb_Hebr,0.6947,0.3906,0.6947
tso_Latn,0.1304,0.0812,0.1304
ben_Beng,0.3775,0.2003,0.3775
cat_Latn,0.751,0.4556,0.751
yor_Latn,0.0543,0.0383,0.0543
bam_Latn,0.0692,0.0498,0.0692
hrv_Latn,0.8933,0.5941,0.8933
zul_Latn,0.2352,0.118,0.2352
slv_Latn,0.7441,0.4277,0.7441
