code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
jav_Latn,1.0,0.8389,1.0
zho_Hans,0.999,0.7326,0.999
ssw_Latn,0.8083,0.3753,0.8083
sun_Latn,0.997,0.8262,0.997
ars_Arab,1.0,0.8104,1.0
mri_Latn,0.9625,0.5695,0.9625
ckb_Arab,0.1038,0.0186,0.1038
dan_Latn,0.999,0.9021,0.999
spa_Latn,0.999,0.8655,0.999
som_Latn,0.9842,0.6438,0.9842
por_Latn,1.0,0.9309,1.0
mar_Deva,1.0,0.791,1.0
vie_Latn,1.0,0.8363,1.0
lin_Latn,0.4921,0.1578,0.4921
fra_Latn,1.0,0.8669,1.0
swe_Latn,1.0,0.8997,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,1.0,0.7739,1.0
nld_Latn,1.0,0.8771,1.0
shn_Mymr,0.2826,0.0285,0.2826
kaz_Cyrl,0.998,0.6843,0.998
urd_Arab,0.999,0.7659,0.999
oci_Latn,0.998,0.6932,0.998
ell_Grek,1.0,0.7079,1.0
bod_Tibt,0.7945,0.1536,0.7945
hau_Latn,0.9931,0.71,0.9931
tam_Taml,0.999,0.7611,0.999
tha_Thai,0.9368,0.5317,0.9368
hat_Latn,0.9911,0.8033,0.9911
kat_Geor,0.998,0.6915,0.998
arz_Arab,0.9951,0.7334,0.9951
gaz_Latn,0.1729,0.0298,0.1729
afr_Latn,0.999,0.8636,0.999
ceb_Latn,1.0,0.7341,1.0
tur_Latn,1.0,0.8329,1.0
deu_Latn,1.0,0.876,1.0
wol_Latn,0.4496,0.1282,0.4496
jpn_Jpan,1.0,0.7044,1.0
guj_Gujr,1.0,0.782,1.0
eus_Latn,1.0,0.8153,1.0
mya_Mymr,0.996,0.5838,0.996
slv_Latn,1.0,0.8462,1.0
cat_Latn,1.0,0.8352,1.0
yor_Latn,0.8251,0.3552,0.8251
bam_Latn,0.3251,0.0629,0.3251
zul_Latn,0.998,0.6874,0.998
hrv_Latn,0.999,0.8657,0.999
tso_Latn,0.4308,0.1204,0.4308
heb_Hebr,1.0,0.8478,1.0
mlt_Latn,1.0,0.779,1.0
ben_Beng,1.0,0.7793,1.0
glg_Latn,1.0,0.9048,1.0
swh_Latn,1.0,0.833,1.0
tsn_Latn,0.8893,0.395,0.8893
xho_Latn,0.9872,0.6668,0.9872
sin_Sinh,1.0,0.7362,1.0
bul_Cyrl,1.0,0.8446,1.0
fuv_Latn,0.3577,0.11,0.3577
mal_Mlym,0.999,0.6488,0.999
plt_Latn,0.996,0.6396,0.996
lvs_Latn,1.0,0.8129,1.0
nob_Latn,0.999,0.8924,0.999
sna_Latn,0.9664,0.5813,0.9664
hun_Latn,1.0,0.8076,1.0
ibo_Latn,0.9822,0.6183,0.9822
kor_Hang,0.999,0.7832,0.999
kan_Knda,1.0,0.7163,1.0
arb_Arab,1.0,0.8129,1.0
isl_Latn,0.998,0.7985,0.998
fin_Latn,0.999,0.8039,0.999
slk_Latn,0.999,0.8507,0.999
ukr_Cyrl,1.0,0.8159,1.0
lug_Latn,0.5198,0.1854,0.5198
asm_Beng,0.9802,0.5049,0.9802
arb_Latn,0.1719,0.0357,0.1719
nya_Latn,0.9852,0.6662,0.9852
tgk_Cyrl,0.996,0.7067,0.996
kin_Latn,0.9931,0.6968,0.9931
rus_Cyrl,1.0,0.8478,1.0
zho_Hant,0.9941,0.7302,0.9941
est_Latn,1.0,0.8311,1.0
zsm_Latn,1.0,0.9218,1.0
grn_Latn,0.5138,0.1213,0.5138
als_Latn,1.0,0.8112,1.0
lao_Laoo,0.9704,0.554,0.9704
ces_Latn,1.0,0.8664,1.0
ron_Latn,1.0,0.8294,1.0
ita_Latn,1.0,0.8613,1.0
war_Latn,0.9931,0.6441,0.9931
lit_Latn,0.996,0.8123,0.996
sot_Latn,0.9862,0.5796,0.9862
tel_Telu,1.0,0.7472,1.0
hin_Deva,1.0,0.7829,1.0
pes_Arab,1.0,0.855,1.0
kir_Cyrl,0.999,0.7454,0.999
apc_Arab,0.9941,0.7494,0.9941
pbt_Arab,0.9901,0.6005,0.9901
pan_Guru,1.0,0.7036,1.0
khk_Cyrl,0.999,0.7787,0.999
amh_Ethi,1.0,0.7211,1.0
tir_Ethi,0.2678,0.0504,0.2678
ast_Latn,0.996,0.7431,0.996
acm_Arab,0.997,0.7843,0.997
ilo_Latn,0.6828,0.2346,0.6828
kea_Latn,0.8458,0.4764,0.8458
pol_Latn,1.0,0.8134,1.0
uzn_Latn,0.999,0.716,0.999
ind_Latn,1.0,0.9355,1.0
hye_Armn,1.0,0.7331,1.0
khm_Khmr,0.9783,0.5583,0.9783
