code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
asm_Beng,0.0227,0.005,0.0227
arb_Latn,0.0257,0.0124,0.0257
nya_Latn,0.0553,0.0352,0.0553
kin_Latn,0.0385,0.0222,0.0385
tgk_Cyrl,0.0968,0.0221,0.0968
zho_Hant,0.832,0.3919,0.832
rus_Cyrl,0.9338,0.4124,0.9338
est_Latn,0.5711,0.1404,0.5711
grn_Latn,0.0455,0.0273,0.0455
zsm_Latn,0.9605,0.5956,0.9605
lao_Laoo,0.0208,0.007,0.0208
als_Latn,0.4694,0.0968,0.4694
mal_Mlym,0.0405,0.0081,0.0405
fuv_Latn,0.0573,0.0369,0.0573
plt_Latn,0.1156,0.0392,0.1156
bul_Cyrl,0.9012,0.2631,0.9012
lvs_Latn,0.6403,0.1318,0.6403
sna_Latn,0.0464,0.0264,0.0464
nob_Latn,0.9427,0.4777,0.9427
hun_Latn,0.5573,0.1655,0.5573
kor_Hang,0.6304,0.1659,0.6304
kan_Knda,0.0287,0.0073,0.0287
ibo_Latn,0.0425,0.0177,0.0425
arb_Arab,0.754,0.2606,0.754
fin_Latn,0.5949,0.1552,0.5949
isl_Latn,0.3587,0.0882,0.3587
lug_Latn,0.0524,0.0315,0.0524
ukr_Cyrl,0.8567,0.2303,0.8567
slk_Latn,0.833,0.2473,0.833
khk_Cyrl,0.0484,0.0099,0.0484
amh_Ethi,0.0227,0.005,0.0227
tir_Ethi,0.0059,0.0017,0.0059
ilo_Latn,0.0998,0.0593,0.0998
acm_Arab,0.7154,0.2342,0.7154
ast_Latn,0.6087,0.2875,0.6087
kea_Latn,0.2846,0.1192,0.2846
pol_Latn,0.8577,0.3063,0.8577
ind_Latn,0.9822,0.6847,0.9822
uzn_Latn,0.1522,0.0368,0.1522
hye_Armn,0.1087,0.0151,0.1087
khm_Khmr,0.0138,0.0046,0.0138
ces_Latn,0.8923,0.3177,0.8923
ron_Latn,0.9249,0.3417,0.9249
ita_Latn,0.9654,0.5004,0.9654
tel_Telu,0.0385,0.011,0.0385
war_Latn,0.2628,0.1179,0.2628
lit_Latn,0.6285,0.1629,0.6285
sot_Latn,0.0553,0.0331,0.0553
kir_Cyrl,0.084,0.0216,0.084
apc_Arab,0.664,0.2258,0.664
pes_Arab,0.7638,0.3175,0.7638
hin_Deva,0.4951,0.1145,0.4951
pan_Guru,0.0711,0.0114,0.0711
pbt_Arab,0.1759,0.0354,0.1759
kaz_Cyrl,0.0366,0.0137,0.0366
shn_Mymr,0.003,0.0012,0.003
oci_Latn,0.6423,0.2081,0.6423
urd_Arab,0.3241,0.0674,0.3241
ell_Grek,0.5731,0.1133,0.5731
hau_Latn,0.0504,0.0324,0.0504
bod_Tibt,0.0079,0.0018,0.0079
hat_Latn,0.587,0.1804,0.587
tha_Thai,0.4792,0.12,0.4792
tam_Taml,0.1393,0.0244,0.1393
kat_Geor,0.0366,0.0072,0.0366
jav_Latn,0.5455,0.217,0.5455
zho_Hans,0.8982,0.4787,0.8982
ars_Arab,0.749,0.2519,0.749
ssw_Latn,0.0445,0.0256,0.0445
sun_Latn,0.164,0.1,0.164
dan_Latn,0.9545,0.4729,0.9545
ckb_Arab,0.0306,0.0079,0.0306
mri_Latn,0.1166,0.0398,0.1166
som_Latn,0.083,0.0336,0.083
spa_Latn,0.9664,0.5879,0.9664
mar_Deva,0.2174,0.0399,0.2174
vie_Latn,0.9269,0.4324,0.9269
por_Latn,0.9931,0.6651,0.9931
fra_Latn,0.9822,0.5639,0.9822
lin_Latn,0.0662,0.0369,0.0662
nld_Latn,0.9071,0.4633,0.9071
swe_Latn,0.9625,0.5033,0.9625
tgl_Latn,0.583,0.1654,0.583
eng_Latn,1.0,1.0,1.0
slv_Latn,0.8251,0.233,0.8251
bam_Latn,0.0257,0.017,0.0257
yor_Latn,0.0208,0.0131,0.0208
cat_Latn,0.9121,0.3388,0.9121
zul_Latn,0.0524,0.0247,0.0524
hrv_Latn,0.8646,0.2527,0.8646
ben_Beng,0.1621,0.0287,0.1621
tso_Latn,0.0494,0.0299,0.0494
heb_Hebr,0.6966,0.169,0.6966
mlt_Latn,0.3439,0.0827,0.3439
swh_Latn,0.4684,0.1129,0.4684
glg_Latn,0.9625,0.4985,0.9625
sin_Sinh,0.0168,0.0038,0.0168
xho_Latn,0.0692,0.0298,0.0692
tsn_Latn,0.0435,0.0274,0.0435
gaz_Latn,0.0178,0.007,0.0178
arz_Arab,0.6551,0.2053,0.6551
afr_Latn,0.916,0.3672,0.916
ceb_Latn,0.4605,0.1416,0.4605
tur_Latn,0.7115,0.2658,0.7115
deu_Latn,0.9694,0.5874,0.9694
jpn_Jpan,0.8271,0.3176,0.8271
wol_Latn,0.0682,0.0362,0.0682
guj_Gujr,0.0899,0.0155,0.0899
eus_Latn,0.2866,0.0698,0.2866
mya_Mymr,0.0069,0.0014,0.0069
