code,Qwen/Qwen3-1.7B_max,Qwen/Qwen3-1.7B_mean,avg
ces_Latn,0.9032,0.268,0.9032
ita_Latn,0.9684,0.4291,0.9684
ron_Latn,0.9575,0.3263,0.9575
sot_Latn,0.0573,0.0162,0.0573
lit_Latn,0.6571,0.1651,0.6571
war_Latn,0.3221,0.0994,0.3221
tel_Telu,0.0178,0.0059,0.0178
hin_Deva,0.3706,0.0691,0.3706
pes_Arab,0.6433,0.1454,0.6433
apc_Arab,0.7836,0.2246,0.7836
kir_Cyrl,0.0514,0.0125,0.0514
pan_Guru,0.0148,0.004,0.0148
pbt_Arab,0.0366,0.0111,0.0366
tir_Ethi,0.002,0.0005,0.002
amh_Ethi,0.004,0.0019,0.004
khk_Cyrl,0.0237,0.0062,0.0237
ast_Latn,0.8706,0.3413,0.8706
acm_Arab,0.836,0.2553,0.836
ilo_Latn,0.1067,0.0402,0.1067
kea_Latn,0.3528,0.1316,0.3528
pol_Latn,0.913,0.2983,0.913
uzn_Latn,0.1225,0.0359,0.1225
ind_Latn,0.9733,0.3973,0.9733
khm_Khmr,0.0158,0.0034,0.0158
hye_Armn,0.1364,0.0298,0.1364
bul_Cyrl,0.9002,0.2378,0.9002
plt_Latn,0.0316,0.0091,0.0316
fuv_Latn,0.0484,0.0244,0.0484
mal_Mlym,0.0306,0.0071,0.0306
lvs_Latn,0.6709,0.1549,0.6709
hun_Latn,0.7292,0.1843,0.7292
nob_Latn,0.9358,0.3503,0.9358
sna_Latn,0.0336,0.0139,0.0336
ibo_Latn,0.0208,0.0093,0.0208
kan_Knda,0.0237,0.0063,0.0237
kor_Hang,0.6433,0.2454,0.6433
arb_Arab,0.9229,0.2892,0.9229
isl_Latn,0.1818,0.0473,0.1818
fin_Latn,0.6472,0.1582,0.6472
slk_Latn,0.8626,0.25,0.8626
ukr_Cyrl,0.8824,0.2343,0.8824
lug_Latn,0.0405,0.0152,0.0405
asm_Beng,0.0583,0.0128,0.0583
arb_Latn,0.0178,0.0074,0.0178
nya_Latn,0.0356,0.0143,0.0356
tgk_Cyrl,0.0326,0.0106,0.0326
kin_Latn,0.0296,0.0106,0.0296
rus_Cyrl,0.9545,0.3977,0.9545
zho_Hant,0.9713,0.6756,0.9713
zsm_Latn,0.9387,0.3328,0.9387
grn_Latn,0.0395,0.0235,0.0395
est_Latn,0.5168,0.1258,0.5168
als_Latn,0.5079,0.1207,0.5079
lao_Laoo,0.0168,0.0075,0.0168
arz_Arab,0.7619,0.2371,0.7619
gaz_Latn,0.0089,0.003,0.0089
afr_Latn,0.8626,0.2946,0.8626
deu_Latn,0.9694,0.4176,0.9694
tur_Latn,0.583,0.1869,0.583
ceb_Latn,0.3755,0.1101,0.3755
wol_Latn,0.0425,0.0207,0.0425
jpn_Jpan,0.7796,0.3273,0.7796
eus_Latn,0.1107,0.0334,0.1107
guj_Gujr,0.0455,0.0112,0.0455
mya_Mymr,0.003,0.0007,0.003
slv_Latn,0.8034,0.2224,0.8034
cat_Latn,0.9713,0.3761,0.9713
yor_Latn,0.0138,0.0082,0.0138
bam_Latn,0.0198,0.0112,0.0198
hrv_Latn,0.8962,0.2714,0.8962
zul_Latn,0.0296,0.0086,0.0296
mlt_Latn,0.1502,0.0423,0.1502
heb_Hebr,0.8449,0.2682,0.8449
tso_Latn,0.0425,0.0142,0.0425
ben_Beng,0.2253,0.0421,0.2253
glg_Latn,0.9723,0.4185,0.9723
swh_Latn,0.0385,0.0147,0.0385
tsn_Latn,0.0425,0.0143,0.0425
xho_Latn,0.0346,0.0116,0.0346
sin_Sinh,0.003,0.0006,0.003
zho_Hans,0.9694,0.7486,0.9694
jav_Latn,0.3903,0.1198,0.3903
sun_Latn,0.3231,0.0981,0.3231
ssw_Latn,0.0316,0.0085,0.0316
ars_Arab,0.916,0.2829,0.916
mri_Latn,0.0375,0.0144,0.0375
ckb_Arab,0.0089,0.003,0.0089
dan_Latn,0.9496,0.3401,0.9496
spa_Latn,0.9773,0.4938,0.9773
som_Latn,0.0287,0.0099,0.0287
por_Latn,0.9862,0.5163,0.9862
vie_Latn,0.9654,0.4169,0.9654
mar_Deva,0.1393,0.0287,0.1393
lin_Latn,0.0336,0.0175,0.0336
fra_Latn,0.9822,0.4801,0.9822
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.5514,0.1455,0.5514
swe_Latn,0.9575,0.3676,0.9575
nld_Latn,0.9249,0.3528,0.9249
shn_Mymr,0.002,0.0011,0.002
kaz_Cyrl,0.1532,0.0283,0.1532
urd_Arab,0.2915,0.0548,0.2915
oci_Latn,0.8103,0.2856,0.8103
bod_Tibt,0.001,0.0001,0.001
hau_Latn,0.0395,0.0148,0.0395
ell_Grek,0.4951,0.0974,0.4951
tam_Taml,0.0662,0.0132,0.0662
tha_Thai,0.7866,0.175,0.7866
hat_Latn,0.1344,0.0484,0.1344
kat_Geor,0.0514,0.0137,0.0514
