code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
nld_Latn,0.9575,0.5664,0.9575
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.6047,0.2313,0.6047
swe_Latn,0.9328,0.5155,0.9328
fra_Latn,0.9911,0.6649,0.9911
lin_Latn,0.2451,0.0778,0.2451
vie_Latn,0.9872,0.6666,0.9872
mar_Deva,0.7332,0.1942,0.7332
por_Latn,0.998,0.7054,0.998
som_Latn,0.1887,0.0539,0.1887
spa_Latn,0.9951,0.6754,0.9951
ckb_Arab,0.1492,0.0335,0.1492
dan_Latn,0.9269,0.5214,0.9269
mri_Latn,0.2589,0.0787,0.2589
ars_Arab,0.9634,0.5457,0.9634
sun_Latn,0.5919,0.2012,0.5919
ssw_Latn,0.1443,0.0445,0.1443
zho_Hans,0.998,0.7822,0.998
jav_Latn,0.5563,0.2081,0.5563
kat_Geor,0.4101,0.085,0.4101
hat_Latn,0.4516,0.1532,0.4516
tam_Taml,0.4634,0.0841,0.4634
tha_Thai,0.8745,0.3471,0.8745
bod_Tibt,0.0227,0.004,0.0227
hau_Latn,0.2401,0.0772,0.2401
ell_Grek,0.7184,0.219,0.7184
oci_Latn,0.8824,0.4571,0.8824
urd_Arab,0.7233,0.2598,0.7233
kaz_Cyrl,0.5158,0.1159,0.5158
shn_Mymr,0.0652,0.0051,0.0652
mya_Mymr,0.1779,0.0181,0.1779
eus_Latn,0.3409,0.0873,0.3409
guj_Gujr,0.6601,0.1407,0.6601
jpn_Jpan,0.9526,0.5505,0.9526
wol_Latn,0.253,0.0741,0.253
deu_Latn,0.9941,0.6422,0.9941
tur_Latn,0.8379,0.4109,0.8379
ceb_Latn,0.5978,0.2178,0.5978
afr_Latn,0.8468,0.4562,0.8468
gaz_Latn,0.0711,0.0209,0.0711
arz_Arab,0.9012,0.4612,0.9012
sin_Sinh,0.0534,0.0057,0.0534
tsn_Latn,0.1917,0.0574,0.1917
xho_Latn,0.1996,0.0581,0.1996
glg_Latn,0.9901,0.6198,0.9901
swh_Latn,0.2411,0.0771,0.2411
ben_Beng,0.7688,0.1832,0.7688
mlt_Latn,0.4901,0.1702,0.4901
heb_Hebr,0.8567,0.4591,0.8567
tso_Latn,0.1937,0.0572,0.1937
hrv_Latn,0.8636,0.3994,0.8636
zul_Latn,0.1255,0.0403,0.1255
yor_Latn,0.1858,0.0486,0.1858
bam_Latn,0.1729,0.0496,0.1729
cat_Latn,0.9713,0.5566,0.9713
slv_Latn,0.7638,0.3481,0.7638
ukr_Cyrl,0.8439,0.4088,0.8439
lug_Latn,0.1522,0.0503,0.1522
slk_Latn,0.8567,0.4051,0.8567
fin_Latn,0.5978,0.2198,0.5978
isl_Latn,0.165,0.0551,0.165
arb_Arab,0.9634,0.5481,0.9634
kan_Knda,0.5603,0.0917,0.5603
kor_Hang,0.9111,0.4566,0.9111
ibo_Latn,0.169,0.05,0.169
hun_Latn,0.7895,0.3437,0.7895
nob_Latn,0.8982,0.497,0.8982
sna_Latn,0.1749,0.0515,0.1749
lvs_Latn,0.6413,0.2347,0.6413
plt_Latn,0.1838,0.0519,0.1838
mal_Mlym,0.5385,0.0883,0.5385
fuv_Latn,0.2194,0.0738,0.2194
bul_Cyrl,0.9259,0.4791,0.9259
lao_Laoo,0.1423,0.0239,0.1423
als_Latn,0.5049,0.1619,0.5049
zsm_Latn,0.9209,0.49,0.9209
grn_Latn,0.4042,0.1172,0.4042
est_Latn,0.4713,0.1614,0.4713
zho_Hant,0.9891,0.7266,0.9891
rus_Cyrl,0.9486,0.548,0.9486
kin_Latn,0.1423,0.0434,0.1423
tgk_Cyrl,0.1551,0.0428,0.1551
nya_Latn,0.2125,0.0626,0.2125
arb_Latn,0.1117,0.0344,0.1117
asm_Beng,0.5128,0.0933,0.5128
pan_Guru,0.5889,0.1193,0.5889
pbt_Arab,0.3587,0.0923,0.3587
apc_Arab,0.8953,0.4712,0.8953
kir_Cyrl,0.3281,0.0757,0.3281
pes_Arab,0.8379,0.2976,0.8379
hin_Deva,0.9259,0.3636,0.9259
tel_Telu,0.5593,0.0744,0.5593
sot_Latn,0.2105,0.061,0.2105
lit_Latn,0.584,0.2377,0.584
war_Latn,0.6443,0.2261,0.6443
ita_Latn,0.996,0.6417,0.996
ron_Latn,0.9397,0.5004,0.9397
ces_Latn,0.8883,0.4219,0.8883
khm_Khmr,0.2016,0.0209,0.2016
hye_Armn,0.3972,0.0914,0.3972
ind_Latn,0.9733,0.5608,0.9733
uzn_Latn,0.4022,0.1027,0.4022
pol_Latn,0.9111,0.5036,0.9111
kea_Latn,0.6581,0.2659,0.6581
ilo_Latn,0.4536,0.1369,0.4536
acm_Arab,0.9328,0.508,0.9328
ast_Latn,0.9407,0.5384,0.9407
tir_Ethi,0.0208,0.0062,0.0208
amh_Ethi,0.0939,0.0174,0.0939
khk_Cyrl,0.2125,0.0409,0.2125
