code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
kin_Latn,0.0198,0.0111,0.0198
tgk_Cyrl,0.0049,0.0023,0.0049
zho_Hant,0.8646,0.54,0.8646
rus_Cyrl,0.9387,0.6585,0.9387
est_Latn,0.9081,0.5386,0.9081
zsm_Latn,0.9654,0.6547,0.9654
grn_Latn,0.0217,0.0142,0.0217
lao_Laoo,0.7559,0.3623,0.7559
als_Latn,0.9219,0.5193,0.9219
asm_Beng,0.2737,0.0775,0.2737
arb_Latn,0.0138,0.0076,0.0138
nya_Latn,0.0375,0.0222,0.0375
arb_Arab,0.833,0.4927,0.833
fin_Latn,0.9239,0.5846,0.9239
isl_Latn,0.8211,0.4472,0.8211
ukr_Cyrl,0.9368,0.6198,0.9368
lug_Latn,0.0316,0.017,0.0316
slk_Latn,0.9318,0.6254,0.9318
mal_Mlym,0.6502,0.3189,0.6502
fuv_Latn,0.0435,0.0262,0.0435
plt_Latn,0.3518,0.1272,0.3518
bul_Cyrl,0.9407,0.6548,0.9407
lvs_Latn,0.9012,0.5234,0.9012
nob_Latn,0.9743,0.789,0.9743
sna_Latn,0.0257,0.0153,0.0257
hun_Latn,0.9368,0.6168,0.9368
kor_Hang,0.836,0.4893,0.836
kan_Knda,0.6986,0.3477,0.6986
ibo_Latn,0.0128,0.0091,0.0128
pol_Latn,0.9209,0.6007,0.9209
ind_Latn,0.9634,0.7489,0.9634
uzn_Latn,0.6739,0.2925,0.6739
hye_Armn,0.754,0.3849,0.754
khm_Khmr,0.6186,0.2559,0.6186
amh_Ethi,0.4536,0.2012,0.4536
khk_Cyrl,0.6986,0.3275,0.6986
tir_Ethi,0.0099,0.0032,0.0099
ilo_Latn,0.0613,0.0393,0.0613
acm_Arab,0.834,0.4718,0.834
ast_Latn,0.6828,0.3657,0.6828
kea_Latn,0.1868,0.0883,0.1868
tel_Telu,0.6858,0.3469,0.6858
war_Latn,0.1255,0.0788,0.1255
sot_Latn,0.0336,0.0155,0.0336
lit_Latn,0.8844,0.5195,0.8844
kir_Cyrl,0.6117,0.2864,0.6117
apc_Arab,0.7955,0.4337,0.7955
pes_Arab,0.9249,0.6432,0.9249
hin_Deva,0.8597,0.4905,0.8597
pan_Guru,0.6156,0.2574,0.6156
pbt_Arab,0.6947,0.2913,0.6947
ces_Latn,0.9496,0.6254,0.9496
ron_Latn,0.9585,0.6748,0.9585
ita_Latn,0.9516,0.676,0.9516
ell_Grek,0.8864,0.4764,0.8864
bod_Tibt,0.0049,0.0028,0.0049
hau_Latn,0.3874,0.1554,0.3874
hat_Latn,0.0524,0.0321,0.0524
tam_Taml,0.6917,0.3421,0.6917
tha_Thai,0.7935,0.4355,0.7935
kat_Geor,0.7372,0.3571,0.7372
kaz_Cyrl,0.7856,0.3236,0.7856
shn_Mymr,0.002,0.0014,0.002
oci_Latn,0.6522,0.3073,0.6522
urd_Arab,0.7787,0.3124,0.7787
mar_Deva,0.7955,0.3978,0.7955
vie_Latn,0.9358,0.6206,0.9358
por_Latn,0.9812,0.78,0.9812
fra_Latn,0.9476,0.6785,0.9476
lin_Latn,0.0375,0.0233,0.0375
nld_Latn,0.9269,0.6905,0.9269
swe_Latn,0.9773,0.8025,0.9773
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.8034,0.4232,0.8034
jav_Latn,0.584,0.3129,0.584
zho_Hans,0.8686,0.5559,0.8686
ars_Arab,0.834,0.4901,0.834
ssw_Latn,0.0356,0.0205,0.0356
sun_Latn,0.4526,0.2324,0.4526
ckb_Arab,0.003,0.0017,0.003
dan_Latn,0.9822,0.803,0.9822
mri_Latn,0.0188,0.0114,0.0188
som_Latn,0.3024,0.1379,0.3024
spa_Latn,0.9427,0.7004,0.9427
ben_Beng,0.6571,0.3338,0.6571
tso_Latn,0.0237,0.0157,0.0237
mlt_Latn,0.0277,0.0164,0.0277
heb_Hebr,0.914,0.5723,0.914
glg_Latn,0.9615,0.6638,0.9615
swh_Latn,0.752,0.3815,0.752
sin_Sinh,0.6749,0.3315,0.6749
tsn_Latn,0.0247,0.0136,0.0247
xho_Latn,0.0929,0.0439,0.0929
slv_Latn,0.9269,0.6,0.9269
yor_Latn,0.0158,0.0092,0.0158
bam_Latn,0.0208,0.0108,0.0208
cat_Latn,0.9338,0.6047,0.9338
hrv_Latn,0.9466,0.6477,0.9466
zul_Latn,0.0929,0.0416,0.0929
ceb_Latn,0.2372,0.121,0.2372
deu_Latn,0.9694,0.7221,0.9694
tur_Latn,0.9051,0.5649,0.9051
jpn_Jpan,0.8893,0.5235,0.8893
wol_Latn,0.0385,0.0208,0.0385
guj_Gujr,0.7312,0.3569,0.7312
eus_Latn,0.8014,0.4177,0.8014
mya_Mymr,0.503,0.1689,0.503
gaz_Latn,0.0445,0.0132,0.0445
arz_Arab,0.7866,0.3956,0.7866
afr_Latn,0.9457,0.6215,0.9457
