code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ita_Latn,0.9951,0.7172,0.9951
sun_Latn,0.5958,0.2581,0.5958
nob_Latn,0.9862,0.6191,0.9862
zsm_Latn,0.9822,0.5886,0.9822
hye_Armn,0.665,0.2466,0.665
mya_Mymr,0.1008,0.0264,0.1008
ilo_Latn,0.3429,0.143,0.3429
sot_Latn,0.0909,0.0334,0.0909
lao_Laoo,0.0336,0.0115,0.0336
uzn_Latn,0.6245,0.253,0.6245
als_Latn,0.9061,0.4586,0.9061
khm_Khmr,0.1107,0.0306,0.1107
lvs_Latn,0.8874,0.4024,0.8874
rus_Cyrl,0.9891,0.7568,0.9891
glg_Latn,0.9941,0.6762,0.9941
ben_Beng,0.6235,0.2435,0.6235
fin_Latn,0.9506,0.4723,0.9506
ell_Grek,0.9625,0.5692,0.9625
ron_Latn,0.9931,0.6133,0.9931
tsn_Latn,0.0731,0.0303,0.0731
tha_Thai,0.9219,0.5287,0.9219
oci_Latn,0.9792,0.5917,0.9792
afr_Latn,0.9783,0.5723,0.9783
hau_Latn,0.3844,0.1401,0.3844
jav_Latn,0.6996,0.3105,0.6996
bul_Cyrl,0.9595,0.5779,0.9595
arz_Arab,0.9012,0.475,0.9012
bam_Latn,0.0316,0.0184,0.0316
yor_Latn,0.0524,0.0261,0.0524
tur_Latn,0.9239,0.5587,0.9239
vie_Latn,0.9941,0.6875,0.9941
lin_Latn,0.08,0.0436,0.08
war_Latn,0.5988,0.2682,0.5988
est_Latn,0.9061,0.4282,0.9061
mlt_Latn,0.7885,0.3312,0.7885
som_Latn,0.0949,0.037,0.0949
tam_Taml,0.42,0.1445,0.42
apc_Arab,0.918,0.4997,0.918
ces_Latn,0.9941,0.6699,0.9941
kir_Cyrl,0.5158,0.1768,0.5158
arb_Arab,0.9733,0.5824,0.9733
por_Latn,0.997,0.7568,0.997
swh_Latn,0.7253,0.2332,0.7253
slv_Latn,0.9417,0.5051,0.9417
pol_Latn,0.9872,0.6007,0.9872
isl_Latn,0.836,0.2994,0.836
tso_Latn,0.0731,0.0255,0.0731
sin_Sinh,0.1739,0.0564,0.1739
swe_Latn,0.9941,0.6509,0.9941
xho_Latn,0.084,0.0349,0.084
hat_Latn,0.5939,0.2221,0.5939
hin_Deva,0.8893,0.4812,0.8893
ind_Latn,0.9911,0.6474,0.9911
shn_Mymr,0.0138,0.0049,0.0138
fuv_Latn,0.0889,0.0374,0.0889
pbt_Arab,0.5356,0.2081,0.5356
asm_Beng,0.3221,0.1088,0.3221
fra_Latn,0.998,0.7649,0.998
deu_Latn,0.996,0.7225,0.996
ssw_Latn,0.0563,0.0246,0.0563
hun_Latn,0.9605,0.516,0.9605
kaz_Cyrl,0.6097,0.1971,0.6097
acm_Arab,0.9387,0.537,0.9387
eng_Latn,1.0,1.0,1.0
pes_Arab,0.9644,0.6084,0.9644
slk_Latn,0.9733,0.559,0.9733
kea_Latn,0.6047,0.3051,0.6047
tir_Ethi,0.003,0.001,0.003
heb_Hebr,0.9308,0.4574,0.9308
pan_Guru,0.3715,0.106,0.3715
zul_Latn,0.085,0.0302,0.085
wol_Latn,0.087,0.0372,0.087
plt_Latn,0.1502,0.0503,0.1502
tel_Telu,0.3004,0.0977,0.3004
grn_Latn,0.1126,0.0503,0.1126
mri_Latn,0.2045,0.0641,0.2045
sna_Latn,0.0603,0.033,0.0603
khk_Cyrl,0.335,0.1108,0.335
ukr_Cyrl,0.9812,0.6664,0.9812
cat_Latn,0.9921,0.6503,0.9921
zho_Hans,0.9773,0.7643,0.9773
mal_Mlym,0.3547,0.118,0.3547
urd_Arab,0.7885,0.3759,0.7885
kat_Geor,0.4921,0.1796,0.4921
spa_Latn,0.9911,0.7592,0.9911
lug_Latn,0.0771,0.0308,0.0771
arb_Latn,0.1097,0.0449,0.1097
kin_Latn,0.0978,0.034,0.0978
nld_Latn,0.9852,0.6595,0.9852
jpn_Jpan,0.9289,0.6,0.9289
kan_Knda,0.3666,0.1309,0.3666
dan_Latn,0.9881,0.6226,0.9881
tgl_Latn,0.9111,0.4195,0.9111
zho_Hant,0.9783,0.7527,0.9783
guj_Gujr,0.3528,0.0972,0.3528
mar_Deva,0.7273,0.3082,0.7273
lit_Latn,0.8755,0.4138,0.8755
ast_Latn,0.9783,0.6455,0.9783
hrv_Latn,0.9822,0.5662,0.9822
eus_Latn,0.8014,0.3273,0.8014
nya_Latn,0.0939,0.039,0.0939
ckb_Arab,0.4308,0.1308,0.4308
ceb_Latn,0.6976,0.2914,0.6976
kor_Hang,0.916,0.6018,0.916
amh_Ethi,0.0217,0.0061,0.0217
ibo_Latn,0.2619,0.101,0.2619
ars_Arab,0.9733,0.5768,0.9733
tgk_Cyrl,0.5227,0.1825,0.5227
gaz_Latn,0.0237,0.0068,0.0237
bod_Tibt,0.0237,0.0042,0.0237
