code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
ita_Latn,0.9951,0.6626,0.9951
sun_Latn,0.1769,0.0897,0.1769
nob_Latn,0.9763,0.552,0.9763
zsm_Latn,0.9486,0.4483,0.9486
hye_Armn,0.0336,0.0111,0.0336
mya_Mymr,0.0049,0.0009,0.0049
ilo_Latn,0.1057,0.0584,0.1057
sot_Latn,0.0771,0.0215,0.0771
lao_Laoo,0.0069,0.0029,0.0069
uzn_Latn,0.0781,0.0268,0.0781
als_Latn,0.3617,0.1173,0.3617
khm_Khmr,0.0277,0.0092,0.0277
lvs_Latn,0.3211,0.1045,0.3211
rus_Cyrl,0.9941,0.6553,0.9941
glg_Latn,0.9802,0.6034,0.9802
ben_Beng,0.0978,0.0243,0.0978
fin_Latn,0.7747,0.2674,0.7747
ell_Grek,0.667,0.2311,0.667
ron_Latn,0.9921,0.578,0.9921
tsn_Latn,0.0573,0.0207,0.0573
tha_Thai,0.2431,0.0858,0.2431
oci_Latn,0.915,0.5017,0.915
afr_Latn,0.916,0.4348,0.916
hau_Latn,0.0563,0.0214,0.0563
jav_Latn,0.1739,0.0844,0.1739
bul_Cyrl,0.9842,0.5792,0.9842
arz_Arab,0.6324,0.2174,0.6324
bam_Latn,0.0385,0.0199,0.0385
yor_Latn,0.0296,0.0123,0.0296
tur_Latn,0.6729,0.2443,0.6729
vie_Latn,0.8725,0.3665,0.8725
lin_Latn,0.0662,0.0346,0.0662
war_Latn,0.2381,0.1168,0.2381
est_Latn,0.4081,0.1358,0.4081
mlt_Latn,0.2016,0.0691,0.2016
som_Latn,0.0395,0.0126,0.0395
tam_Taml,0.0119,0.0045,0.0119
apc_Arab,0.6482,0.2275,0.6482
ces_Latn,0.9891,0.5807,0.9891
kir_Cyrl,0.0346,0.0148,0.0346
arb_Arab,0.7984,0.3025,0.7984
por_Latn,0.998,0.6913,0.998
swh_Latn,0.0791,0.0314,0.0791
slv_Latn,0.9694,0.5196,0.9694
pol_Latn,0.9931,0.5821,0.9931
isl_Latn,0.3755,0.1045,0.3755
tso_Latn,0.0543,0.0216,0.0543
sin_Sinh,0.004,0.0017,0.004
swe_Latn,0.9951,0.6232,0.9951
xho_Latn,0.0534,0.0188,0.0534
hat_Latn,0.1522,0.0593,0.1522
hin_Deva,0.2263,0.0528,0.2263
ind_Latn,0.9674,0.4897,0.9674
shn_Mymr,0.0049,0.0019,0.0049
fuv_Latn,0.084,0.0319,0.084
pbt_Arab,0.0158,0.0064,0.0158
asm_Beng,0.0099,0.0042,0.0099
fra_Latn,0.999,0.7116,0.999
deu_Latn,0.998,0.66,0.998
ssw_Latn,0.0375,0.016,0.0375
hun_Latn,0.9753,0.4963,0.9753
kaz_Cyrl,0.0573,0.0183,0.0573
acm_Arab,0.7233,0.2474,0.7233
eng_Latn,1.0,1.0,1.0
pes_Arab,0.5909,0.1943,0.5909
slk_Latn,0.9447,0.4699,0.9447
kea_Latn,0.3923,0.1941,0.3923
tir_Ethi,0.002,0.0007,0.002
heb_Hebr,0.5049,0.1532,0.5049
pan_Guru,0.003,0.0008,0.003
zul_Latn,0.0326,0.0161,0.0326
wol_Latn,0.0711,0.0346,0.0711
plt_Latn,0.0484,0.0121,0.0484
tel_Telu,0.0089,0.0036,0.0089
grn_Latn,0.083,0.0428,0.083
mri_Latn,0.0721,0.0309,0.0721
sna_Latn,0.0464,0.0232,0.0464
khk_Cyrl,0.0208,0.007,0.0208
ukr_Cyrl,0.9941,0.6239,0.9941
cat_Latn,0.996,0.6595,0.996
zho_Hans,0.9545,0.5702,0.9545
mal_Mlym,0.004,0.0012,0.004
urd_Arab,0.1265,0.0305,0.1265
kat_Geor,0.0662,0.0218,0.0662
spa_Latn,0.9931,0.6901,0.9931
lug_Latn,0.0613,0.0203,0.0613
arb_Latn,0.0741,0.0264,0.0741
kin_Latn,0.0445,0.0142,0.0445
nld_Latn,0.9911,0.618,0.9911
jpn_Jpan,0.8765,0.3984,0.8765
kan_Knda,0.0089,0.004,0.0089
dan_Latn,0.9901,0.5995,0.9901
tgl_Latn,0.8241,0.2985,0.8241
zho_Hant,0.9377,0.5439,0.9377
guj_Gujr,0.0049,0.0019,0.0049
mar_Deva,0.0119,0.0054,0.0119
lit_Latn,0.3972,0.1293,0.3972
ast_Latn,0.8883,0.5151,0.8883
hrv_Latn,0.9881,0.5605,0.9881
eus_Latn,0.0751,0.0295,0.0751
nya_Latn,0.0632,0.0208,0.0632
ckb_Arab,0.0069,0.0029,0.0069
ceb_Latn,0.3686,0.1507,0.3686
kor_Hang,0.8557,0.3984,0.8557
amh_Ethi,0.0049,0.0019,0.0049
ibo_Latn,0.0395,0.0116,0.0395
ars_Arab,0.7866,0.2969,0.7866
tgk_Cyrl,0.0356,0.0158,0.0356
gaz_Latn,0.0158,0.0062,0.0158
bod_Tibt,0.001,0.0001,0.001
