code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
urd_Arab,0.502,0.2836,0.502
azb_Arab,0.1028,0.0452,0.1028
oci_Latn,0.5692,0.303,0.5692
ayr_Latn,0.0524,0.0342,0.0524
fao_Latn,0.6324,0.323,0.6324
npi_Deva,0.6749,0.3769,0.6749
nso_Latn,0.1729,0.1053,0.1729
shn_Mymr,0.003,0.0011,0.003
kaz_Cyrl,0.5119,0.2558,0.5119
lus_Latn,0.1018,0.0641,0.1018
kat_Geor,0.414,0.2232,0.414
taq_Latn,0.0474,0.0239,0.0474
yue_Hant,0.748,0.4372,0.748
tam_Taml,0.3528,0.1861,0.3528
tha_Thai,0.5484,0.2817,0.5484
scn_Latn,0.3636,0.1823,0.3636
hat_Latn,0.6334,0.3278,0.6334
sag_Latn,0.0761,0.0474,0.0761
lij_Latn,0.2125,0.1125,0.2125
bod_Tibt,0.0287,0.0131,0.0287
hau_Latn,0.252,0.1294,0.252
ell_Grek,0.4595,0.2362,0.4595
spa_Latn,0.8182,0.5434,0.8182
som_Latn,0.1057,0.0683,0.1057
lim_Latn,0.4298,0.2467,0.4298
mri_Latn,0.1196,0.0661,0.1196
nus_Latn,0.0138,0.0057,0.0138
ckb_Arab,0.4358,0.215,0.4358
dan_Latn,0.9289,0.6818,0.9289
vec_Latn,0.5,0.2682,0.5
sun_Latn,0.6413,0.3626,0.6413
prs_Arab,0.8458,0.5322,0.8458
ssw_Latn,0.1462,0.0858,0.1462
ars_Arab,0.6729,0.3801,0.6729
nno_Latn,0.9071,0.6314,0.9071
aka_Latn,0.0978,0.0673,0.0978
zho_Hans,0.7342,0.4549,0.7342
jav_Latn,0.6166,0.3574,0.6166
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.6512,0.4038,0.6512
swe_Latn,0.9427,0.6657,0.9427
nld_Latn,0.7955,0.5521,0.7955
acq_Arab,0.6502,0.3621,0.6502
lin_Latn,0.2559,0.1363,0.2559
fra_Latn,0.7441,0.4767,0.7441
sat_Olck,0.0138,0.0059,0.0138
kam_Latn,0.0662,0.0519,0.0662
por_Latn,0.9407,0.677,0.9407
vie_Latn,0.7609,0.4564,0.7609
mar_Deva,0.5306,0.3029,0.5306
zul_Latn,0.2352,0.118,0.2352
hrv_Latn,0.8933,0.5941,0.8933
kon_Latn,0.166,0.0958,0.166
bjn_Latn,0.5721,0.3253,0.5721
gle_Latn,0.1472,0.0789,0.1472
cat_Latn,0.751,0.4556,0.751
srd_Latn,0.3498,0.172,0.3498
kac_Latn,0.0346,0.023,0.0346
yor_Latn,0.0543,0.0383,0.0543
bam_Latn,0.0692,0.0498,0.0692
pap_Latn,0.5692,0.3264,0.5692
slv_Latn,0.7441,0.4277,0.7441
kab_Latn,0.0128,0.0081,0.0128
kas_Deva,0.0099,0.0052,0.0099
bel_Cyrl,0.3656,0.1589,0.3656
tsn_Latn,0.0682,0.0456,0.0682
xho_Latn,0.1789,0.1065,0.1789
sin_Sinh,0.3241,0.1616,0.3241
glg_Latn,0.8893,0.5937,0.8893
swh_Latn,0.6611,0.3723,0.6611
heb_Hebr,0.6947,0.3906,0.6947
mlt_Latn,0.3281,0.1757,0.3281
tso_Latn,0.1304,0.0812,0.1304
ben_Beng,0.3775,0.2003,0.3775
ban_Latn,0.3626,0.2116,0.3626
ltg_Latn,0.0375,0.025,0.0375
kmb_Latn,0.0514,0.0373,0.0514
gla_Latn,0.0642,0.0374,0.0642
umb_Latn,0.0445,0.0305,0.0445
kbp_Latn,0.0395,0.0237,0.0395
mkd_Cyrl,0.8271,0.5093,0.8271
aeb_Arab,0.4684,0.268,0.4684
fon_Latn,0.0208,0.0151,0.0208
ajp_Arab,0.7441,0.4166,0.7441
afr_Latn,0.7994,0.4862,0.7994
srp_Cyrl,0.8567,0.5255,0.8567
arz_Arab,0.6146,0.3348,0.6146
gaz_Latn,0.0662,0.0333,0.0662
bug_Latn,0.0702,0.0467,0.0702
azj_Latn,0.6561,0.3981,0.6561
mya_Mymr,0.0366,0.0196,0.0366
