code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
sin_Sinh,1.0,0.7362,1.0
tsn_Latn,0.8893,0.395,0.8893
xho_Latn,0.9872,0.6668,0.9872
glg_Latn,1.0,0.9048,1.0
swh_Latn,1.0,0.833,1.0
ben_Beng,1.0,0.7793,1.0
tso_Latn,0.4308,0.1204,0.4308
heb_Hebr,1.0,0.8478,1.0
mlt_Latn,1.0,0.779,1.0
ltg_Latn,0.749,0.2847,0.749
ban_Latn,0.9121,0.5328,0.9121
bjn_Latn,0.9071,0.5488,0.9071
zul_Latn,0.998,0.6874,0.998
kon_Latn,0.4802,0.1449,0.4802
hrv_Latn,0.999,0.8657,0.999
yor_Latn,0.8251,0.3552,0.8251
bam_Latn,0.3251,0.0629,0.3251
srd_Latn,0.9101,0.475,0.9101
cat_Latn,1.0,0.8352,1.0
kac_Latn,0.3093,0.0413,0.3093
gle_Latn,1.0,0.7533,1.0
pap_Latn,0.8923,0.5068,0.8923
slv_Latn,1.0,0.8462,1.0
bel_Cyrl,1.0,0.6521,1.0
kab_Latn,0.1591,0.033,0.1591
kas_Deva,0.4526,0.0944,0.4526
mya_Mymr,0.996,0.5838,0.996
azj_Latn,0.999,0.7651,0.999
awa_Deva,0.9872,0.6179,0.9872
guj_Gujr,1.0,0.782,1.0
eus_Latn,1.0,0.8153,1.0
ary_Arab,0.8844,0.5579,0.8844
smo_Latn,0.9792,0.5021,0.9792
jpn_Jpan,1.0,0.7044,1.0
mni_Beng,0.1126,0.0145,0.1126
wol_Latn,0.4496,0.1282,0.4496
ceb_Latn,1.0,0.7341,1.0
tur_Latn,1.0,0.8329,1.0
deu_Latn,1.0,0.876,1.0
bjn_Arab,0.0613,0.0164,0.0613
umb_Latn,0.3607,0.0933,0.3607
kbp_Latn,0.2875,0.0337,0.2875
gla_Latn,0.997,0.644,0.997
kmb_Latn,0.3794,0.1033,0.3794
mkd_Cyrl,1.0,0.8389,1.0
ajp_Arab,0.996,0.7848,0.996
afr_Latn,0.999,0.8636,0.999
aeb_Arab,0.9545,0.6832,0.9545
fon_Latn,0.2935,0.0381,0.2935
bug_Latn,0.5919,0.2117,0.5919
gaz_Latn,0.1729,0.0298,0.1729
arz_Arab,0.9951,0.7334,0.9951
srp_Cyrl,1.0,0.798,1.0
kat_Geor,0.998,0.6915,0.998
taq_Latn,0.3221,0.08,0.3221
yue_Hant,0.999,0.7489,0.999
hat_Latn,0.9911,0.8033,0.9911
scn_Latn,0.9081,0.4701,0.9081
tam_Taml,0.999,0.7611,0.999
tha_Thai,0.9368,0.5317,0.9368
sag_Latn,0.3913,0.0961,0.3913
ell_Grek,1.0,0.7079,1.0
lij_Latn,0.8903,0.4296,0.8903
bod_Tibt,0.7945,0.1536,0.7945
hau_Latn,0.9931,0.71,0.9931
ayr_Latn,0.2628,0.0437,0.2628
oci_Latn,0.998,0.6932,0.998
urd_Arab,0.999,0.7659,0.999
azb_Arab,0.5553,0.1836,0.5553
fao_Latn,0.9891,0.6244,0.9891
npi_Deva,0.997,0.8107,0.997
nso_Latn,0.9081,0.4466,0.9081
lus_Latn,0.4555,0.09,0.4555
shn_Mymr,0.2826,0.0285,0.2826
kaz_Cyrl,0.998,0.6843,0.998
acq_Arab,0.999,0.7882,0.999
nld_Latn,1.0,0.8771,1.0
swe_Latn,1.0,0.8997,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,1.0,0.7739,1.0
fra_Latn,1.0,0.8669,1.0
lin_Latn,0.4921,0.1578,0.4921
mar_Deva,1.0,0.791,1.0
vie_Latn,1.0,0.8363,1.0
kam_Latn,0.4437,0.1393,0.4437
por_Latn,1.0,0.9309,1.0
sat_Olck,0.004,0.0012,0.004
som_Latn,0.9842,0.6438,0.9842
lim_Latn,0.913,0.5097,0.913
spa_Latn,0.999,0.8655,0.999
nus_Latn,0.1917,0.0249,0.1917
ckb_Arab,0.1038,0.0186,0.1038
vec_Latn,0.9674,0.6074,0.9674
dan_Latn,0.999,0.9021,0.999
