code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
ben_Beng,0.999,0.5068,0.999
tso_Latn,0.9012,0.1643,0.9012
mlt_Latn,0.9881,0.1792,0.9881
heb_Hebr,0.9862,0.6285,0.9862
ltg_Latn,0.9091,0.1947,0.9091
ban_Latn,0.9526,0.3363,0.9526
sin_Sinh,0.996,0.4688,0.996
xho_Latn,0.9684,0.3031,0.9684
tsn_Latn,0.9387,0.1766,0.9387
swh_Latn,0.9901,0.5689,0.9901
glg_Latn,1.0,0.7791,1.0
slv_Latn,0.9951,0.6557,0.9951
pap_Latn,0.997,0.4755,0.997
bel_Cyrl,0.9921,0.4229,0.9921
kas_Deva,0.7401,0.119,0.7401
kab_Latn,0.6304,0.1011,0.6304
bjn_Latn,0.9753,0.4316,0.9753
hrv_Latn,0.999,0.7066,0.999
kon_Latn,0.8864,0.2012,0.8864
zul_Latn,0.9792,0.284,0.9792
bam_Latn,0.7698,0.1303,0.7698
yor_Latn,0.8261,0.1114,0.8261
kac_Latn,0.6038,0.0771,0.6038
cat_Latn,0.999,0.6882,0.999
srd_Latn,0.9783,0.298,0.9783
gle_Latn,0.9832,0.3424,0.9832
smo_Latn,0.9328,0.1578,0.9328
jpn_Jpan,0.997,0.6102,0.997
mni_Beng,0.4486,0.0511,0.4486
wol_Latn,0.7945,0.1472,0.7945
ceb_Latn,0.9901,0.3979,0.9901
deu_Latn,1.0,0.785,1.0
tur_Latn,0.999,0.6776,0.999
bjn_Arab,0.0751,0.0096,0.0751
mya_Mymr,0.9812,0.2869,0.9812
azj_Latn,0.9891,0.5295,0.9891
awa_Deva,0.9891,0.4488,0.9891
guj_Gujr,0.999,0.4575,0.999
ary_Arab,0.8409,0.3847,0.8409
eus_Latn,0.9862,0.5188,0.9862
afr_Latn,0.997,0.6699,0.997
ajp_Arab,0.9842,0.6075,0.9842
fon_Latn,0.7411,0.0797,0.7411
aeb_Arab,0.9209,0.4862,0.9209
bug_Latn,0.831,0.2028,0.831
arz_Arab,0.9733,0.553,0.9733
gaz_Latn,0.7668,0.1399,0.7668
srp_Cyrl,0.996,0.667,0.996
kbp_Latn,0.5504,0.0635,0.5504
umb_Latn,0.4634,0.08,0.4634
gla_Latn,0.8794,0.1844,0.8794
kmb_Latn,0.5613,0.099,0.5613
mkd_Cyrl,0.9872,0.6757,0.9872
sag_Latn,0.6887,0.1215,0.6887
ell_Grek,0.9931,0.5413,0.9931
hau_Latn,0.9387,0.3329,0.9387
bod_Tibt,0.0652,0.0088,0.0652
lij_Latn,0.9694,0.2825,0.9694
yue_Hant,0.999,0.6481,0.999
taq_Latn,0.5346,0.0939,0.5346
kat_Geor,0.9941,0.4384,0.9941
hat_Latn,0.9783,0.3577,0.9783
scn_Latn,0.9447,0.2733,0.9447
tha_Thai,0.9951,0.6042,0.9951
tam_Taml,0.999,0.4753,0.999
nso_Latn,0.9664,0.2061,0.9664
npi_Deva,0.9941,0.5699,0.9941
lus_Latn,0.836,0.1315,0.836
shn_Mymr,0.5771,0.0521,0.5771
kaz_Cyrl,0.9951,0.4872,0.9951
ayr_Latn,0.5326,0.0707,0.5326
oci_Latn,0.9931,0.4223,0.9931
azb_Arab,0.8666,0.208,0.8666
urd_Arab,0.997,0.5763,0.997
fao_Latn,0.9664,0.3309,0.9664
fra_Latn,1.0,0.7431,1.0
lin_Latn,0.9338,0.2371,0.9338
mar_Deva,0.997,0.5649,0.997
vie_Latn,1.0,0.6925,1.0
por_Latn,0.999,0.7984,0.999
kam_Latn,0.6532,0.1367,0.6532
sat_Olck,0.0188,0.0018,0.0188
acq_Arab,0.9812,0.6081,0.9812
nld_Latn,0.999,0.7395,0.999
swe_Latn,1.0,0.8019,1.0
tgl_Latn,0.996,0.5023,0.996
eng_Latn,1.0,1.0,1.0
aka_Latn,0.913,0.1461,0.913
nno_Latn,0.9931,0.6819,0.9931
ars_Arab,0.9852,0.6199,0.9852
ssw_Latn,0.8804,0.1977,0.8804
prs_Arab,0.996,0.6758,0.996
sun_Latn,0.9921,0.4998,0.9921
jav_Latn,0.9921,0.5632,0.9921
zho_Hans,0.9951,0.6465,0.9951
lim_Latn,0.913,0.2793,0.913
som_Latn,0.9387,0.305,0.9387
spa_Latn,0.999,0.7693,0.999
dan_Latn,1.0,0.8048,1.0
vec_Latn,0.9881,0.4115,0.9881
ckb_Arab,0.9476,0.1469,0.9476
nus_Latn,0.4753,0.0566,0.4753
mri_Latn,0.8804,0.1464,0.8804
ind_Latn,0.999,0.7871,0.999
min_Arab,0.0524,0.0061,0.0524
ory_Orya,0.998,0.4283,0.998
uzn_Latn,0.998,0.4215,0.998
pol_Latn,0.9951,0.6576,0.9951
bem_Latn,0.8043,0.1628,0.8043
hye_Armn,0.996,0.5219,0.996
khm_Khmr,0.9753,0.3126,0.9753
tpi_Latn,0.9654,0.2352,0.9654
amh_Ethi,0.9931,0.4156,0.9931
khk_Cyrl,0.9911,0.4631,0.9911
tir_Ethi,0.9051,0.1587,0.9051
knc_Latn,0.5138,0.0764,0.5138
san_Deva,0.9555,0.2552,0.9555
kea_Latn,0.9812,0.3791,0.9812
bos_Latn,1.0,0.7007,1.0
mos_Latn,0.5524,0.0796,0.5524
cym_Latn,0.9911,0.4444,0.9911
acm_Arab,0.9743,0.5971,0.9743
ilo_Latn,0.9585,0.2584,0.9585
ast_Latn,0.9941,0.57,0.9941
kir_Cyrl,0.9951,0.4619,0.9951
kmr_Latn,0.9536,0.2994,0.9536
apc_Arab,0.9644,0.5626,0.9644
twi_Latn,0.9101,0.1607,0.9101
hin_Deva,1.0,0.6206,1.0
pes_Arab,0.997,0.6859,0.997
luo_Latn,0.7194,0.1472,0.7194
tel_Telu,0.999,0.4616,0.999
war_Latn,0.9911,0.3988,0.9911
sot_Latn,0.9694,0.2066,0.9694
epo_Latn,1.0,0.6519,1.0
lit_Latn,0.9852,0.5868,0.9852
mai_Deva,1.0,0.3213,1.0
knc_Arab,0.1374,0.0153,0.1374
crh_Latn,0.9872,0.3301,0.9872
pbt_Arab,0.9911,0.414,0.9911
pan_Guru,0.9941,0.3848,0.9941
run_Latn,0.9012,0.1988,0.9012
pag_Latn,0.9249,0.3531,0.9249
ces_Latn,0.999,0.69,0.999
kas_Arab,0.9289,0.1567,0.9289
uig_Arab,0.9486,0.2835,0.9486
bak_Cyrl,0.9832,0.1942,0.9832
ron_Latn,0.999,0.7022,0.999
min_Latn,0.9575,0.3363,0.9575
ita_Latn,1.0,0.751,1.0
zho_Hant,0.996,0.6436,0.996
rus_Cyrl,0.996,0.7236,0.996
kin_Latn,0.9377,0.194,0.9377
tgk_Cyrl,0.9615,0.1568,0.9615
hne_Deva,0.9911,0.4394,0.9911
lao_Laoo,0.9773,0.3875,0.9773
bho_Deva,0.9941,0.3695,0.9941
ewe_Latn,0.8172,0.1253,0.8172
fij_Latn,0.8468,0.1606,0.8468
als_Latn,1.0,0.5673,1.0
est_Latn,0.9783,0.6135,0.9783
grn_Latn,0.8735,0.1483,0.8735
zsm_Latn,0.999,0.7412,0.999
tum_Latn,0.8854,0.1556,0.8854
ace_Arab,0.081,0.0092,0.081
mag_Deva,0.998,0.4475,0.998
fur_Latn,0.9842,0.3107,0.9842
asm_Beng,0.9931,0.2362,0.9931
nya_Latn,0.9526,0.2426,0.9526
ydd_Hebr,0.9615,0.2538,0.9615
arb_Latn,0.2451,0.0361,0.2451
lua_Latn,0.8073,0.1832,0.8073
taq_Tfng,0.0919,0.0099,0.0919
arb_Arab,0.9852,0.6259,0.9852
lug_Latn,0.8241,0.1706,0.8241
ukr_Cyrl,0.996,0.676,0.996
dik_Latn,0.5405,0.0954,0.5405
slk_Latn,0.997,0.6716,0.997
dyu_Latn,0.417,0.061,0.417
kik_Latn,0.8903,0.1405,0.8903
szl_Latn,0.9723,0.2838,0.9723
cjk_Latn,0.5,0.0893,0.5
fin_Latn,0.9931,0.6225,0.9931
tzm_Tfng,0.081,0.0096,0.081
isl_Latn,0.9654,0.5053,0.9654
ace_Latn,0.8785,0.2037,0.8785
snd_Arab,0.9872,0.4308,0.9872
tat_Cyrl,0.9862,0.2452,0.9862
lvs_Latn,0.9921,0.5841,0.9921
dzo_Tibt,0.002,0.001,0.002
fuv_Latn,0.5652,0.1186,0.5652
mal_Mlym,0.998,0.4648,0.998
plt_Latn,0.9506,0.2662,0.9506
bul_Cyrl,0.997,0.7164,0.997
kor_Hang,0.9852,0.5448,0.9852
kan_Knda,0.999,0.4571,0.999
ibo_Latn,0.9318,0.1454,0.9318
tuk_Latn,0.7283,0.1088,0.7283
quy_Latn,0.6907,0.099,0.6907
ltz_Latn,0.9842,0.279,0.9842
sna_Latn,0.9466,0.2137,0.9466
nob_Latn,0.999,0.7851,0.999
hun_Latn,0.9941,0.6657,0.9941
lmo_Latn,0.9397,0.2245,0.9397
