code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
ace_Arab,0.0,0.0,0.0
ace_Latn,0.0445,0.0028,0.0445
acm_Arab,0.002,0.0001,0.002
acq_Arab,0.002,0.0001,0.002
aeb_Arab,0.002,0.0001,0.002
afr_Latn,0.1255,0.0083,0.1255
ajp_Arab,0.004,0.0002,0.004
aka_Latn,0.0721,0.0038,0.0721
als_Latn,0.0168,0.0008,0.0168
amh_Ethi,0.0,0.0,0.0
apc_Arab,0.003,0.0001,0.003
arb_Arab,0.002,0.0001,0.002
arb_Latn,0.0227,0.0011,0.0227
ars_Arab,0.002,0.0001,0.002
ary_Arab,0.001,0.0,0.001
arz_Arab,0.0,0.0,0.0
asm_Beng,0.001,0.0,0.001
ast_Latn,0.1383,0.0131,0.1383
awa_Deva,0.0,0.0,0.0
ayr_Latn,0.0119,0.0006,0.0119
azb_Arab,0.001,0.0,0.001
azj_Latn,0.004,0.0002,0.004
bak_Cyrl,0.002,0.0001,0.002
bam_Latn,0.0306,0.0021,0.0306
ban_Latn,0.0543,0.0032,0.0543
bel_Cyrl,0.002,0.0001,0.002
bem_Latn,0.0623,0.0028,0.0623
ben_Beng,0.002,0.0001,0.002
bho_Deva,0.002,0.0001,0.002
bjn_Arab,0.0,0.0,0.0
bjn_Latn,0.0464,0.0033,0.0464
bod_Tibt,0.0,0.0,0.0
bos_Latn,0.0455,0.0031,0.0455
bug_Latn,0.0514,0.0034,0.0514
bul_Cyrl,0.0099,0.0006,0.0099
cat_Latn,0.1512,0.0126,0.1512
ceb_Latn,0.084,0.0049,0.084
ces_Latn,0.0435,0.0028,0.0435
cjk_Latn,0.0277,0.0016,0.0277
ckb_Arab,0.001,0.0,0.001
crh_Latn,0.0099,0.0007,0.0099
cym_Latn,0.0445,0.0024,0.0445
dan_Latn,0.1275,0.0088,0.1275
deu_Latn,0.2401,0.0215,0.2401
dik_Latn,0.0652,0.0028,0.0652
dyu_Latn,0.0247,0.0013,0.0247
dzo_Tibt,0.0,0.0,0.0
ell_Grek,0.001,0.0,0.001
eng_Latn,1.0,0.1818,1.0
epo_Latn,0.0573,0.0039,0.0573
est_Latn,0.0326,0.0025,0.0326
eus_Latn,0.0306,0.0019,0.0306
ewe_Latn,0.0405,0.0019,0.0405
fao_Latn,0.0494,0.0025,0.0494
fij_Latn,0.0583,0.0026,0.0583
fin_Latn,0.0237,0.0012,0.0237
fon_Latn,0.0188,0.0007,0.0188
fra_Latn,0.3034,0.0278,0.3034
