code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
kin_Latn,0.0385,0.0222,0.0385
tgk_Cyrl,0.0968,0.0221,0.0968
hne_Deva,0.168,0.0357,0.168
zho_Hant,0.832,0.3919,0.832
rus_Cyrl,0.9338,0.4124,0.9338
est_Latn,0.5711,0.1404,0.5711
zsm_Latn,0.9605,0.5956,0.9605
grn_Latn,0.0455,0.0273,0.0455
tum_Latn,0.0356,0.0237,0.0356
lao_Laoo,0.0208,0.007,0.0208
bho_Deva,0.0731,0.0237,0.0731
ewe_Latn,0.0208,0.0122,0.0208
fij_Latn,0.0494,0.0272,0.0494
als_Latn,0.4694,0.0968,0.4694
ace_Arab,0.004,0.0011,0.004
mag_Deva,0.163,0.0357,0.163
asm_Beng,0.0227,0.005,0.0227
fur_Latn,0.2559,0.0943,0.2559
arb_Latn,0.0257,0.0124,0.0257
lua_Latn,0.0563,0.034,0.0563
ydd_Hebr,0.0158,0.0076,0.0158
nya_Latn,0.0553,0.0352,0.0553
taq_Tfng,0.004,0.0012,0.004
arb_Arab,0.754,0.2606,0.754
fin_Latn,0.5949,0.1552,0.5949
tzm_Tfng,0.004,0.0013,0.004
isl_Latn,0.3587,0.0882,0.3587
ace_Latn,0.0929,0.0562,0.0929
snd_Arab,0.0939,0.0195,0.0939
ukr_Cyrl,0.8567,0.2303,0.8567
lug_Latn,0.0524,0.0315,0.0524
slk_Latn,0.833,0.2473,0.833
dyu_Latn,0.0227,0.0126,0.0227
dik_Latn,0.0583,0.0299,0.0583
szl_Latn,0.2085,0.0667,0.2085
cjk_Latn,0.0405,0.0237,0.0405
kik_Latn,0.0326,0.0186,0.0326
fuv_Latn,0.0573,0.0369,0.0573
mal_Mlym,0.0405,0.0081,0.0405
plt_Latn,0.1156,0.0392,0.1156
bul_Cyrl,0.9012,0.2631,0.9012
lvs_Latn,0.6403,0.1318,0.6403
tat_Cyrl,0.17,0.0348,0.17
dzo_Tibt,0.001,0.0003,0.001
ltz_Latn,0.4575,0.1268,0.4575
quy_Latn,0.0247,0.0159,0.0247
nob_Latn,0.9427,0.4777,0.9427
sna_Latn,0.0464,0.0264,0.0464
lmo_Latn,0.1739,0.0667,0.1739
hun_Latn,0.5573,0.1655,0.5573
kor_Hang,0.6304,0.1659,0.6304
kan_Knda,0.0287,0.0073,0.0287
ibo_Latn,0.0425,0.0177,0.0425
tuk_Latn,0.0504,0.0163,0.0504
pol_Latn,0.8577,0.3063,0.8577
ory_Orya,0.0178,0.0031,0.0178
ind_Latn,0.9822,0.6847,0.9822
min_Arab,0.004,0.0011,0.004
uzn_Latn,0.1522,0.0368,0.1522
hye_Armn,0.1087,0.0151,0.1087
bem_Latn,0.0563,0.0292,0.0563
khm_Khmr,0.0138,0.0046,0.0138
knc_Latn,0.0356,0.0232,0.0356
san_Deva,0.0316,0.0102,0.0316
tpi_Latn,0.1255,0.0668,0.1255
amh_Ethi,0.0227,0.005,0.0227
khk_Cyrl,0.0484,0.0099,0.0484
tir_Ethi,0.0059,0.0017,0.0059
acm_Arab,0.7154,0.2342,0.7154
ilo_Latn,0.0998,0.0593,0.0998
ast_Latn,0.6087,0.2875,0.6087
bos_Latn,0.8706,0.2463,0.8706
kea_Latn,0.2846,0.1192,0.2846
mos_Latn,0.0267,0.0149,0.0267
cym_Latn,0.337,0.0729,0.337
tel_Telu,0.0385,0.011,0.0385
luo_Latn,0.0593,0.0348,0.0593
war_Latn,0.2628,0.1179,0.2628
sot_Latn,0.0553,0.0331,0.0553
lit_Latn,0.6285,0.1629,0.6285
epo_Latn,0.6028,0.1742,0.6028
kir_Cyrl,0.084,0.0216,0.084
kmr_Latn,0.1324,0.039,0.1324
apc_Arab,0.664,0.2258,0.664
twi_Latn,0.0543,0.0318,0.0543
hin_Deva,0.4951,0.1145,0.4951
pes_Arab,0.7638,0.3175,0.7638
pan_Guru,0.0711,0.0114,0.0711
pbt_Arab,0.1759,0.0354,0.1759
run_Latn,0.0385,0.0199,0.0385
mai_Deva,0.0751,0.0194,0.0751
crh_Latn,0.169,0.0594,0.169
knc_Arab,0.004,0.002,0.004
pag_Latn,0.1571,0.1116,0.1571
ces_Latn,0.8923,0.3177,0.8923
uig_Arab,0.002,0.0007,0.002
bak_Cyrl,0.0316,0.0084,0.0316
ron_Latn,0.9249,0.3417,0.9249
min_Latn,0.1621,0.1026,0.1621
