code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
mya_Mymr,0.0632,0.0203,0.0632
azj_Latn,0.8982,0.5205,0.8982
awa_Deva,0.4318,0.1726,0.4318
guj_Gujr,0.5287,0.24,0.5287
ary_Arab,0.7885,0.5053,0.7885
eus_Latn,0.9061,0.4995,0.9061
smo_Latn,0.4684,0.1775,0.4684
jpn_Jpan,0.9812,0.7469,0.9812
mni_Beng,0.0296,0.0098,0.0296
wol_Latn,0.164,0.0744,0.164
ceb_Latn,0.8478,0.4622,0.8478
deu_Latn,0.999,0.8815,0.999
tur_Latn,0.9753,0.6833,0.9753
bjn_Arab,0.0474,0.0168,0.0474
umb_Latn,0.0514,0.0309,0.0514
kbp_Latn,0.0119,0.0065,0.0119
gla_Latn,0.7816,0.3767,0.7816
kmb_Latn,0.0692,0.0418,0.0692
mkd_Cyrl,0.9911,0.6925,0.9911
afr_Latn,0.9951,0.7056,0.9951
ajp_Arab,0.9704,0.7132,0.9704
fon_Latn,0.0178,0.009,0.0178
aeb_Arab,0.8953,0.64,0.8953
bug_Latn,0.1542,0.0895,0.1542
arz_Arab,0.9476,0.6607,0.9476
gaz_Latn,0.0652,0.0275,0.0652
srp_Cyrl,0.996,0.7225,0.996
sin_Sinh,0.4486,0.2164,0.4486
xho_Latn,0.6324,0.2574,0.6324
tsn_Latn,0.3715,0.148,0.3715
swh_Latn,0.9032,0.4735,0.9032
glg_Latn,1.0,0.7716,1.0
ben_Beng,0.5682,0.2539,0.5682
tso_Latn,0.1166,0.0545,0.1166
mlt_Latn,0.9723,0.5898,0.9723
heb_Hebr,0.9891,0.7252,0.9891
ltg_Latn,0.4763,0.2354,0.4763
ban_Latn,0.5208,0.2703,0.5208
bjn_Latn,0.7095,0.3979,0.7095
hrv_Latn,0.996,0.7446,0.996
kon_Latn,0.1255,0.0691,0.1255
zul_Latn,0.667,0.2625,0.667
bam_Latn,0.0405,0.0244,0.0405
yor_Latn,0.2164,0.0891,0.2164
kac_Latn,0.0208,0.0128,0.0208
cat_Latn,0.998,0.7911,0.998
srd_Latn,0.8686,0.4728,0.8686
gle_Latn,0.8903,0.4533,0.8903
slv_Latn,0.9842,0.6967,0.9842
pap_Latn,0.9516,0.5734,0.9516
bel_Cyrl,0.9447,0.6037,0.9447
kas_Deva,0.1077,0.0453,0.1077
kab_Latn,0.0356,0.0152,0.0356
acq_Arab,0.9802,0.7631,0.9802
nld_Latn,0.997,0.774,0.997
swe_Latn,1.0,0.7752,1.0
tgl_Latn,0.9437,0.553,0.9437
eng_Latn,1.0,1.0,1.0
fra_Latn,0.999,0.9131,0.999
lin_Latn,0.1927,0.0879,0.1927
mar_Deva,0.2708,0.1025,0.2708
vie_Latn,0.998,0.8459,0.998
por_Latn,1.0,0.9069,1.0
kam_Latn,0.0771,0.0507,0.0771
sat_Olck,0.001,0.0004,0.001
lim_Latn,0.8715,0.5162,0.8715
som_Latn,0.6087,0.266,0.6087
spa_Latn,0.996,0.8803,0.996
dan_Latn,0.997,0.7802,0.997
vec_Latn,0.9516,0.6029,0.9516
ckb_Arab,0.7401,0.339,0.7401
nus_Latn,0.0138,0.0081,0.0138
mri_Latn,0.5662,0.229,0.5662
aka_Latn,0.0791,0.0433,0.0791
nno_Latn,0.9931,0.7207,0.9931
ars_Arab,0.9911,0.8019,0.9911
ssw_Latn,0.252,0.1109,0.252
prs_Arab,0.9763,0.7365,0.9763
sun_Latn,0.8745,0.4811,0.8745
jav_Latn,0.914,0.5345,0.914
zho_Hans,0.9931,0.8754,0.9931
yue_Hant,0.9931,0.8551,0.9931
taq_Latn,0.0543,0.0281,0.0543
kat_Geor,0.8982,0.5246,0.8982
hat_Latn,0.8972,0.5298,0.8972
scn_Latn,0.8666,0.4932,0.8666
tha_Thai,0.752,0.3969,0.752
tam_Taml,0.1028,0.0383,0.1028
sag_Latn,0.081,0.0466,0.081
ell_Grek,0.9842,0.7497,0.9842
hau_Latn,0.584,0.2449,0.584
bod_Tibt,0.0583,0.0162,0.0583
lij_Latn,0.8241,0.4738,0.8241
ayr_Latn,0.0395,0.023,0.0395
oci_Latn,0.9921,0.6732,0.9921
azb_Arab,0.4239,0.1932,0.4239
urd_Arab,0.9219,0.5678,0.9219
fao_Latn,0.8992,0.4593,0.8992
nso_Latn,0.3538,0.1471,0.3538
npi_Deva,0.3231,0.1203,0.3231
lus_Latn,0.0692,0.0388,0.0692
shn_Mymr,0.0148,0.0066,0.0148
kaz_Cyrl,0.914,0.4752,0.914
mai_Deva,0.3962,0.1514,0.3962
knc_Arab,0.0079,0.0052,0.0079
crh_Latn,0.7401,0.3852,0.7401
pbt_Arab,0.749,0.3756,0.749
pan_Guru,0.748,0.3706,0.748
run_Latn,0.4121,0.148,0.4121
kir_Cyrl,0.8053,0.407,0.8053
kmr_Latn,0.7164,0.3463,0.7164
apc_Arab,0.9634,0.7064,0.9634
twi_Latn,0.1146,0.0564,0.1146
hin_Deva,0.6709,0.3032,0.6709
pes_Arab,0.9881,0.7542,0.9881
luo_Latn,0.0791,0.0463,0.0791
tel_Telu,0.2322,0.1025,0.2322
war_Latn,0.666,0.3362,0.666
sot_Latn,0.5652,0.2124,0.5652
lit_Latn,0.9812,0.6636,0.9812
epo_Latn,0.9911,0.6643,0.9911
kas_Arab,0.1285,0.0638,0.1285
uig_Arab,0.6917,0.2914,0.6917
bak_Cyrl,0.7668,0.3935,0.7668
ron_Latn,0.997,0.7758,0.997
min_Latn,0.6374,0.3342,0.6374
ita_Latn,1.0,0.867,1.0
pag_Latn,0.2559,0.1698,0.2559
ces_Latn,0.9941,0.7565,0.9941
bem_Latn,0.1136,0.0649,0.1136
hye_Armn,0.9338,0.5759,0.9338
khm_Khmr,0.3696,0.1649,0.3696
ind_Latn,1.0,0.8652,1.0
min_Arab,0.0227,0.009,0.0227
ory_Orya,0.5385,0.2442,0.5385
uzn_Latn,0.8696,0.4851,0.8696
pol_Latn,0.996,0.7668,0.996
kea_Latn,0.7678,0.4609,0.7678
bos_Latn,0.9951,0.745,0.9951
mos_Latn,0.0346,0.023,0.0346
cym_Latn,0.9792,0.5797,0.9792
acm_Arab,0.9713,0.7404,0.9713
ilo_Latn,0.4545,0.2162,0.4545
ast_Latn,0.9872,0.7018,0.9872
tpi_Latn,0.4516,0.1994,0.4516
amh_Ethi,0.416,0.1582,0.416
khk_Cyrl,0.7737,0.3843,0.7737
