code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
fao_Latn,0.0494,0.0204,0.0494
ayr_Latn,0.0099,0.0056,0.0099
oci_Latn,0.5366,0.1598,0.5366
azb_Arab,0.003,0.0015,0.003
urd_Arab,0.0287,0.0047,0.0287
lus_Latn,0.0425,0.018,0.0425
kaz_Cyrl,0.0119,0.0024,0.0119
shn_Mymr,0.002,0.0007,0.002
nso_Latn,0.0672,0.0165,0.0672
npi_Deva,0.0089,0.0022,0.0089
hat_Latn,0.0613,0.0199,0.0613
scn_Latn,0.1146,0.0461,0.1146
tha_Thai,0.2549,0.0375,0.2549
tam_Taml,0.003,0.001,0.003
yue_Hant,0.8449,0.5693,0.8449
taq_Latn,0.0504,0.0121,0.0504
kat_Geor,0.0049,0.0017,0.0049
ell_Grek,0.0534,0.0096,0.0534
hau_Latn,0.0484,0.0125,0.0484
bod_Tibt,0.001,0.0001,0.001
lij_Latn,0.1709,0.0635,0.1709
sag_Latn,0.0385,0.0087,0.0385
dan_Latn,0.7668,0.2255,0.7668
vec_Latn,0.334,0.1231,0.334
ckb_Arab,0.004,0.0014,0.004
nus_Latn,0.0109,0.003,0.0109
mri_Latn,0.0445,0.0098,0.0445
lim_Latn,0.1512,0.057,0.1512
som_Latn,0.0336,0.0056,0.0336
spa_Latn,0.9269,0.427,0.9269
jav_Latn,0.0879,0.0399,0.0879
zho_Hans,0.92,0.6898,0.92
aka_Latn,0.0642,0.019,0.0642
nno_Latn,0.5168,0.1518,0.5168
ars_Arab,0.5889,0.1454,0.5889
ssw_Latn,0.0385,0.0083,0.0385
prs_Arab,0.1413,0.024,0.1413
sun_Latn,0.0929,0.042,0.0929
acq_Arab,0.5069,0.1215,0.5069
nld_Latn,0.7846,0.2542,0.7846
swe_Latn,0.7955,0.2455,0.7955
tgl_Latn,0.1146,0.0404,0.1146
eng_Latn,1.0,1.0,1.0
mar_Deva,0.0109,0.0024,0.0109
vie_Latn,0.8913,0.355,0.8913
por_Latn,0.9694,0.4633,0.9694
kam_Latn,0.0534,0.0133,0.0534
sat_Olck,0.0,0.0,0.0
fra_Latn,0.9368,0.4066,0.9368
lin_Latn,0.0583,0.0128,0.0583
bam_Latn,0.0336,0.008,0.0336
yor_Latn,0.0277,0.0079,0.0277
kac_Latn,0.0138,0.004,0.0138
cat_Latn,0.8508,0.263,0.8508
srd_Latn,0.1383,0.0542,0.1383
gle_Latn,0.0346,0.0078,0.0346
bjn_Latn,0.1265,0.0501,0.1265
hrv_Latn,0.4931,0.1104,0.4931
kon_Latn,0.0494,0.0109,0.0494
zul_Latn,0.0395,0.0059,0.0395
bel_Cyrl,0.0543,0.0113,0.0543
kas_Deva,0.004,0.0013,0.004
kab_Latn,0.0168,0.004,0.0168
slv_Latn,0.3458,0.0692,0.3458
pap_Latn,0.1225,0.0617,0.1225
swh_Latn,0.0366,0.0098,0.0366
glg_Latn,0.8775,0.3514,0.8775
sin_Sinh,0.001,0.0001,0.001
xho_Latn,0.0474,0.0101,0.0474
tsn_Latn,0.0534,0.0114,0.0534
ltg_Latn,0.0267,0.0095,0.0267
ban_Latn,0.084,0.0415,0.084
ben_Beng,0.0188,0.0041,0.0188
tso_Latn,0.0534,0.011,0.0534
mlt_Latn,0.0445,0.0144,0.0445
heb_Hebr,0.3775,0.0927,0.3775
mkd_Cyrl,0.4219,0.0776,0.4219
kbp_Latn,0.0198,0.004,0.0198
umb_Latn,0.0267,0.0079,0.0267
gla_Latn,0.0287,0.006,0.0287
kmb_Latn,0.0306,0.0073,0.0306
bug_Latn,0.0484,0.0172,0.0484
arz_Arab,0.3488,0.0877,0.3488
gaz_Latn,0.0138,0.0026,0.0138
srp_Cyrl,0.3547,0.0624,0.3547
afr_Latn,0.5099,0.1417,0.5099
ajp_Arab,0.417,0.1074,0.417
fon_Latn,0.0198,0.0036,0.0198
