code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
ace_Latn,0.0791,0.0422,0.0791
isl_Latn,0.2095,0.0589,0.2095
snd_Arab,0.083,0.0221,0.083
fin_Latn,0.5277,0.1674,0.5277
tzm_Tfng,0.003,0.0011,0.003
dyu_Latn,0.0316,0.0086,0.0316
slk_Latn,0.6887,0.2579,0.6887
dik_Latn,0.0652,0.0182,0.0652
cjk_Latn,0.0316,0.0173,0.0316
szl_Latn,0.337,0.1332,0.337
kik_Latn,0.0415,0.0132,0.0415
ukr_Cyrl,0.7075,0.2581,0.7075
lug_Latn,0.0524,0.017,0.0524
arb_Arab,0.6571,0.3323,0.6571
taq_Tfng,0.003,0.0005,0.003
nob_Latn,0.833,0.3851,0.833
sna_Latn,0.0514,0.0168,0.0514
lmo_Latn,0.335,0.1318,0.335
hun_Latn,0.5949,0.2079,0.5949
ltz_Latn,0.333,0.1163,0.333
quy_Latn,0.0237,0.0114,0.0237
ibo_Latn,0.0395,0.0101,0.0395
tuk_Latn,0.0484,0.0164,0.0484
kor_Hang,0.5316,0.2706,0.5316
kan_Knda,0.0148,0.0059,0.0148
bul_Cyrl,0.753,0.2817,0.753
mal_Mlym,0.0277,0.0081,0.0277
fuv_Latn,0.0711,0.0256,0.0711
plt_Latn,0.0415,0.0112,0.0415
lvs_Latn,0.4951,0.1701,0.4951
tat_Cyrl,0.0741,0.0254,0.0741
dzo_Tibt,0.0,0.0,0.0
tum_Latn,0.0425,0.014,0.0425
est_Latn,0.4417,0.1391,0.4417
zsm_Latn,0.7856,0.3539,0.7856
grn_Latn,0.0445,0.025,0.0445
als_Latn,0.4249,0.1171,0.4249
fij_Latn,0.0455,0.0167,0.0455
ewe_Latn,0.0346,0.0111,0.0346
lao_Laoo,0.0148,0.0079,0.0148
bho_Deva,0.0583,0.0214,0.0583
tgk_Cyrl,0.0534,0.0182,0.0534
hne_Deva,0.0988,0.0272,0.0988
kin_Latn,0.0395,0.0124,0.0395
rus_Cyrl,0.8043,0.436,0.8043
zho_Hant,0.9111,0.6446,0.9111
arb_Latn,0.0375,0.0122,0.0375
lua_Latn,0.0553,0.019,0.0553
ydd_Hebr,0.0494,0.0143,0.0494
nya_Latn,0.0563,0.0171,0.0563
asm_Beng,0.0326,0.0119,0.0326
fur_Latn,0.3646,0.1485,0.3646
ace_Arab,0.0079,0.0022,0.0079
mag_Deva,0.1462,0.0316,0.1462
run_Latn,0.0445,0.0111,0.0445
pan_Guru,0.0148,0.0046,0.0148
pbt_Arab,0.0543,0.0147,0.0543
