code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
glg_Latn,0.9901,0.6198,0.9901
swh_Latn,0.2411,0.0771,0.2411
sin_Sinh,0.0534,0.0057,0.0534
tsn_Latn,0.1917,0.0574,0.1917
xho_Latn,0.1996,0.0581,0.1996
ltg_Latn,0.332,0.0868,0.332
ban_Latn,0.4842,0.1623,0.4842
ben_Beng,0.7688,0.1832,0.7688
tso_Latn,0.1937,0.0572,0.1937
mlt_Latn,0.4901,0.1702,0.4901
heb_Hebr,0.8567,0.4591,0.8567
yor_Latn,0.1858,0.0486,0.1858
bam_Latn,0.1729,0.0496,0.1729
srd_Latn,0.668,0.2651,0.668
cat_Latn,0.9713,0.5566,0.9713
kac_Latn,0.2065,0.0437,0.2065
gle_Latn,0.1542,0.0457,0.1542
bjn_Latn,0.5257,0.1988,0.5257
kon_Latn,0.2421,0.0735,0.2421
hrv_Latn,0.8636,0.3994,0.8636
zul_Latn,0.1255,0.0403,0.1255
bel_Cyrl,0.4091,0.1494,0.4091
kab_Latn,0.0494,0.0172,0.0494
kas_Deva,0.2223,0.0514,0.2223
pap_Latn,0.7223,0.2957,0.7223
slv_Latn,0.7638,0.3481,0.7638
awa_Deva,0.8706,0.3111,0.8706
guj_Gujr,0.6601,0.1407,0.6601
ary_Arab,0.7125,0.3315,0.7125
eus_Latn,0.3409,0.0873,0.3409
mya_Mymr,0.1779,0.0181,0.1779
azj_Latn,0.5326,0.1127,0.5326
ceb_Latn,0.5978,0.2178,0.5978
deu_Latn,0.9941,0.6422,0.9941
tur_Latn,0.8379,0.4109,0.8379
bjn_Arab,0.0257,0.0078,0.0257
smo_Latn,0.2757,0.0806,0.2757
jpn_Jpan,0.9526,0.5505,0.9526
mni_Beng,0.0494,0.0102,0.0494
wol_Latn,0.253,0.0741,0.253
mkd_Cyrl,0.8538,0.404,0.8538
kbp_Latn,0.1028,0.029,0.1028
umb_Latn,0.1462,0.0414,0.1462
gla_Latn,0.1453,0.0396,0.1453
kmb_Latn,0.1542,0.0457,0.1542
bug_Latn,0.3379,0.11,0.3379
gaz_Latn,0.0711,0.0209,0.0711
arz_Arab,0.9012,0.4612,0.9012
srp_Cyrl,0.8123,0.3433,0.8123
ajp_Arab,0.914,0.4942,0.914
afr_Latn,0.8468,0.4562,0.8468
aeb_Arab,0.835,0.4161,0.835
fon_Latn,0.1838,0.043,0.1838
hat_Latn,0.4516,0.1532,0.4516
scn_Latn,0.5998,0.2428,0.5998
tam_Taml,0.4634,0.0841,0.4634
tha_Thai,0.8745,0.3471,0.8745
kat_Geor,0.4101,0.085,0.4101
yue_Hant,0.9941,0.7481,0.9941
taq_Latn,0.2372,0.0639,0.2372
ell_Grek,0.7184,0.219,0.7184
bod_Tibt,0.0227,0.004,0.0227
lij_Latn,0.7154,0.2966,0.7154
hau_Latn,0.2401,0.0772,0.2401
sag_Latn,0.2045,0.066,0.2045
fao_Latn,0.248,0.0761,0.248
ayr_Latn,0.1719,0.0432,0.1719
oci_Latn,0.8824,0.4571,0.8824
azb_Arab,0.2737,0.0596,0.2737
urd_Arab,0.7233,0.2598,0.7233
lus_Latn,0.415,0.1147,0.415
shn_Mymr,0.0652,0.0051,0.0652
kaz_Cyrl,0.5158,0.1159,0.5158
npi_Deva,0.7065,0.1852,0.7065
nso_Latn,0.2292,0.0708,0.2292
acq_Arab,0.9437,0.5203,0.9437
nld_Latn,0.9575,0.5664,0.9575
swe_Latn,0.9328,0.5155,0.9328
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.6047,0.2313,0.6047
mar_Deva,0.7332,0.1942,0.7332
vie_Latn,0.9872,0.6666,0.9872
kam_Latn,0.1877,0.0604,0.1877
por_Latn,0.998,0.7054,0.998
sat_Olck,0.0079,0.0005,0.0079
fra_Latn,0.9911,0.6649,0.9911
lin_Latn,0.2451,0.0778,0.2451
ckb_Arab,0.1492,0.0335,0.1492
nus_Latn,0.0711,0.0187,0.0711
vec_Latn,0.8449,0.4144,0.8449
dan_Latn,0.9269,0.5214,0.9269
mri_Latn,0.2589,0.0787,0.2589
lim_Latn,0.6275,0.2454,0.6275
som_Latn,0.1887,0.0539,0.1887
spa_Latn,0.9951,0.6754,0.9951
jav_Latn,0.5563,0.2081,0.5563
zho_Hans,0.998,0.7822,0.998
nno_Latn,0.7964,0.4014,0.7964
aka_Latn,0.2787,0.0785,0.2787
ars_Arab,0.9634,0.5457,0.9634
ssw_Latn,0.1443,0.0445,0.1443
prs_Arab,0.8221,0.306,0.8221
sun_Latn,0.5919,0.2012,0.5919
hye_Armn,0.3972,0.0914,0.3972
bem_Latn,0.2075,0.0628,0.2075
khm_Khmr,0.2016,0.0209,0.2016
pol_Latn,0.9111,0.5036,0.9111
ory_Orya,0.5089,0.0664,0.5089
ind_Latn,0.9733,0.5608,0.9733
min_Arab,0.0257,0.008,0.0257
uzn_Latn,0.4022,0.1027,0.4022
acm_Arab,0.9328,0.508,0.9328
ilo_Latn,0.4536,0.1369,0.4536
ast_Latn,0.9407,0.5384,0.9407
bos_Latn,0.8913,0.414,0.8913
kea_Latn,0.6581,0.2659,0.6581
mos_Latn,0.1601,0.0478,0.1601
cym_Latn,0.1986,0.0564,0.1986
knc_Latn,0.2105,0.0582,0.2105
san_Deva,0.5692,0.1332,0.5692
tpi_Latn,0.6136,0.1937,0.6136
amh_Ethi,0.0939,0.0174,0.0939
khk_Cyrl,0.2125,0.0409,0.2125
